"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",0.0391490277880209,0.00988658195476633,102,3.95981421760703,0.00040592735889633,NA,NA
"noise_overall","X2 - X20",0.00646723948963263,0.0101582907574934,102,0.636646424484549,0.800288262063769,NA,NA
"noise_overall","X10 - X20",-0.0326817882983882,0.00874364777971032,102,-3.73777502499889,0.00088826725285096,NA,NA
"noise_within_condition","X2 - X10",0.0589620776479225,0.0132925537703382,102,4.43572233497329,6.8571587565458e-05,"average",NA
"noise_within_condition","X2 - X20",0.00747718013259167,0.0136578674739669,102,0.547463221973992,0.848004496580998,"average",NA
"noise_within_condition","X10 - X20",-0.0514848975153308,0.0117558736469751,102,-4.37950415778569,8.5170028674475e-05,"average",NA
"noise_within_condition","X2 - X10",0.0193359779281192,0.0146385117158785,102,1.32089780050149,0.386904720654747,"experience",NA
"noise_within_condition","X2 - X20",0.00545729884667358,0.0150408158195845,102,0.362832635685073,0.930057386810174,"experience",NA
"noise_within_condition","X10 - X20",-0.0138786790814456,0.0129462326867274,102,-1.07202453542135,0.533553730261727,"experience",NA
"condition_within_noise","average - experience",-0.00566288667079859,0.0172996623950291,102,-0.327340877613067,0.744080941949206,NA,"X2"
"condition_within_noise","average - experience",-0.0452889863906019,0.0157411692214775,102,-2.87710434678568,0.00488828454581164,NA,"X10"
"condition_within_noise","average - experience",-0.00768276795671671,0.0160293767850965,102,-0.479292991843566,0.632756218010607,NA,"X20"
