"experiment","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"exp2_batch2","combined","resp_c",90212.2229290388,90212.2229290388,1,270.417412241933,4884.43152514057,4.03160623632055e-175
"exp2_batch2","combined","array_length",4070.11483185439,2035.0574159272,2,9339.78295437593,110.185718465721,5.04392848273691e-48
"exp2_batch2","combined","condition",9.65407455968958,9.65407455968958,1,101.419021529418,0.522708171846041,0.471352781985672
"exp2_batch2","combined","resp_c:array_length",15.834152432248,7.91707621612401,2,195.781415659027,0.428660500777095,0.651990892362775
"exp2_batch2","combined","resp_c:condition",377.835425598968,377.835425598968,1,270.417418285258,20.4574413997335,9.13461299821249e-06
"exp2_batch2","combined","array_length:condition",84.5186522214947,42.2593261107474,2,9339.78295377574,2.28808001825756,0.101517948609116
"exp2_batch2","combined","resp_c:array_length:condition",6.85858185234105,3.42929092617053,2,195.781415652556,0.18567480286836,0.830689720011105
"exp2_batch2","experience","resp_c",32268.3108416012,32268.3108416012,1,118.868485346205,1842.82790691142,3.24921044420376e-74
"exp2_batch2","experience","array_length",1786.07729075067,893.038645375337,2,4205.93338776194,51.0010129047828,1.3027472908369e-22
"exp2_batch2","experience","resp_c:array_length",19.2277344743323,9.61386723716616,2,88.5161988409074,0.549043391981658,0.57945589855119
"exp2_batch2","average","resp_c",61295.0519347483,61295.0519347483,1,154.195091478384,3182.45795899397,7.47437000024011e-105
"exp2_batch2","average","array_length",2427.65188456657,1213.82594228328,2,5135.17756089676,63.022216458273,9.12654907357005e-28
"exp2_batch2","average","resp_c:array_length",1.49374352401898,0.746871762009491,2,108.620595350331,0.0387778117210061,0.961977733594615
