"experiment","window","condition","array_length","n_trials","mean_report","mean_obj","se_obj"
"exp2_batch2","high","average","2",32,39.53125,33.875,0.455145315327441
"exp2_batch2","high","average","10",25,39.28,33,0.541602560309064
"exp2_batch2","high","average","20",36,39.4722222222222,33.25,0.468660705780693
"exp2_batch2","high","experience","2",46,39.2826086956522,32.6521739130435,0.635668761390002
"exp2_batch2","high","experience","10",89,39.6292134831461,33.123595505618,0.312254080855649
"exp2_batch2","high","experience","20",70,39.6571428571429,32.4285714285714,0.375530778855857
"exp2_batch2","low","average","2",191,10.5811518324607,17.3979057591623,0.268578571786782
"exp2_batch2","low","average","10",87,10.7126436781609,18.3218390804598,0.41763269555568
"exp2_batch2","low","average","20",192,10.4479166666667,18.2135416666667,0.280640083855288
"exp2_batch2","low","experience","2",144,10.4930555555556,18.5,0.312116120084292
"exp2_batch2","low","experience","10",63,10.4285714285714,18.3333333333333,0.616383253675979
"exp2_batch2","low","experience","20",109,10.4954128440367,18.1376146788991,0.396524977030212
