"experiment","measure","condition","array_length","n","mean","se"
"exp3","slope_fwd","average","2",46,0.828016305632839,0.037768494582831
"exp3","slope_fwd","average","10",46,0.698055073320921,0.0406903463099565
"exp3","slope_fwd","average","20",46,0.73645774207903,0.0405628463181043
"exp3","slope_fwd","experience","2",38,0.885836709764434,0.0435713431086214
"exp3","slope_fwd","experience","10",38,0.797811820808483,0.0411616507939425
"exp3","slope_fwd","experience","20",38,0.878451187382877,0.0472550904052278
"exp3","slope_rev","average","2",46,0.795210377042107,0.0280996211177718
"exp3","slope_rev","average","10",46,0.754410325535946,0.0339683098252728
"exp3","slope_rev","average","20",46,0.75283465716555,0.0279705964892428
"exp3","slope_rev","experience","2",38,0.713623426511932,0.0268643046160689
"exp3","slope_rev","experience","10",38,0.768724331679954,0.0388968446361242
"exp3","slope_rev","experience","20",38,0.730150759731648,0.0311090505668135
"exp3","r","average","2",46,1.13785609380077,0.0446674563040243
"exp3","r","average","10",46,0.920733865481704,0.0437763011244162
"exp3","r","average","20",46,0.984510582741349,0.0490274229356967
"exp3","r","experience","2",38,1.09754783221901,0.0490857320552244
"exp3","r","experience","10",38,1.09875291175478,0.0596984054620227
"exp3","r","experience","20",38,1.10505507725894,0.0499659005347624
"exp3","bias","average","2",46,-4.04512573782233,0.37782841703141
"exp3","bias","average","10",46,-1.89050795870626,0.409452044802001
"exp3","bias","average","20",46,-3.04238060581205,0.399671331249978
"exp3","bias","experience","2",38,-4.02704304618145,0.53401387448464
"exp3","bias","experience","10",38,-1.21300288227521,0.482374744188585
"exp3","bias","experience","20",38,-2.10758825769931,0.499105312558372
"exp3","abs_error","average","2",46,5.19573215984174,0.265956279996455
"exp3","abs_error","average","10",46,4.59497691886264,0.2183819224749
"exp3","abs_error","average","20",46,4.99124533890593,0.230485587523495
"exp3","abs_error","experience","2",38,5.53310425926545,0.344297345800044
"exp3","abs_error","experience","10",38,4.45428752812231,0.220715793190025
"exp3","abs_error","experience","20",38,4.81766620214329,0.254692960094385
"exp3","sd_response","average","2",46,6.88081884366277,0.229849761583127
"exp3","sd_response","average","10",46,6.25957331369032,0.247858111935437
"exp3","sd_response","average","20",46,6.50287769228445,0.247018379643981
"exp3","sd_response","experience","2",38,7.19425147392621,0.275016157715991
"exp3","sd_response","experience","10",38,6.89138987347877,0.243909030488197
"exp3","sd_response","experience","20",38,7.36241515636545,0.320493898668844
"exp3","sd_objective","average","2",46,6.66708285477284,0.0783511429812262
"exp3","sd_objective","average","10",46,6.45436488471944,0.0949911665877759
"exp3","sd_objective","average","20",46,6.56503080726716,0.0780553966568011
"exp3","sd_objective","experience","2",38,6.39328896046078,0.0899114949626787
"exp3","sd_objective","experience","10",38,6.6406140710766,0.0913903165592195
"exp3","sd_objective","experience","20",38,6.58476887021356,0.0976629618764275
"exp3","mean_rt","average","2",46,2886.31057092422,158.428160786581
"exp3","mean_rt","average","10",46,2827.02126871696,157.630072320403
"exp3","mean_rt","average","20",46,2882.6069877519,156.420795160615
"exp3","mean_rt","experience","2",38,2436.29751658395,129.222445433107
"exp3","mean_rt","experience","10",38,2448.15864982255,120.121073734536
"exp3","mean_rt","experience","20",38,2449.90823852944,125.851044292954
