"comparison_set","experiment","measure","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"noise","exp3","slope_fwd","X2 - X10","average",0.129961232311918,0.0334169170603563,82,3.88908504268024,0.000591359134373137,NA
"noise","exp3","slope_fwd","X2 - X20","average",0.0915585635538089,0.0355286403086436,82,2.57703539337344,0.0312330035048725,NA
"noise","exp3","slope_fwd","X10 - X20","average",-0.0384026687581089,0.0294090135916705,82,-1.30581288074843,0.396041248229305,NA
"noise","exp3","slope_fwd","X2 - X10","experience",0.0880248889559513,0.0367666023750036,82,2.39415347815213,0.0491490112180694,NA
"noise","exp3","slope_fwd","X2 - X20","experience",0.00738552238155692,0.0390900030901444,82,0.188936346833367,0.980517764777818,NA
"noise","exp3","slope_fwd","X10 - X20","experience",-0.0806393665743944,0.0323569498351114,82,-2.49218072115347,0.0386761659641682,NA
"condition","exp3","slope_fwd","average - experience",NA,-0.0578204041315952,0.0573994501566053,82,-1.00733376319532,0.316737709316194,"X2"
"condition","exp3","slope_fwd","average - experience",NA,-0.0997567474875619,0.0583485639027975,82,-1.70966928429886,0.0911088766380725,"X10"
"condition","exp3","slope_fwd","average - experience",NA,-0.141993445303847,0.061934717159562,82,-2.29263088322549,0.0244311903324213,"X20"
"noise","exp3","slope_rev","X2 - X10","average",0.0408000515061612,0.0304521838960334,82,1.33980707739899,0.377440480598315,NA
"noise","exp3","slope_rev","X2 - X20","average",0.0423757198765565,0.0265816185733099,82,1.59417379945047,0.253914734725993,NA
"noise","exp3","slope_rev","X10 - X20","average",0.00157566837039534,0.0331319609125882,82,0.0475573532925628,0.998753860559828,NA
"noise","exp3","slope_rev","X2 - X10","experience",-0.0551009051680224,0.0335046867050521,82,-1.64457306087013,0.232978440528698,NA
"noise","exp3","slope_rev","X2 - X20","experience",-0.0165273332197168,0.0292461389781621,82,-0.565111628309556,0.838978362149384,NA
"noise","exp3","slope_rev","X10 - X20","experience",0.0385735719483056,0.0364530824485431,82,1.05817037565358,0.54264306651744,NA
"condition","exp3","slope_rev","average - experience",NA,0.0815869505301751,0.0394016988780434,82,2.07064550142124,0.0415376885176593,"X2"
"condition","exp3","slope_rev","average - experience",NA,-0.0143140061440084,0.0514427335775133,82,-0.278251273767173,0.781519908687847,"X10"
"condition","exp3","slope_rev","average - experience",NA,0.0226838974339019,0.0417909221614118,82,0.542794852582778,0.588743395408674,"X20"
"noise","exp3","r","X2 - X10","average",0.217122228319071,0.0455761622711147,82,4.76394276085592,2.39593069103483e-05,NA
"noise","exp3","r","X2 - X20","average",0.153345511059426,0.0451922294350419,82,3.39318314180185,0.00303113179163939,NA
"noise","exp3","r","X10 - X20","average",-0.0637767172596455,0.0437463049834301,82,-1.45787666601333,0.316508348035236,NA
"noise","exp3","r","X2 - X10","experience",-0.00120507953577031,0.0501446807009207,82,-0.0240320512350613,0.999681638115289,NA
"noise","exp3","r","X2 - X20","experience",-0.00750724503993363,0.0497222627412657,82,-0.150983576089412,0.987513047051287,NA
"noise","exp3","r","X10 - X20","experience",-0.00630216550416331,0.0481313999671598,82,-0.130936675610169,0.990593747865005,NA
"condition","exp3","r","average - experience",NA,0.0403082615817669,0.0663747967435559,82,0.60728263677403,0.545341367169381,"X2"
