"bucket","bucket_label","array_length","condition","value","n_trials","direction"
1,"0-2","2","experience",16,2,"reverse"
1,"0-2","20","average",14,1,"reverse"
1,"0-2","20","experience",15,1,"reverse"
4,"3-5","2","average",16.8888888888889,9,"reverse"
4,"3-5","2","experience",17.95,20,"reverse"
4,"3-5","10","average",21,2,"reverse"
4,"3-5","10","experience",16,3,"reverse"
4,"3-5","20","average",15,1,"reverse"
4,"3-5","20","experience",16.4166666666667,12,"reverse"
7,"6-8","2","average",16.972972972973,37,"reverse"
7,"6-8","2","experience",17.5217391304348,46,"reverse"
7,"6-8","10","average",16.1,10,"reverse"
7,"6-8","10","experience",16.6315789473684,19,"reverse"
7,"6-8","20","average",16.12,25,"reverse"
7,"6-8","20","experience",16.52,25,"reverse"
10,"9-11","2","average",18.0105263157895,95,"reverse"
10,"9-11","2","experience",18.5466666666667,75,"reverse"
10,"9-11","10","average",17.7441860465116,43,"reverse"
10,"9-11","10","experience",17.0714285714286,42,"reverse"
10,"9-11","20","average",17.3333333333333,75,"reverse"
10,"9-11","20","experience",18.1224489795918,49,"reverse"
13,"12-14","2","average",18.6206896551724,145,"reverse"
13,"12-14","2","experience",20.007874015748,127,"reverse"
13,"12-14","10","average",18.7589285714286,112,"reverse"
13,"12-14","10","experience",18.3666666666667,90,"reverse"
13,"12-14","20","average",19.0939597315436,149,"reverse"
13,"12-14","20","experience",18.4886363636364,88,"reverse"
16,"15-17","2","average",21.5566502463054,203,"reverse"
16,"15-17","2","experience",21,145,"reverse"
16,"15-17","10","average",20.2601156069364,173,"reverse"
16,"15-17","10","experience",18.8952380952381,105,"reverse"
16,"15-17","20","average",20.7068062827225,191,"reverse"
16,"15-17","20","experience",20.2222222222222,153,"reverse"
19,"18-20","2","average",23.5263157894737,190,"reverse"
19,"18-20","2","experience",23.6187845303867,181,"reverse"
19,"18-20","10","average",22,202,"reverse"
19,"18-20","10","experience",20.8618421052632,152,"reverse"
19,"18-20","20","average",22.7105263157895,190,"reverse"
19,"18-20","20","experience",22.0440251572327,159,"reverse"
22,"21-23","2","average",25.9333333333333,210,"reverse"
22,"21-23","2","experience",25.6912751677852,149,"reverse"
22,"21-23","10","average",24.3777777777778,225,"reverse"
22,"21-23","10","experience",24.0685714285714,175,"reverse"
22,"21-23","20","average",25.09375,224,"reverse"
22,"21-23","20","experience",24.361963190184,163,"reverse"
25,"24-26","2","average",28.789156626506,166,"reverse"
25,"24-26","2","experience",27.865671641791,134,"reverse"
25,"24-26","10","average",26.5235602094241,191,"reverse"
25,"24-26","10","experience",26.1910828025478,157,"reverse"
25,"24-26","20","average",27.2722513089005,191,"reverse"
25,"24-26","20","experience",26.198717948718,156,"reverse"
28,"27-29","2","average",30.6884057971014,138,"reverse"
28,"27-29","2","experience",29.6880733944954,109,"reverse"
28,"27-29","10","average",28,168,"reverse"
28,"27-29","10","experience",28.1863354037267,161,"reverse"
28,"27-29","20","average",29.6402877697842,139,"reverse"
28,"27-29","20","experience",28.936,125,"reverse"
31,"30-32","2","average",32.1634615384615,104,"reverse"
31,"30-32","2","experience",31.578947368421,76,"reverse"
31,"30-32","10","average",30.0769230769231,143,"reverse"
31,"30-32","10","experience",31.1584158415842,101,"reverse"
31,"30-32","20","average",30.7450980392157,102,"reverse"
31,"30-32","20","experience",30.4257425742574,101,"reverse"
34,"33-35","2","average",32.463768115942,69,"reverse"
34,"33-35","2","experience",32.1206896551724,58,"reverse"
34,"33-35","10","average",31.2266666666667,75,"reverse"
34,"33-35","10","experience",31.297619047619,84,"reverse"
