"participant_id","condition","array_length","band","n_trials","dist","inward"
"average.566a17d07da0350012b3e876","average","2","extreme",24,8.33508771929825,2.375
"average.566a17d07da0350012b3e876","average","2","middle",8,2.625,2.75
"average.566a17d07da0350012b3e876","average","10","extreme",14,8.78571428571429,7.64285714285714
"average.566a17d07da0350012b3e876","average","10","middle",18,2.7187134502924,5.33333333333333
"average.566a17d07da0350012b3e876","average","20","extreme",14,8.07593984962406,2
"average.566a17d07da0350012b3e876","average","20","middle",17,2.18080495356037,-1.41176470588235
"average.573b8bc2f3580b0006ce0986","average","2","extreme",19,7.76346749226006,-0.947368421052632
"average.573b8bc2f3580b0006ce0986","average","2","middle",13,2.34570135746606,3.30769230769231
"average.573b8bc2f3580b0006ce0986","average","10","extreme",11,7.34438502673797,3.45454545454545
"average.573b8bc2f3580b0006ce0986","average","10","middle",14,2.81596638655462,1.57142857142857
"average.573b8bc2f3580b0006ce0986","average","20","extreme",19,7.94365325077399,3.21052631578947
"average.573b8bc2f3580b0006ce0986","average","20","middle",9,1.9281045751634,5.11111111111111
"average.588f1a4f7f238e000133c03f","average","2","extreme",13,8.38548951048951,1.46153846153846
"average.588f1a4f7f238e000133c03f","average","2","middle",16,2.52414772727273,4.125
"average.588f1a4f7f238e000133c03f","average","10","extreme",20,9.05,7.35
"average.588f1a4f7f238e000133c03f","average","10","middle",9,2.08712121212121,5
"average.588f1a4f7f238e000133c03f","average","20","extreme",13,8.2770979020979,6.69230769230769
"average.588f1a4f7f238e000133c03f","average","20","middle",17,2.99933155080214,4.47058823529412
"average.59f224ce40333e00017edfe8","average","2","extreme",19,8.68020594965675,0.894736842105263
"average.59f224ce40333e00017edfe8","average","2","middle",13,2.77341137123746,1.46153846153846
"average.59f224ce40333e00017edfe8","average","10","extreme",20,8.50217391304348,3.2
"average.59f224ce40333e00017edfe8","average","10","middle",10,2.90434782608696,0.5
"average.59f224ce40333e00017edfe8","average","20","extreme",15,8.46739130434783,0.0666666666666669
"average.59f224ce40333e00017edfe8","average","20","middle",15,3.19927536231884,-2.26666666666667
"average.5a907927873cda0001dc4719","average","2","extreme",13,7.93896321070234,-0.538461538461538
"average.5a907927873cda0001dc4719","average","2","middle",17,2.62851662404092,-2.29411764705882
"average.5a907927873cda0001dc4719","average","10","extreme",15,7.7963768115942,0.933333333333333
"average.5a907927873cda0001dc4719","average","10","middle",16,2.96059782608696,1.3125
"average.5a907927873cda0001dc4719","average","20","extreme",17,8.29731457800512,-0.235294117647059
"average.5a907927873cda0001dc4719","average","20","middle",14,3.02639751552795,0.428571428571428
"average.5c22db5c540c6d00018bc10c","average","2","extreme",15,8.32028985507246,1
"average.5c22db5c540c6d00018bc10c","average","2","middle",16,3.05978260869565,0.5625
"average.5c22db5c540c6d00018bc10c","average","10","extreme",13,8.20903010033445,0.0769230769230772
"average.5c22db5c540c6d00018bc10c","average","10","middle",17,3.10358056265985,-0.411764705882353
"average.5c22db5c540c6d00018bc10c","average","20","extreme",10,8.3,-0.4
"average.5c22db5c540c6d00018bc10c","average","20","middle",21,2.84989648033126,-1.85714285714286
"average.5c6c597c42e33400019c72a5","average","2","extreme",13,8.08592471358429,0.538461538461538
"average.5c6c597c42e33400019c72a5","average","2","middle",18,2.56855791962175,0.166666666666667
"average.5c6c597c42e33400019c72a5","average","10","extreme",23,8.27705827937095,1.73913043478261
"average.5c6c597c42e33400019c72a5","average","10","middle",9,2.84751773049645,-2
"average.5c6c597c42e33400019c72a5","average","20","extreme",15,8.29290780141844,3.2
"average.5c6c597c42e33400019c72a5","average","20","middle",16,3.21808510638298,0.875
"average.5c7f489defd9e20015751167","average","2","extreme",17,8.30162703379224,0.411764705882353
"average.5c7f489defd9e20015751167","average","2","middle",15,2.59716312056738,-0.466666666666667
"average.5c7f489defd9e20015751167","average","10","extreme",11,8.72340425531915,0.181818181818182
"average.5c7f489defd9e20015751167","average","10","middle",20,2.7,0.75
"average.5c7f489defd9e20015751167","average","20","extreme",17,9.41927409261577,2.70588235294118
"average.5c7f489defd9e20015751167","average","20","middle",14,2.43465045592705,-0.285714285714286
"average.5d7ff85ffec5620017b07c40","average","2","extreme",18,9.16666666666667,0.944444444444444
"average.5d7ff85ffec5620017b07c40","average","2","middle",14,3.64285714285714,2.78571428571429
"average.5d7ff85ffec5620017b07c40","average","10","extreme",12,7.85,3.25
"average.5d7ff85ffec5620017b07c40","average","10","middle",16,2.9,-1.5
"average.5d7ff85ffec5620017b07c40","average","20","extreme",21,8.37619047619048,-0.142857142857143
"average.5d7ff85ffec5620017b07c40","average","20","middle",9,4.03333333333333,-1
"average.5f5e32a0d6a12c6857b8e127","average","2","extreme",19,8.0848896434635,7.21052631578947
"average.5f5e32a0d6a12c6857b8e127","average","2","middle",12,3.08064516129032,-0.416666666666666
"average.5f5e32a0d6a12c6857b8e127","average","10","extreme",12,8.66935483870968,6.5
"average.5f5e32a0d6a12c6857b8e127","average","10","middle",20,2.59677419354839,1.1
"average.5f5e32a0d6a12c6857b8e127","average","20","extreme",18,8.2258064516129,6.27777777777778
"average.5f5e32a0d6a12c6857b8e127","average","20","middle",12,2.57795698924731,-2.33333333333333
"average.607dc630d2d30aa7e8699c23","average","2","extreme",13,8.34197324414716,1.46153846153846
"average.607dc630d2d30aa7e8699c23","average","2","middle",17,3.05434782608696,2.88235294117647
"average.607dc630d2d30aa7e8699c23","average","10","extreme",12,7.89492753623188,4.58333333333333
"average.607dc630d2d30aa7e8699c23","average","10","middle",19,2.78546910755149,1.68421052631579
"average.607dc630d2d30aa7e8699c23","average","20","extreme",10,9.06304347826087,2.7
"average.607dc630d2d30aa7e8699c23","average","20","middle",21,3.34213250517598,1.19047619047619
"average.60fcc2322b3777e4020465cb","average","2","extreme",13,8.47058823529412,-3.30769230769231
"average.60fcc2322b3777e4020465cb","average","2","middle",15,2.56156862745098,-3.06666666666667
"average.60fcc2322b3777e4020465cb","average","10","extreme",13,8.87873303167421,-3.07692307692308
"average.60fcc2322b3777e4020465cb","average","10","middle",18,2.78627450980392,-2.16666666666667
"average.60fcc2322b3777e4020465cb","average","20","extreme",12,8.66666666666667,-1.83333333333333
"average.60fcc2322b3777e4020465cb","average","20","middle",14,2.93949579831933,-1.21428571428571
"average.61074792728f0f9e791ad083","average","2","extreme",16,8.64407894736842,0.5
"average.61074792728f0f9e791ad083","average","2","middle",16,2.73092105263158,-0.3125
"average.61074792728f0f9e791ad083","average","10","extreme",23,8.97254004576659,2.26086956521739
"average.61074792728f0f9e791ad083","average","10","middle",9,2.73684210526316,4.22222222222222
"average.61074792728f0f9e791ad083","average","20","extreme",14,8.11804511278195,-0.5
"average.61074792728f0f9e791ad083","average","20","middle",17,2.97832817337461,-2.76470588235294
"average.6110888158573651261c3100","average","2","extreme",14,9.21428571428571,2.85714285714286
"average.6110888158573651261c3100","average","2","middle",17,2.19354838709677,0
"average.6110888158573651261c3100","average","10","extreme",12,8.09498207885305,3
"average.6110888158573651261c3100","average","10","middle",18,3.16666666666667,1
"average.6110888158573651261c3100","average","20","extreme",17,8.80645161290323,2.05882352941176
"average.6110888158573651261c3100","average","20","middle",15,2.78064516129032,0.133333333333334
"average.614f39b82ccdbdd51c76cc50","average","2","extreme",16,9.04368279569892,-1.1875
"average.614f39b82ccdbdd51c76cc50","average","2","middle",14,2.64285714285714,-0.928571428571428
"average.614f39b82ccdbdd51c76cc50","average","10","extreme",14,8.59984639016897,-0.357142857142857
"average.614f39b82ccdbdd51c76cc50","average","10","middle",18,2.44444444444444,0.111111111111111
"average.614f39b82ccdbdd51c76cc50","average","20","extreme",13,8.51943755169562,-1.76923076923077
"average.614f39b82ccdbdd51c76cc50","average","20","middle",18,3.31123058542413,0.833333333333333
"average.6151e479b4ee16668948c7f2","average","2","extreme",17,8.21631878557875,2.35294117647059
"average.6151e479b4ee16668948c7f2","average","2","middle",13,2.82133995037221,-1.07692307692308
"average.6151e479b4ee16668948c7f2","average","10","extreme",17,8.89563567362429,2.29411764705882
"average.6151e479b4ee16668948c7f2","average","10","middle",15,2.88817204301075,0.466666666666667
"average.6151e479b4ee16668948c7f2","average","20","extreme",11,8.24340175953079,3.18181818181818
"average.6151e479b4ee16668948c7f2","average","20","middle",20,2.52741935483871,-2.3
"average.62733b8ee687326d23d970ea","average","2","extreme",16,7.8125,3.75
"average.62733b8ee687326d23d970ea","average","2","middle",14,3.66304347826087,3.35714285714286
"average.62733b8ee687326d23d970ea","average","10","extreme",19,8.09897025171625,5.10526315789474
"average.62733b8ee687326d23d970ea","average","10","middle",11,3.87648221343874,3
"average.62733b8ee687326d23d970ea","average","20","extreme",19,7.87128146453089,3.1578947368421
"average.62733b8ee687326d23d970ea","average","20","middle",13,1.66137123745819,0.538461538461539
"average.628a4816764d2f993ee7493d","average","2","extreme",18,8.52681992337165,-0.944444444444444
"average.628a4816764d2f993ee7493d","average","2","middle",10,3.09310344827586,4.2
"average.628a4816764d2f993ee7493d","average","10","extreme",13,8.44562334217507,0.461538461538461
"average.628a4816764d2f993ee7493d","average","10","middle",16,2.71551724137931,-0.375
"average.628a4816764d2f993ee7493d","average","20","extreme",17,8.16227180527383,-1
"average.628a4816764d2f993ee7493d","average","20","middle",13,2.6737400530504,-2.23076923076923
"average.62e97dfea1a1ef00cb9f0b10","average","2","extreme",13,8.17545375972342,5.38461538461539
"average.62e97dfea1a1ef00cb9f0b10","average","2","middle",17,2.00330469266358,1.11764705882353
"average.62e97dfea1a1ef00cb9f0b10","average","10","extreme",16,8.10393258426966,1.875
"average.62e97dfea1a1ef00cb9f0b10","average","10","middle",14,2.0553772070626,-2.07142857142857
"average.62e97dfea1a1ef00cb9f0b10","average","20","extreme",13,8.63699222126188,4.69230769230769
"average.62e97dfea1a1ef00cb9f0b10","average","20","middle",16,2.24297752808989,1.25
"average.631a9f635762d2b83a53202b","average","2","extreme",20,8.53617021276596,-0.85
"average.631a9f635762d2b83a53202b","average","2","middle",12,3.56914893617021,4.25
"average.631a9f635762d2b83a53202b","average","10","extreme",19,7.49888017917133,-1.84210526315789
"average.631a9f635762d2b83a53202b","average","10","middle",12,2.83333333333333,-1.33333333333333
"average.631a9f635762d2b83a53202b","average","20","extreme",14,8.16261398176292,2.28571428571429
"average.631a9f635762d2b83a53202b","average","20","middle",17,2.24342928660826,1.05882352941176
"average.63b82398bbe6a599972413ad","average","2","extreme",16,8.6875,-2.0625
"average.63b82398bbe6a599972413ad","average","2","middle",14,2.38145896656535,-1
"average.63b82398bbe6a599972413ad","average","10","extreme",25,8.52340425531915,0.32
"average.63b82398bbe6a599972413ad","average","10","middle",7,1.58358662613982,0.857142857142857
"average.63b82398bbe6a599972413ad","average","20","extreme",12,8.91666666666667,1.66666666666667
"average.63b82398bbe6a599972413ad","average","20","middle",20,2.74148936170213,2.05
"average.63dab0380b8791f9560fd329","average","2","extreme",21,8.43932411674347,6.14285714285714
