"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",-0.507753588982045,0.194126852596973,82,-2.61557626979197,0.0282894185771772,NA,NA
"noise_overall","X2 - X20",-0.161208116016718,0.202901746898914,82,-0.794513199026484,0.707445692600218,NA,NA
"noise_overall","X10 - X20",0.346545472965326,0.200534156376139,82,1.72811195473013,0.200928774310724,NA,NA
"noise_within_condition","X2 - X10",-0.623507880335515,0.261136611407922,82,-2.38766933894815,0.0499203054042696,"average",NA
"noise_within_condition","X2 - X20",-0.242496479857245,0.272940471269747,82,-0.888459226032426,0.649090828331093,"average",NA
"noise_within_condition","X10 - X20",0.38101140047827,0.269755623022077,82,1.41243172694527,0.339257450469592,"average",NA
"noise_within_condition","X2 - X10",-0.391999297628575,0.287312738630251,82,-1.36436448831824,0.364285920249783,"experience",NA
"noise_within_condition","X2 - X20",-0.0799197521761921,0.300299808061166,82,-0.266133210980654,0.961727286254001,"experience",NA
"noise_within_condition","X10 - X20",0.312079545452382,0.296795713146147,82,1.05149613565581,0.546790248103657,"experience",NA
"condition_within_noise","average - experience",0.548875064187434,0.368174107859128,82,1.49080299910022,0.139850112385656,NA,"X2"
"condition_within_noise","average - experience",0.780383646894375,0.378390374256209,82,2.06237711101492,0.0423375892532193,NA,"X10"
"condition_within_noise","average - experience",0.711451791868487,0.38181731080062,82,1.86333037225753,0.065995783860694,NA,"X20"
"band_within_noise","extreme - middle",0.571042536140241,0.309510028603584,82,1.84498879960889,0.0686494219293281,NA,"X2"
"band_within_noise","extreme - middle",1.16021331957496,0.240323501073107,82,4.82771478608755,6.31276175244434e-06,NA,"X10"
"band_within_noise","extreme - middle",0.789112400176681,0.285512000756986,82,2.76385019923676,0.00705208942398791,NA,"X20"
