"participant_id","condition","array_length","side","n_trials","inward"
"average.566a17d07da0350012b3e876","average","2","high",10,14.7
"average.566a17d07da0350012b3e876","average","2","low",14,-6.42857142857143
"average.566a17d07da0350012b3e876","average","10","high",7,16.4285714285714
"average.566a17d07da0350012b3e876","average","10","low",7,-1.14285714285714
"average.566a17d07da0350012b3e876","average","20","high",4,18.25
"average.566a17d07da0350012b3e876","average","20","low",10,-4.5
"average.573b8bc2f3580b0006ce0986","average","2","high",6,5.83333333333333
"average.573b8bc2f3580b0006ce0986","average","2","low",13,-4.07692307692308
"average.573b8bc2f3580b0006ce0986","average","10","high",4,9.25
"average.573b8bc2f3580b0006ce0986","average","10","low",7,0.142857142857143
"average.573b8bc2f3580b0006ce0986","average","20","high",9,11
"average.573b8bc2f3580b0006ce0986","average","20","low",10,-3.8
"average.588f1a4f7f238e000133c03f","average","2","high",4,12
"average.588f1a4f7f238e000133c03f","average","2","low",9,-3.22222222222222
"average.588f1a4f7f238e000133c03f","average","10","high",10,12
"average.588f1a4f7f238e000133c03f","average","10","low",10,2.7
"average.588f1a4f7f238e000133c03f","average","20","high",6,11.3333333333333
"average.588f1a4f7f238e000133c03f","average","20","low",7,2.71428571428571
"average.59f224ce40333e00017edfe8","average","2","high",6,2.66666666666667
"average.59f224ce40333e00017edfe8","average","2","low",13,0.0769230769230772
"average.59f224ce40333e00017edfe8","average","10","high",12,4.5
"average.59f224ce40333e00017edfe8","average","10","low",8,1.25
"average.59f224ce40333e00017edfe8","average","20","high",8,3.375
"average.59f224ce40333e00017edfe8","average","20","low",7,-3.71428571428571
"average.5a907927873cda0001dc4719","average","2","high",10,2.4
"average.5a907927873cda0001dc4719","average","2","low",3,-10.3333333333333
"average.5a907927873cda0001dc4719","average","10","high",9,-0.444444444444444
"average.5a907927873cda0001dc4719","average","10","low",6,3
"average.5a907927873cda0001dc4719","average","20","high",7,-0.142857142857143
"average.5a907927873cda0001dc4719","average","20","low",10,-0.3
"average.5c22db5c540c6d00018bc10c","average","2","high",10,2
"average.5c22db5c540c6d00018bc10c","average","2","low",5,-1
"average.5c22db5c540c6d00018bc10c","average","10","high",5,-6.4
"average.5c22db5c540c6d00018bc10c","average","10","low",8,4.125
"average.5c22db5c540c6d00018bc10c","average","20","high",5,1
"average.5c22db5c540c6d00018bc10c","average","20","low",5,-1.8
"average.5c6c597c42e33400019c72a5","average","2","high",8,3.125
"average.5c6c597c42e33400019c72a5","average","2","low",5,-3.6
"average.5c6c597c42e33400019c72a5","average","10","high",12,3.41666666666667
"average.5c6c597c42e33400019c72a5","average","10","low",11,-0.090909090909091
"average.5c6c597c42e33400019c72a5","average","20","high",4,12
"average.5c6c597c42e33400019c72a5","average","20","low",11,0
"average.5c7f489defd9e20015751167","average","2","high",10,2.9
"average.5c7f489defd9e20015751167","average","2","low",7,-3.14285714285714
"average.5c7f489defd9e20015751167","average","10","high",5,1.4
"average.5c7f489defd9e20015751167","average","10","low",6,-0.833333333333333
"average.5c7f489defd9e20015751167","average","20","high",10,5.7
"average.5c7f489defd9e20015751167","average","20","low",7,-1.57142857142857
"average.5d7ff85ffec5620017b07c40","average","2","high",9,5.11111111111111
"average.5d7ff85ffec5620017b07c40","average","2","low",9,-3.22222222222222
"average.5d7ff85ffec5620017b07c40","average","10","high",4,4
"average.5d7ff85ffec5620017b07c40","average","10","low",8,2.875
"average.5d7ff85ffec5620017b07c40","average","20","high",9,0.444444444444444
"average.5d7ff85ffec5620017b07c40","average","20","low",12,-0.583333333333333
"average.5f5e32a0d6a12c6857b8e127","average","2","high",13,14.1538461538462
"average.5f5e32a0d6a12c6857b8e127","average","2","low",6,-7.83333333333333
"average.5f5e32a0d6a12c6857b8e127","average","10","high",7,12.7142857142857
"average.5f5e32a0d6a12c6857b8e127","average","10","low",5,-2.2
"average.5f5e32a0d6a12c6857b8e127","average","20","high",11,13
"average.5f5e32a0d6a12c6857b8e127","average","20","low",7,-4.28571428571429
"average.607dc630d2d30aa7e8699c23","average","2","high",5,10.6
"average.607dc630d2d30aa7e8699c23","average","2","low",8,-4.25
"average.607dc630d2d30aa7e8699c23","average","10","high",8,6.625
"average.607dc630d2d30aa7e8699c23","average","10","low",4,0.5
"average.607dc630d2d30aa7e8699c23","average","20","high",4,6.75
"average.607dc630d2d30aa7e8699c23","average","20","low",6,0
"average.60fcc2322b3777e4020465cb","average","2","high",4,1.5
"average.60fcc2322b3777e4020465cb","average","2","low",9,-5.44444444444444
"average.60fcc2322b3777e4020465cb","average","10","high",6,-2.66666666666667
"average.60fcc2322b3777e4020465cb","average","10","low",7,-3.42857142857143
"average.60fcc2322b3777e4020465cb","average","20","high",6,2.5
"average.60fcc2322b3777e4020465cb","average","20","low",6,-6.16666666666667
"average.61074792728f0f9e791ad083","average","2","high",6,4.5
"average.61074792728f0f9e791ad083","average","2","low",10,-1.9
"average.61074792728f0f9e791ad083","average","10","high",14,1.92857142857143
"average.61074792728f0f9e791ad083","average","10","low",9,2.77777777777778
"average.61074792728f0f9e791ad083","average","20","high",6,2.66666666666667
"average.61074792728f0f9e791ad083","average","20","low",8,-2.875
"average.6110888158573651261c3100","average","2","high",7,5.71428571428571
"average.6110888158573651261c3100","average","2","low",7,0
"average.6110888158573651261c3100","average","10","high",5,11.6
"average.6110888158573651261c3100","average","10","low",7,-3.14285714285714
"average.6110888158573651261c3100","average","20","high",7,7.57142857142857
"average.6110888158573651261c3100","average","20","low",10,-1.8
"average.614f39b82ccdbdd51c76cc50","average","2","high",9,2.88888888888889
"average.614f39b82ccdbdd51c76cc50","average","2","low",7,-6.42857142857143
"average.614f39b82ccdbdd51c76cc50","average","10","high",9,1
"average.614f39b82ccdbdd51c76cc50","average","10","low",5,-2.8
"average.614f39b82ccdbdd51c76cc50","average","20","high",4,6.5
"average.614f39b82ccdbdd51c76cc50","average","20","low",9,-5.44444444444444
"average.6151e479b4ee16668948c7f2","average","2","high",10,0.6
"average.6151e479b4ee16668948c7f2","average","2","low",7,4.85714285714286
"average.6151e479b4ee16668948c7f2","average","10","high",9,0.888888888888889
"average.6151e479b4ee16668948c7f2","average","10","low",8,3.875
"average.6151e479b4ee16668948c7f2","average","20","high",7,3.28571428571429
"average.6151e479b4ee16668948c7f2","average","20","low",4,3
"average.62733b8ee687326d23d970ea","average","2","high",8,6.375
"average.62733b8ee687326d23d970ea","average","2","low",8,1.125
"average.62733b8ee687326d23d970ea","average","10","high",10,5.8
"average.62733b8ee687326d23d970ea","average","10","low",9,4.33333333333333
"average.62733b8ee687326d23d970ea","average","20","high",3,5
"average.62733b8ee687326d23d970ea","average","20","low",16,2.8125
"average.628a4816764d2f993ee7493d","average","2","high",10,3.5
"average.628a4816764d2f993ee7493d","average","2","low",8,-6.5
"average.628a4816764d2f993ee7493d","average","10","high",4,-0.75
"average.628a4816764d2f993ee7493d","average","10","low",9,1
"average.628a4816764d2f993ee7493d","average","20","high",8,-1
"average.628a4816764d2f993ee7493d","average","20","low",9,-1
"average.62e97dfea1a1ef00cb9f0b10","average","2","high",9,8.77777777777778
"average.62e97dfea1a1ef00cb9f0b10","average","2","low",4,-2.25
"average.62e97dfea1a1ef00cb9f0b10","average","10","high",5,7
"average.62e97dfea1a1ef00cb9f0b10","average","10","low",11,-0.454545454545454
"average.62e97dfea1a1ef00cb9f0b10","average","20","high",9,7.88888888888889
"average.62e97dfea1a1ef00cb9f0b10","average","20","low",4,-2.5
"average.631a9f635762d2b83a53202b","average","2","high",9,4.44444444444444
"average.631a9f635762d2b83a53202b","average","2","low",11,-5.18181818181818
"average.631a9f635762d2b83a53202b","average","10","high",4,2.5
"average.631a9f635762d2b83a53202b","average","10","low",15,-3
"average.631a9f635762d2b83a53202b","average","20","high",8,6.875
"average.631a9f635762d2b83a53202b","average","20","low",6,-3.83333333333333
"average.63b82398bbe6a599972413ad","average","2","high",8,0.75
"average.63b82398bbe6a599972413ad","average","2","low",8,-4.875
"average.63b82398bbe6a599972413ad","average","10","high",12,0.75
"average.63b82398bbe6a599972413ad","average","10","low",13,-0.0769230769230772
"average.63b82398bbe6a599972413ad","average","20","high",6,4
"average.63b82398bbe6a599972413ad","average","20","low",6,-0.666666666666667
"average.63dab0380b8791f9560fd329","average","2","high",12,12.0833333333333
"average.63dab0380b8791f9560fd329","average","2","low",9,-1.77777777777778
"average.63dab0380b8791f9560fd329","average","10","high",10,10.4
"average.63dab0380b8791f9560fd329","average","10","low",10,1.3
"average.63dab0380b8791f9560fd329","average","20","high",8,9.625
"average.63dab0380b8791f9560fd329","average","20","low",9,-0.222222222222222
"average.64509bfcd8d8b7e61f801e95","average","2","high",9,2.77777777777778
"average.64509bfcd8d8b7e61f801e95","average","2","low",9,1.44444444444444
"average.64509bfcd8d8b7e61f801e95","average","10","high",7,4.57142857142857
"average.64509bfcd8d8b7e61f801e95","average","10","low",6,2.33333333333333
"average.64509bfcd8d8b7e61f801e95","average","20","high",6,2.66666666666667
"average.64509bfcd8d8b7e61f801e95","average","20","low",12,0.0833333333333333
"average.64a6e31ef9a471c4f100c91f","average","2","high",9,10.4444444444444
"average.64a6e31ef9a471c4f100c91f","average","2","low",7,-3.57142857142857
"average.64a6e31ef9a471c4f100c91f","average","10","high",7,13.1428571428571
"average.64a6e31ef9a471c4f100c91f","average","10","low",9,-1.33333333333333
"average.64a6e31ef9a471c4f100c91f","average","20","high",9,10.6666666666667
"average.64a6e31ef9a471c4f100c91f","average","20","low",4,0.5
"average.650b695bf3b3d34f9c461926","average","2","high",8,6.125
"average.650b695bf3b3d34f9c461926","average","2","low",9,-2.22222222222222
"average.650b695bf3b3d34f9c461926","average","10","high",7,7.28571428571429
"average.650b695bf3b3d34f9c461926","average","10","low",7,1.85714285714286
"average.650b695bf3b3d34f9c461926","average","20","high",10,7.6
"average.650b695bf3b3d34f9c461926","average","20","low",4,1.5
"average.6544fd4daeb0e81889e217f7","average","2","high",12,6.83333333333333
"average.6544fd4daeb0e81889e217f7","average","2","low",5,-6.4
"average.6544fd4daeb0e81889e217f7","average","10","high",6,1.5
"average.6544fd4daeb0e81889e217f7","average","10","low",8,0.125
"average.6544fd4daeb0e81889e217f7","average","20","high",7,3
"average.6544fd4daeb0e81889e217f7","average","20","low",4,-1.5
"average.656c1adbdb298e7230d7b396","average","2","high",8,2.125
"average.656c1adbdb298e7230d7b396","average","2","low",7,-3.42857142857143
"average.656c1adbdb298e7230d7b396","average","10","high",8,0.125
"average.656c1adbdb298e7230d7b396","average","10","low",8,-0.75
"average.656c1adbdb298e7230d7b396","average","20","high",9,7.66666666666667
"average.656c1adbdb298e7230d7b396","average","20","low",5,3.6
"average.65fa95fafeda35caf378b6f9","average","2","high",9,2.22222222222222
"average.65fa95fafeda35caf378b6f9","average","2","low",7,-2
"average.65fa95fafeda35caf378b6f9","average","10","high",3,-4.33333333333333
"average.65fa95fafeda35caf378b6f9","average","10","low",8,3.25
"average.65fa95fafeda35caf378b6f9","average","20","high",9,-2.77777777777778
"average.65fa95fafeda35caf378b6f9","average","20","low",12,0.333333333333333
"average.6631a9caa7ecf621ae2ad49f","average","2","high",7,5.85714285714286
"average.6631a9caa7ecf621ae2ad49f","average","2","low",7,2.42857142857143
"average.6631a9caa7ecf621ae2ad49f","average","10","high",9,-0.555555555555556
"average.6631a9caa7ecf621ae2ad49f","average","10","low",10,3.4
"average.6631a9caa7ecf621ae2ad49f","average","20","high",8,-0.875
"average.6631a9caa7ecf621ae2ad49f","average","20","low",4,5.25
"average.66450101a6a8f52f8b5db596","average","2","high",6,2
"average.66450101a6a8f52f8b5db596","average","2","low",8,-5.125
"average.66450101a6a8f52f8b5db596","average","10","high",4,2.5
"average.66450101a6a8f52f8b5db596","average","10","low",13,0.538461538461539
"average.66450101a6a8f52f8b5db596","average","20","high",6,1.83333333333333
"average.66450101a6a8f52f8b5db596","average","20","low",13,-1.76923076923077
"average.66463e4efb99fba5a67a010a","average","2","high",12,0.5
"average.66463e4efb99fba5a67a010a","average","2","low",5,-4.8
"average.66463e4efb99fba5a67a010a","average","10","high",5,-1.6
"average.66463e4efb99fba5a67a010a","average","10","low",9,4.11111111111111
"average.66463e4efb99fba5a67a010a","average","20","high",5,1.8
"average.66463e4efb99fba5a67a010a","average","20","low",9,0
"average.66707f3a4435f4e05d0940a1","average","2","high",6,4.5
"average.66707f3a4435f4e05d0940a1","average","2","low",11,-3.90909090909091
"average.66707f3a4435f4e05d0940a1","average","10","high",10,4.5
"average.66707f3a4435f4e05d0940a1","average","10","low",10,0.6
"average.66707f3a4435f4e05d0940a1","average","20","high",5,2
"average.66707f3a4435f4e05d0940a1","average","20","low",6,-1.33333333333333
"average.66a02d45a7db35d93c9f6a81","average","2","high",9,11
"average.66a02d45a7db35d93c9f6a81","average","2","low",11,-1.27272727272727
"average.66a02d45a7db35d93c9f6a81","average","10","high",9,8.66666666666667
"average.66a02d45a7db35d93c9f6a81","average","10","low",7,-1
"average.66a02d45a7db35d93c9f6a81","average","20","high",6,12
"average.66a02d45a7db35d93c9f6a81","average","20","low",9,-0.333333333333333
"average.66c3366a3b5834b89124e85a","average","2","high",9,7.66666666666667
"average.66c3366a3b5834b89124e85a","average","2","low",5,-0.6
"average.66c3366a3b5834b89124e85a","average","10","high",7,3.85714285714286
"average.66c3366a3b5834b89124e85a","average","10","low",6,-3
"average.66c3366a3b5834b89124e85a","average","20","high",9,7.55555555555556
"average.66c3366a3b5834b89124e85a","average","20","low",9,-4.66666666666667
"average.66ca18ce20c4af7baa912758","average","2","high",10,6.7
"average.66ca18ce20c4af7baa912758","average","2","low",6,1.66666666666667
"average.66ca18ce20c4af7baa912758","average","10","high",16,4
"average.66ca18ce20c4af7baa912758","average","10","low",3,2.66666666666667
"average.66ca18ce20c4af7baa912758","average","20","high",6,5.33333333333333
"average.66ca18ce20c4af7baa912758","average","20","low",8,1
"average.66dcc0e54f44ccecf2730c76","average","2","high",9,5.44444444444444
"average.66dcc0e54f44ccecf2730c76","average","2","low",13,0.307692307692308
"average.66dcc0e54f44ccecf2730c76","average","10","high",7,5.14285714285714
"average.66dcc0e54f44ccecf2730c76","average","10","low",6,1.5
"average.66dcc0e54f44ccecf2730c76","average","20","high",4,3
"average.66dcc0e54f44ccecf2730c76","average","20","low",9,-0.222222222222222
"average.671f12c5d2543b67c0f12e57","average","2","high",9,6
"average.671f12c5d2543b67c0f12e57","average","2","low",10,-4
"average.671f12c5d2543b67c0f12e57","average","10","high",6,6.5
"average.671f12c5d2543b67c0f12e57","average","10","low",8,-0.875
"average.671f12c5d2543b67c0f12e57","average","20","high",7,7.14285714285714
"average.671f12c5d2543b67c0f12e57","average","20","low",12,-1.25
"average.67620128f5496ea07672039c","average","2","high",6,5.66666666666667
"average.67620128f5496ea07672039c","average","2","low",10,1.2
"average.67620128f5496ea07672039c","average","10","high",7,1.42857142857143
"average.67620128f5496ea07672039c","average","10","low",7,-4.42857142857143
"average.67620128f5496ea07672039c","average","20","high",6,7.5
"average.67620128f5496ea07672039c","average","20","low",8,-4.5
"average.6766deef2e4e127d7fc3c293","average","2","high",5,9.4
"average.6766deef2e4e127d7fc3c293","average","2","low",7,-8.28571428571429
"average.6766deef2e4e127d7fc3c293","average","10","high",4,9
"average.6766deef2e4e127d7fc3c293","average","10","low",8,-4.75
"average.6766deef2e4e127d7fc3c293","average","20","high",9,8.77777777777778
"average.6766deef2e4e127d7fc3c293","average","20","low",8,-2.5
"average.676e13e5655cf7cc40923c54","average","2","high",8,3.75
"average.676e13e5655cf7cc40923c54","average","2","low",11,-2.72727272727273
"average.676e13e5655cf7cc40923c54","average","10","high",9,2.22222222222222
"average.676e13e5655cf7cc40923c54","average","10","low",6,1.83333333333333
"average.676e13e5655cf7cc40923c54","average","20","high",6,4.5
"average.676e13e5655cf7cc40923c54","average","20","low",11,-0.363636363636364
"average.6784912ccf5664bd1c08be9f","average","2","high",9,0.444444444444444
"average.6784912ccf5664bd1c08be9f","average","2","low",6,0.666666666666667
"average.6784912ccf5664bd1c08be9f","average","10","high",10,4.2
"average.6784912ccf5664bd1c08be9f","average","10","low",5,3.2
"average.6784912ccf5664bd1c08be9f","average","20","high",9,5.22222222222222
"average.6784912ccf5664bd1c08be9f","average","20","low",8,4
"average.678f0bb28ec3307e4f1afb78","average","2","high",4,7
"average.678f0bb28ec3307e4f1afb78","average","2","low",9,1
"average.678f0bb28ec3307e4f1afb78","average","10","high",7,4.14285714285714
"average.678f0bb28ec3307e4f1afb78","average","10","low",6,1.83333333333333
"average.678f0bb28ec3307e4f1afb78","average","20","high",7,5.71428571428571
"average.678f0bb28ec3307e4f1afb78","average","20","low",6,-0.5
"average.67e8e0c0be5802df7311d109","average","2","high",8,8.875
"average.67e8e0c0be5802df7311d109","average","2","low",6,-4.83333333333333
"average.67e8e0c0be5802df7311d109","average","10","high",9,10.3333333333333
"average.67e8e0c0be5802df7311d109","average","10","low",5,0.8
"average.67e8e0c0be5802df7311d109","average","20","high",10,9.5
"average.67e8e0c0be5802df7311d109","average","20","low",7,2.14285714285714
"average.67eec9e200be02ad51843d9b","average","2","high",10,1.2
"average.67eec9e200be02ad51843d9b","average","2","low",7,-3.14285714285714
"average.67eec9e200be02ad51843d9b","average","10","high",9,1.11111111111111
"average.67eec9e200be02ad51843d9b","average","10","low",12,2.5
"average.67eec9e200be02ad51843d9b","average","20","high",6,4.83333333333333
"average.67eec9e200be02ad51843d9b","average","20","low",12,-0.833333333333333
"average.67f15a6eb321af2595c63b9b","average","2","high",10,2.1
"average.67f15a6eb321af2595c63b9b","average","2","low",3,-5.33333333333333
"average.67f15a6eb321af2595c63b9b","average","10","high",4,3.75
"average.67f15a6eb321af2595c63b9b","average","10","low",11,-2.27272727272727
"average.67f15a6eb321af2595c63b9b","average","20","high",5,1.8
"average.67f15a6eb321af2595c63b9b","average","20","low",11,-3.81818181818182
"average.682b8071ffc2da7edd49f10c","average","2","high",8,6.5
"average.682b8071ffc2da7edd49f10c","average","2","low",10,-1.8
"average.682b8071ffc2da7edd49f10c","average","10","high",3,12
"average.682b8071ffc2da7edd49f10c","average","10","low",15,1.6
"average.682b8071ffc2da7edd49f10c","average","20","high",12,6
"average.682b8071ffc2da7edd49f10c","average","20","low",8,-0.375
"experience.583ec287ad2f4300014b355a","experience","2","high",11,12.9090909090909
"experience.583ec287ad2f4300014b355a","experience","2","low",6,-6.16666666666667
"experience.583ec287ad2f4300014b355a","experience","10","high",5,14.2
"experience.583ec287ad2f4300014b355a","experience","10","low",10,-0.9
"experience.583ec287ad2f4300014b355a","experience","20","high",8,9.375
"experience.583ec287ad2f4300014b355a","experience","20","low",7,-2.28571428571429
"experience.58a1fe40ea3d11000170d9b9","experience","2","high",9,6.33333333333333
"experience.58a1fe40ea3d11000170d9b9","experience","2","low",6,1.83333333333333
"experience.58a1fe40ea3d11000170d9b9","experience","10","high",11,4
"experience.58a1fe40ea3d11000170d9b9","experience","10","low",7,4.14285714285714
"experience.58a1fe40ea3d11000170d9b9","experience","20","high",8,5.125
"experience.58a1fe40ea3d11000170d9b9","experience","20","low",8,2.625
"experience.59296fb2e8a7ff000163f033","experience","2","high",4,11.75
"experience.59296fb2e8a7ff000163f033","experience","2","low",7,-4
"experience.59296fb2e8a7ff000163f033","experience","10","high",7,6.71428571428571
"experience.59296fb2e8a7ff000163f033","experience","10","low",12,-1.58333333333333
"experience.59296fb2e8a7ff000163f033","experience","20","high",8,7.75
"experience.59296fb2e8a7ff000163f033","experience","20","low",10,-1.1
"experience.5c2fcd716ea6880001dc8e3d","experience","2","high",7,9
"experience.5c2fcd716ea6880001dc8e3d","experience","2","low",4,-7
"experience.5c2fcd716ea6880001dc8e3d","experience","10","high",7,6.42857142857143
"experience.5c2fcd716ea6880001dc8e3d","experience","10","low",15,1.53333333333333
"experience.5c2fcd716ea6880001dc8e3d","experience","20","high",2,11
"experience.5c2fcd716ea6880001dc8e3d","experience","20","low",9,0.555555555555556
"experience.5c4a4b329ba9e00001ffc4f3","experience","2","high",8,10.125
"experience.5c4a4b329ba9e00001ffc4f3","experience","2","low",9,-1.11111111111111
"experience.5c4a4b329ba9e00001ffc4f3","experience","10","high",7,-0.142857142857143
"experience.5c4a4b329ba9e00001ffc4f3","experience","10","low",10,-2.4
"experience.5c4a4b329ba9e00001ffc4f3","experience","20","high",10,0.200000000000001
"experience.5c4a4b329ba9e00001ffc4f3","experience","20","low",11,0.909090909090909
"experience.5caf7f17a85c43001737b4b3","experience","2","high",10,6.6
"experience.5caf7f17a85c43001737b4b3","experience","2","low",5,-7.6
"experience.5caf7f17a85c43001737b4b3","experience","10","high",5,3.2
"experience.5caf7f17a85c43001737b4b3","experience","10","low",9,5.11111111111111
"experience.5caf7f17a85c43001737b4b3","experience","20","high",7,6.85714285714286
"experience.5caf7f17a85c43001737b4b3","experience","20","low",9,-6.77777777777778
