"level","band","n_trials","item_sd","skew","item_min","item_max","squares_at_edge","shown_minus_recorded"
"2 squares","14-17",436,4,0,11.545871559633,19.545871559633,0,0
"2 squares","18-21",439,4,0,15.49430523918,23.49430523918,0,0
"2 squares","22-28",805,4,0,20.9391304347826,28.9391304347826,0,0
"2 squares","29-31",340,4,0,26.0029411764706,34.0029411764706,0,0
"2 squares","32+",550,4,0,29.9490909090909,37.9490909090909,0,0
"10 squares","14-17",464,5.9464274989274,-0.125669583629514,6.51293103448276,24.5129310344828,0,0.199999999999999
"10 squares","18-21",436,5.9464274989274,-0.125669583629514,10.4587155963303,28.4587155963303,0,0.199999999999999
"10 squares","22-28",804,5.9464274989274,-0.125669583629514,16.0248756218905,34.0248756218905,0,0.199999999999999
"10 squares","29-31",354,5.9464274989274,-0.125669583629514,20.9943502824859,38.9943502824859,0,0.199999999999999
"10 squares","32+",520,5.9464274989274,-0.125669583629516,25.0846153846154,43.0846153846154,0,0.200000000000003
"20 squares","14-17",468,5.5,0.398497370398196,5.47435897435897,24.474358974359,0,-1.5
"20 squares","18-21",478,5.5,0.398497370398196,9.54811715481171,28.5481171548117,0,-1.5
"20 squares","22-28",786,5.5,0.398497370398196,15.1145038167939,34.1145038167939,0,-1.5
"20 squares","29-31",328,5.5,0.398497370398196,20.0213414634146,39.0213414634146,0,-1.5
"20 squares","32+",500,5.5,0.398497370398196,23.974,42.974,0,-1.5
