"meanVal","array_length","condition","mean_response","n_trials"
14,"2","average",12,54
14,"2","experience",11.7636363636364,55
14,"10","average",15.0461538461538,65
14,"10","experience",14.0425531914894,47
14,"20","average",13.2272727272727,66
14,"20","experience",14.4807692307692,52
15,"2","average",12.5344827586207,58
15,"2","experience",12.3409090909091,44
15,"10","average",15.2372881355932,59
15,"10","experience",14.8928571428571,56
15,"20","average",13.8450704225352,71
15,"20","experience",13.8245614035088,57
16,"2","average",14.1846153846154,65
16,"2","experience",13.7894736842105,38
16,"10","average",17.5522388059701,67
16,"10","experience",15.7368421052632,57
16,"20","average",14.7758620689655,58
16,"20","experience",15.2391304347826,46
17,"2","average",13.8805970149254,67
17,"2","experience",13.6545454545455,55
17,"10","average",17.12,50
17,"10","experience",17.9047619047619,63
17,"20","average",16.84375,64
17,"20","experience",16.3333333333333,54
18,"2","average",14.640625,64
18,"2","experience",13.8367346938776,49
18,"10","average",17.3802816901408,71
18,"10","experience",19.5555555555556,36
18,"20","average",16.8620689655172,58
18,"20","experience",16.9622641509434,53
19,"2","average",15.8688524590164,61
19,"2","experience",17.1,50
19,"10","average",19.84375,64
19,"10","experience",18.0943396226415,53
19,"20","average",17.3934426229508,61
19,"20","experience",17.3272727272727,55
20,"2","average",16.7358490566038,53
20,"2","experience",15.531914893617,47
20,"10","average",20.1929824561403,57
20,"10","experience",18.9333333333333,60
20,"20","average",18.8051948051948,77
20,"20","experience",17.6730769230769,52
21,"2","average",18.1186440677966,59
21,"2","experience",17.3035714285714,56
21,"10","average",20.7,50
21,"10","experience",20.5333333333333,45
21,"20","average",18.5394736842105,76
21,"20","experience",20.5869565217391,46
22,"2","average",18.22,50
22,"2","experience",18.6833333333333,60
22,"10","average",21.0625,64
22,"10","experience",21.0612244897959,49
22,"20","average",19.7166666666667,60
22,"20","experience",19.0566037735849,53
23,"2","average",19.8269230769231,52
23,"2","experience",18.8904109589041,73
23,"10","average",21.3898305084746,59
23,"10","experience",23.2291666666667,48
23,"20","average",19.5084745762712,59
23,"20","experience",19.2916666666667,48
24,"2","average",19.515625,64
24,"2","experience",19.4915254237288,59
24,"10","average",22.4833333333333,60
24,"10","experience",22.4067796610169,59
24,"20","average",19.5365853658537,41
24,"20","experience",21.7234042553191,47
25,"2","average",20.5932203389831,59
25,"2","experience",20.8541666666667,48
25,"10","average",22.3924050632911,79
25,"10","experience",24.6444444444444,45
25,"20","average",22.4923076923077,65
25,"20","experience",22.5925925925926,54
26,"2","average",21.8607594936709,79
26,"2","experience",21.6779661016949,59
26,"10","average",23.0714285714286,56
26,"10","experience",25.271186440678,59
26,"20","average",22.7666666666667,60
26,"20","experience",23.9622641509434,53
27,"2","average",22.9019607843137,51
27,"2","experience",21.8717948717949,39
27,"10","average",25.3584905660377,53
27,"10","experience",25.3125,48
27,"20","average",24.0923076923077,65
27,"20","experience",23.8363636363636,55
28,"2","average",24.2089552238806,67
28,"2","experience",24.2222222222222,45
28,"10","average",25.76,75
28,"10","experience",26.9,50
28,"20","average",25.672131147541,61
28,"20","experience",23.7076923076923,65
29,"2","average",24.948275862069,58
29,"2","experience",23.7924528301887,53
29,"10","average",25.1688311688312,77
29,"10","experience",28.0588235294118,51
29,"20","average",25.8727272727273,55
29,"20","experience",28.046511627907,43
30,"2","average",24.5,64
30,"2","experience",24.9245283018868,53
30,"10","average",27.2549019607843,51
30,"10","experience",28.0612244897959,49
30,"20","average",25.7142857142857,70
30,"20","experience",26.5454545454545,55
31,"2","average",25.4464285714286,56
31,"2","experience",26.375,56
31,"10","average",26.6376811594203,69
31,"10","experience",27.3508771929825,57
31,"20","average",26.7450980392157,51
31,"20","experience",29.7592592592593,54
32,"2","average",27.046875,64
32,"2","experience",29.5660377358491,53
32,"10","average",26.2166666666667,60
32,"10","experience",30.7179487179487,39
32,"20","average",27.3606557377049,61
32,"20","experience",28.8444444444444,45
33,"2","average",28.2142857142857,56
33,"2","experience",27.75,48
33,"10","average",29.5849056603774,53
33,"10","experience",31.0833333333333,48
33,"20","average",27.537037037037,54
33,"20","experience",30.4651162790698,43
34,"2","average",28.4691358024691,81
34,"2","experience",28.2368421052632,38
34,"10","average",30.2461538461538,65
34,"10","experience",30.3076923076923,39
34,"20","average",26.5849056603774,53
34,"20","experience",31.1521739130435,46
35,"2","average",29.09375,64
35,"2","experience",30.0652173913043,46
35,"10","average",30.6486486486486,37
35,"10","experience",31.9423076923077,52
35,"20","average",28.5555555555556,54
35,"20","experience",32.8913043478261,46
36,"2","average",29.9354838709677,62
36,"2","experience",30.6578947368421,38
36,"10","average",30.8333333333333,60
36,"10","experience",31.9402985074627,67
36,"20","average",29.5769230769231,52
36,"20","experience",33.3478260869565,46
