"experiment","model","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp3","combined","average","2",0.747241475448433,0.0242349163077251,74.8980358901875,0.698961969160217,0.795520981736649,30.83325999398,2.6204539522935e-44
"exp3","combined","experience","2",0.676549111940311,0.0261335992116899,69.8985260446808,0.624425961473029,0.728672262407594,25.8880954919398,1.52210429299692e-37
"exp3","combined","average","10",0.730404180859536,0.0316678849852057,77.4551770113789,0.667351279033097,0.793457082685975,23.0645078192231,1.94900482079995e-36
"exp3","combined","experience","10",0.750279071244912,0.0334347394564791,69.0362043561026,0.683579215092245,0.81697892739758,22.4401052151618,1.96646736819886e-33
"exp3","combined","average","20",0.721382612888339,0.0251399974092561,77.3326817055114,0.671325919122149,0.771439306654529,28.6946176304194,5.602279379014e-43
"exp3","combined","experience","20",0.680793533621854,0.026066043636082,62.7337668904643,0.628700375294739,0.732886691948968,26.1180232461309,2.05815286416835e-35
"exp3","experience","experience","2",0.680301458795396,0.0277397672639562,36.6374815323112,0.624076572854293,0.7365263447365,24.5244111935773,2.49165064965204e-24
"exp3","experience","experience","10",0.755734076734728,0.038317134211072,36.2598852636531,0.678042661630434,0.833425491839021,19.7231367192475,5.65524850829318e-21
"exp3","experience","experience","20",0.683120162142014,0.0265950982327569,32.0427207459636,0.62895055222632,0.737289772057708,25.6859424305725,6.00820790534563e-23
"exp3","average","average","2",0.741874028996653,0.0222481365309684,32.4897056737866,0.696582831651329,0.787165226341976,33.3454457169479,1.0483377093789e-26
"exp3","average","average","10",0.719709721498133,0.0253311868913496,31.8367720304312,0.668101405160472,0.771318037835794,28.4120015609654,3.44306874294239e-24
"exp3","average","average","20",0.719216110245492,0.0245746472733079,36.9831644484076,0.669422380032436,0.769009840458548,29.2665893531127,3.53201846121906e-27
