"experiment","measure","condition","variance_level","n","mean","se"
"exp4","slope_fwd","average","3",51,1.07640948871399,0.0340029091392606
"exp4","slope_fwd","average","5",51,0.914177130583767,0.0317091550037084
"exp4","slope_fwd","average","7",51,0.778450343879984,0.0318982224684332
"exp4","slope_fwd","experience","3",50,1.10008879799801,0.0361181763840439
"exp4","slope_fwd","experience","5",50,0.965574565855753,0.0325549512139372
"exp4","slope_fwd","experience","7",50,0.854673349070728,0.0361673287243716
"exp4","slope_rev","average","3",51,0.62870816599819,0.0179268117299079
"exp4","slope_rev","average","5",51,0.668310255833894,0.0218059729501408
"exp4","slope_rev","average","7",51,0.635246979277247,0.0272963249405483
"exp4","slope_rev","experience","3",50,0.630410891685706,0.0204446645563507
"exp4","slope_rev","experience","5",50,0.621765205095358,0.0227355946040404
"exp4","slope_rev","experience","7",50,0.596054396464154,0.0273180861439384
"exp4","r","average","3",51,1.17352471899902,0.0347220528820556
"exp4","r","average","5",51,1.05869473217283,0.0347026607982035
"exp4","r","average","7",51,0.88879349069727,0.0375432696879942
"exp4","r","experience","3",50,1.20157080406607,0.0367851120054208
"exp4","r","experience","5",50,1.03984348178945,0.0350311487805133
"exp4","r","experience","7",50,0.897884850296022,0.0343888029257432
"exp4","bias","average","3",51,-0.971594430219092,0.352028977856876
"exp4","bias","average","5",51,-0.43571462639304,0.335649729225469
"exp4","bias","average","7",51,-0.365964630949988,0.330871526234873
"exp4","bias","experience","3",50,-0.646524804102557,0.274474757275232
"exp4","bias","experience","5",50,-0.0232526288215744,0.290745254748567
"exp4","bias","experience","7",50,0.419300670490658,0.374738679972932
"exp4","abs_error","average","3",51,4.36448067713685,0.216044278204203
"exp4","abs_error","average","5",51,4.26351317049714,0.186679864401545
"exp4","abs_error","average","7",51,4.63474584596225,0.195285480222946
"exp4","abs_error","experience","3",50,4.30613855987698,0.188318645328965
"exp4","abs_error","experience","5",50,4.38797780688107,0.168574599640766
"exp4","abs_error","experience","7",50,4.84746457324846,0.172682215208739
"exp4","sd_response","average","3",51,8.18092537024879,0.214232823772899
"exp4","sd_response","average","5",51,7.41087993404895,0.20225530173384
"exp4","sd_response","average","7",51,7.07028231595098,0.234288456893259
"exp4","sd_response","experience","3",50,8.4695446209497,0.276126631192643
"exp4","sd_response","experience","5",50,7.83754305862679,0.226964952656988
"exp4","sd_response","experience","7",50,7.49038011360937,0.240259419376703
"exp4","sd_objective","average","3",51,6.17821659882007,0.0441190984018368
"exp4","sd_objective","average","5",51,6.23418697598038,0.0412471098398687
"exp4","sd_objective","average","7",51,6.19211262616161,0.0530962469956239
"exp4","sd_objective","experience","3",50,6.27691301223765,0.079627824648799
"exp4","sd_objective","experience","5",50,6.15913892732909,0.0613722005385315
"exp4","sd_objective","experience","7",50,6.0944681188261,0.0886731263767127
"exp4","mean_rt","average","3",51,1889.27498097761,98.2050044657528
"exp4","mean_rt","average","5",51,1880.4975998156,101.877728531501
"exp4","mean_rt","average","7",51,1868.95921860568,97.1424236776714
"exp4","mean_rt","experience","3",50,2141.99773652556,129.625056992322
"exp4","mean_rt","experience","5",50,2128.70794891166,131.545641458174
"exp4","mean_rt","experience","7",50,2131.27701848513,134.844324180866
