"bucket","bucket_label","variance_level","condition","value","n_trials","direction"
1,"0-2","3","average",15.2857142857143,7,"reverse"
1,"0-2","3","experience",15.8,5,"reverse"
1,"0-2","5","average",17.2,5,"reverse"
1,"0-2","5","experience",14.6666666666667,3,"reverse"
1,"0-2","7","average",14,1,"reverse"
1,"0-2","7","experience",15,3,"reverse"
4,"3-5","3","average",16.6666666666667,24,"reverse"
4,"3-5","3","experience",16.3703703703704,27,"reverse"
4,"3-5","5","average",17.1111111111111,9,"reverse"
4,"3-5","5","experience",17.2727272727273,11,"reverse"
4,"3-5","7","average",17.1111111111111,9,"reverse"
4,"3-5","7","experience",17.2380952380952,21,"reverse"
7,"6-8","3","average",17.1780821917808,73,"reverse"
7,"6-8","3","experience",16.3333333333333,75,"reverse"
7,"6-8","5","average",16.5102040816327,49,"reverse"
7,"6-8","5","experience",16.6551724137931,58,"reverse"
7,"6-8","7","average",17.8333333333333,36,"reverse"
7,"6-8","7","experience",16.9393939393939,33,"reverse"
10,"9-11","3","average",17.0670391061453,179,"reverse"
10,"9-11","3","experience",17.390243902439,164,"reverse"
10,"9-11","5","average",16.975,120,"reverse"
10,"9-11","5","experience",17.0606060606061,132,"reverse"
10,"9-11","7","average",17.6048387096774,124,"reverse"
10,"9-11","7","experience",17.4747474747475,99,"reverse"
13,"12-14","3","average",18.25,316,"reverse"
13,"12-14","3","experience",17.6170886075949,316,"reverse"
13,"12-14","5","average",18.2458333333333,240,"reverse"
13,"12-14","5","experience",18.4358974358974,234,"reverse"
13,"12-14","7","average",18.495145631068,206,"reverse"
13,"12-14","7","experience",18.6268656716418,201,"reverse"
16,"15-17","3","average",19.2761904761905,420,"reverse"
16,"15-17","3","experience",19.1513002364066,423,"reverse"
16,"15-17","5","average",18.8673469387755,392,"reverse"
16,"15-17","5","experience",18.8292682926829,369,"reverse"
16,"15-17","7","average",19.480122324159,327,"reverse"
16,"15-17","7","experience",19.6835016835017,297,"reverse"
19,"18-20","3","average",21.0606741573034,445,"reverse"
19,"18-20","3","experience",20.6032482598608,431,"reverse"
19,"18-20","5","average",20.982905982906,468,"reverse"
19,"18-20","5","experience",20.3380952380952,420,"reverse"
19,"18-20","7","average",21.240990990991,444,"reverse"
19,"18-20","7","experience",20.6180371352785,377,"reverse"
22,"21-23","3","average",23.7544303797468,395,"reverse"
22,"21-23","3","experience",22.9494382022472,356,"reverse"
22,"21-23","5","average",22.6237623762376,505,"reverse"
22,"21-23","5","experience",22.816091954023,435,"reverse"
22,"21-23","7","average",22.9813664596273,483,"reverse"
22,"21-23","7","experience",23.1328671328671,429,"reverse"
25,"24-26","3","average",25.5818181818182,385,"reverse"
25,"24-26","3","experience",25.2345360824742,388,"reverse"
25,"24-26","5","average",25.4662004662005,429,"reverse"
25,"24-26","5","experience",25.3022727272727,440,"reverse"
25,"24-26","7","average",25.6945010183299,491,"reverse"
25,"24-26","7","experience",24.9360824742268,485,"reverse"
28,"27-29","3","average",27.6088019559902,409,"reverse"
28,"27-29","3","experience",28.1141304347826,368,"reverse"
28,"27-29","5","average",27.4129930394432,431,"reverse"
28,"27-29","5","experience",26.8212560386473,414,"reverse"
28,"27-29","7","average",27.422131147541,488,"reverse"
28,"27-29","7","experience",26.4285714285714,469,"reverse"
31,"30-32","3","average",29.3890577507599,329,"reverse"
31,"30-32","3","experience",29.0859598853868,349,"reverse"
31,"30-32","5","average",28.9870801033592,387,"reverse"
31,"30-32","5","experience",28.4413965087282,401,"reverse"
31,"30-32","7","average",28.8759305210918,403,"reverse"
31,"30-32","7","experience",28.2,445,"reverse"
34,"33-35","3","average",30.5927419354839,248,"reverse"
34,"33-35","3","experience",30.6744186046512,258,"reverse"
34,"33-35","5","average",30.2015209125475,263,"reverse"
34,"33-35","5","experience",30.2267657992565,269,"reverse"
34,"33-35","7","average",29.911877394636,261,"reverse"
34,"33-35","7","experience",29.5328947368421,304,"reverse"
37,"36-38","3","average",31.4491017964072,167,"reverse"
37,"36-38","3","experience",31.7529411764706,170,"reverse"
37,"36-38","5","average",31.3185185185185,135,"reverse"
37,"36-38","5","experience",30.7209302325581,172,"reverse"
37,"36-38","7","average",30.828947368421,152,"reverse"
37,"36-38","7","experience",30.3841807909605,177,"reverse"
40,"39-41","3","average",31.6949152542373,59,"reverse"
40,"39-41","3","experience",32.0666666666667,75,"reverse"
40,"39-41","5","average",31.5147058823529,68,"reverse"
40,"39-41","5","experience",31.5833333333333,84,"reverse"
40,"39-41","7","average",30.2857142857143,84,"reverse"
40,"39-41","7","experience",31.9896907216495,97,"reverse"
43,"42-44","3","average",33.4722222222222,36,"reverse"
43,"42-44","3","experience",32.4081632653061,49,"reverse"
43,"42-44","5","average",31.5555555555556,27,"reverse"
43,"42-44","5","experience",31.8571428571429,28,"reverse"
43,"42-44","7","average",32.0384615384615,26,"reverse"
43,"42-44","7","experience",30.5945945945946,37,"reverse"
46,"45-47","3","average",32.2777777777778,18,"reverse"
46,"45-47","3","experience",32.6842105263158,19,"reverse"
46,"45-47","5","average",33.3333333333333,6,"reverse"
46,"45-47","5","experience",31.5714285714286,7,"reverse"
46,"45-47","7","average",33.6666666666667,3,"reverse"
46,"45-47","7","experience",30.25,8,"reverse"
49,"48-50","3","average",33.1333333333333,15,"reverse"
49,"48-50","3","experience",32.4375,16,"reverse"
49,"48-50","5","average",33.5,2,"reverse"
49,"48-50","5","experience",32.7857142857143,14,"reverse"
49,"48-50","7","average",32.3333333333333,3,"reverse"
49,"48-50","7","experience",32.8461538461538,13,"reverse"
13,"12-14","3","average",13.4047619047619,168,"forward"
13,"12-14","3","experience",13.555,200,"forward"
13,"12-14","5","average",14.9397590361446,166,"forward"
13,"12-14","5","experience",14.7730496453901,141,"forward"
