"participant_id","condition","variance_level","band","n_trials","dist","inward"
"average.55b5f6b6fdf99b713277dc94","average","3","extreme",35,8.33585164835165,0.342857142857143
"average.55b5f6b6fdf99b713277dc94","average","3","middle",36,3.09989316239316,-0.944444444444445
"average.55b5f6b6fdf99b713277dc94","average","5","extreme",36,8.38888888888889,2.16666666666667
"average.55b5f6b6fdf99b713277dc94","average","5","middle",35,2.80398351648352,1.74285714285714
"average.55b5f6b6fdf99b713277dc94","average","7","extreme",31,7.69215260545906,3.29032258064516
"average.55b5f6b6fdf99b713277dc94","average","7","middle",35,2.48722527472527,0.342857142857143
"average.58ed2be2a083320001a13783","average","3","extreme",39,8.23439649781113,-1.51282051282051
"average.58ed2be2a083320001a13783","average","3","middle",28,2.87543554006969,-0.928571428571428
"average.58ed2be2a083320001a13783","average","5","extreme",31,7.6985051140834,0.193548387096774
"average.58ed2be2a083320001a13783","average","5","middle",36,3.1360433604336,0.361111111111111
"average.58ed2be2a083320001a13783","average","7","extreme",32,8.45914634146341,1.625
"average.58ed2be2a083320001a13783","average","7","middle",39,2.40137585991245,0.41025641025641
"average.5d27dc6b46dea800184f8bfa","average","3","extreme",39,8.15018315018315,4.2051282051282
"average.5d27dc6b46dea800184f8bfa","average","3","middle",32,2.90178571428571,2.375
"average.5d27dc6b46dea800184f8bfa","average","5","extreme",27,8.33333333333333,4.51851851851852
"average.5d27dc6b46dea800184f8bfa","average","5","middle",43,2.75083056478405,1.04651162790698
"average.5d27dc6b46dea800184f8bfa","average","7","extreme",37,7.9034749034749,3.35135135135135
"average.5d27dc6b46dea800184f8bfa","average","7","middle",32,2.83482142857143,1.40625
"average.5eb278ce4602871c6d7e335d","average","3","extreme",36,7.75605581885203,-3.58333333333333
"average.5eb278ce4602871c6d7e335d","average","3","middle",34,3.12656816281015,-0.0588235294117649
"average.5eb278ce4602871c6d7e335d","average","5","extreme",37,8.53054950685283,-1
"average.5eb278ce4602871c6d7e335d","average","5","middle",35,2.48259986459039,-0.4
"average.5eb278ce4602871c6d7e335d","average","7","extreme",31,8.11573153951995,1.32258064516129
"average.5eb278ce4602871c6d7e335d","average","7","middle",38,2.70366674981292,-0.68421052631579
"average.5f0a7dec44c42c19a6c9f6d9","average","3","extreme",26,7.85789093535572,-1.84615384615385
"average.5f0a7dec44c42c19a6c9f6d9","average","3","middle",44,3.13636363636364,-1.02272727272727
"average.5f0a7dec44c42c19a6c9f6d9","average","5","extreme",34,8.01146092239713,-1.73529411764706
"average.5f0a7dec44c42c19a6c9f6d9","average","5","middle",37,2.78860550691537,-0.756756756756756
"average.5f0a7dec44c42c19a6c9f6d9","average","7","extreme",43,8.41445572660771,-0.186046511627907
"average.5f0a7dec44c42c19a6c9f6d9","average","7","middle",29,2.25335923587502,-0.827586206896552
"average.5f3898caed1478189b8462a0","average","3","extreme",32,7.6922447643979,-2.53125
"average.5f3898caed1478189b8462a0","average","3","middle",32,2.57673429319372,-1.71875
"average.5f3898caed1478189b8462a0","average","5","extreme",31,8.42526600236446,-0.741935483870968
"average.5f3898caed1478189b8462a0","average","5","middle",31,3.06350278669144,0.064516129032258
"average.5f3898caed1478189b8462a0","average","7","extreme",32,8.30301047120419,2.5
"average.5f3898caed1478189b8462a0","average","7","middle",33,2.72171981596065,1.57575757575758
"average.5f9fdfd04296cb0102563f84","average","3","extreme",31,8.09600614439324,2.38709677419355
"average.5f9fdfd04296cb0102563f84","average","3","middle",37,2.40913770913771,1.2972972972973
"average.5f9fdfd04296cb0102563f84","average","5","extreme",46,8.13747412008282,1.6304347826087
"average.5f9fdfd04296cb0102563f84","average","5","middle",25,1.71904761904762,-1.28
"average.5f9fdfd04296cb0102563f84","average","7","extreme",27,8.2015873015873,-0.148148148148148
"average.5f9fdfd04296cb0102563f84","average","7","middle",44,3.59415584415584,1.04545454545455
"average.606f9bca353fc36aba9ccb8b","average","3","extreme",32,7.68389423076923,-1
"average.606f9bca353fc36aba9ccb8b","average","3","middle",39,2.75665680473373,-2.28205128205128
"average.606f9bca353fc36aba9ccb8b","average","5","extreme",34,7.9722850678733,1.35294117647059
"average.606f9bca353fc36aba9ccb8b","average","5","middle",35,2.30082417582418,-0.428571428571429
"average.606f9bca353fc36aba9ccb8b","average","7","extreme",36,8.72115384615385,2.02777777777778
"average.606f9bca353fc36aba9ccb8b","average","7","middle",32,3.25240384615385,-1.59375
"average.61fa94015719bc09cb834e2e","average","3","extreme",28,8.34071093226023,-2.5
"average.61fa94015719bc09cb834e2e","average","3","middle",41,2.5535325775793,-0.170731707317073
"average.61fa94015719bc09cb834e2e","average","5","extreme",38,8.05473190017297,0.184210526315789
"average.61fa94015719bc09cb834e2e","average","5","middle",34,2.84382767191384,-0.294117647058824
"average.61fa94015719bc09cb834e2e","average","7","extreme",38,7.97368421052632,-0.052631578947368
"average.61fa94015719bc09cb834e2e","average","7","middle",34,3.03383043358188,0.588235294117647
"average.620bdd10a922fc3f247f6b6b","average","3","extreme",35,8.17443609022556,0.828571428571428
"average.620bdd10a922fc3f247f6b6b","average","3","middle",34,2.80185758513932,0.38235294117647
"average.620bdd10a922fc3f247f6b6b","average","5","extreme",32,8.01315789473684,2.6875
"average.620bdd10a922fc3f247f6b6b","average","5","middle",36,2.8406432748538,0.361111111111111
"average.620bdd10a922fc3f247f6b6b","average","7","extreme",34,8.12538699690402,3.17647058823529
"average.620bdd10a922fc3f247f6b6b","average","7","middle",38,2.76454293628809,1.76315789473684
"average.63d40c3695dd423166c7c83d","average","3","extreme",27,7.96548380841575,-1.07407407407407
"average.63d40c3695dd423166c7c83d","average","3","middle",35,3.16948391922214,-0.885714285714285
"average.63d40c3695dd423166c7c83d","average","5","extreme",34,8.76470588235294,0.735294117647059
"average.63d40c3695dd423166c7c83d","average","5","middle",33,2.13517372679676,-0.0303030303030296
"average.63d40c3695dd423166c7c83d","average","7","extreme",37,7.74430451393802,-1.27027027027027
"average.63d40c3695dd423166c7c83d","average","7","middle",25,2.70471204188482,-0.239999999999999
"average.63e55e08efd239a8c8b9d39e","average","3","extreme",39,7.98508382642998,-2.46153846153846
"average.63e55e08efd239a8c8b9d39e","average","3","middle",30,2.87467948717949,-0.233333333333333
"average.63e55e08efd239a8c8b9d39e","average","5","extreme",29,8.35792440318302,-0.103448275862068
"average.63e55e08efd239a8c8b9d39e","average","5","middle",41,2.97901031894934,-0.658536585365854
"average.63e55e08efd239a8c8b9d39e","average","7","extreme",32,8.21123798076923,1.96875
"average.63e55e08efd239a8c8b9d39e","average","7","middle",37,2.50870582120582,0.891891891891892
"average.63fa812428f289c772131458","average","3","extreme",37,7.93935083408768,-2.91891891891892
"average.63fa812428f289c772131458","average","3","middle",32,2.970245215311,-1.125
"average.63fa812428f289c772131458","average","5","extreme",35,8.34846206425154,2.14285714285714
"average.63fa812428f289c772131458","average","5","middle",35,2.56445659603554,-2.14285714285714
"average.63fa812428f289c772131458","average","7","extreme",31,8.05510109584812,2.29032258064516
"average.63fa812428f289c772131458","average","7","middle",39,2.91682002208318,1.28205128205128
"average.65dfbf73ec3a047b5653add8","average","3","extreme",35,7.89624060150376,-0.257142857142858
"average.65dfbf73ec3a047b5653add8","average","3","middle",35,2.66848940533151,-1.68571428571429
"average.65dfbf73ec3a047b5653add8","average","5","extreme",39,7.82542019384125,0.487179487179487
"average.65dfbf73ec3a047b5653add8","average","5","middle",31,2.51659206667696,0.193548387096774
"average.65dfbf73ec3a047b5653add8","average","7","extreme",29,8.85546939448936,1.51724137931034
"average.65dfbf73ec3a047b5653add8","average","7","middle",40,3.16028708133971,1.35
"average.65ebbd5d9188410923b21986","average","3","extreme",32,7.89018691588785,-0.9375
"average.65ebbd5d9188410923b21986","average","3","middle",40,2.475,0.25
"average.65ebbd5d9188410923b21986","average","5","extreme",36,8.46547248182762,0.222222222222223
"average.65ebbd5d9188410923b21986","average","5","middle",35,2.91108144192256,-0.4
"average.65ebbd5d9188410923b21986","average","7","extreme",36,8.03452751817238,3.41666666666667
"average.65ebbd5d9188410923b21986","average","7","middle",35,3.01068090787717,0.771428571428571
"average.66295cf0dbecaeeb1cddb852","average","3","extreme",34,8.70449500554939,-2.35294117647059
"average.66295cf0dbecaeeb1cddb852","average","3","middle",34,2.74306326304107,-1.88235294117647
"average.66295cf0dbecaeeb1cddb852","average","5","extreme",30,8.42987421383648,-0.3
"average.66295cf0dbecaeeb1cddb852","average","5","middle",42,2.61657681940701,1.11904761904762
"average.66295cf0dbecaeeb1cddb852","average","7","extreme",42,7.41846361185984,1.0952380952381
"average.66295cf0dbecaeeb1cddb852","average","7","middle",30,2.95597484276729,-0.166666666666667
"average.66c0f464e0ff62798027b486","average","3","extreme",33,7.79841897233202,-2.21212121212121
"average.66c0f464e0ff62798027b486","average","3","middle",33,2.65085638998682,0.121212121212121
"average.66c0f464e0ff62798027b486","average","5","extreme",31,8.30014025245442,1.29032258064516
"average.66c0f464e0ff62798027b486","average","5","middle",39,3.22742474916388,0.948717948717948
"average.66c0f464e0ff62798027b486","average","7","extreme",38,8.12128146453089,2.26315789473684
"average.66c0f464e0ff62798027b486","average","7","middle",33,2.52437417654809,2.39393939393939
"average.66e89b61d7709ff7f27a76be","average","3","extreme",53,7.93485226059096,0.735849056603773
"average.66e89b61d7709ff7f27a76be","average","3","middle",18,3.64255765199161,1.16666666666667
"average.66e89b61d7709ff7f27a76be","average","5","extreme",23,8.54963084495488,1.78260869565217
"average.66e89b61d7709ff7f27a76be","average","5","middle",46,2.48441345365053,1.43478260869565
"average.66e89b61d7709ff7f27a76be","average","7","extreme",29,8.22316200390371,2.89655172413793
"average.66e89b61d7709ff7f27a76be","average","7","middle",43,2.77226853883282,0.790697674418605
"average.66f0c81ea46a554aeb92cd04","average","3","extreme",28,7.70494505494506,0.75
"average.66f0c81ea46a554aeb92cd04","average","3","middle",37,2.88648648648649,1.37837837837838
"average.66f0c81ea46a554aeb92cd04","average","5","extreme",33,8.42890442890443,3.57575757575758
"average.66f0c81ea46a554aeb92cd04","average","5","middle",30,2.79128205128205,1.3
"average.66f0c81ea46a554aeb92cd04","average","7","extreme",33,8.11794871794872,3.42424242424242
"average.66f0c81ea46a554aeb92cd04","average","7","middle",34,2.75067873303167,-0.0882352941176472
"average.6711ee336b91eb0fcf53841f","average","3","extreme",36,7.76842818428184,-2.08333333333333
"average.6711ee336b91eb0fcf53841f","average","3","middle",32,2.61448170731707,-1.3125
"average.6711ee336b91eb0fcf53841f","average","5","extreme",36,7.95325203252033,-0.0277777777777778
"average.6711ee336b91eb0fcf53841f","average","5","middle",32,3.01021341463415,0.9375
"average.6711ee336b91eb0fcf53841f","average","7","extreme",30,8.6,0.3
"average.6711ee336b91eb0fcf53841f","average","7","middle",39,2.82951844903064,0.871794871794871
"average.67265982eb0c3fc495c6e33a","average","3","extreme",34,8.29070758738278,-0.26470588235294
"average.67265982eb0c3fc495c6e33a","average","3","middle",35,2.98233264320221,0
"average.67265982eb0c3fc495c6e33a","average","5","extreme",36,8.09151905528717,1.16666666666667
"average.67265982eb0c3fc495c6e33a","average","5","middle",33,2.81013028839116,0.515151515151515
"average.67265982eb0c3fc495c6e33a","average","7","extreme",30,8.1901771336554,1.26666666666667
"average.67265982eb0c3fc495c6e33a","average","7","middle",39,2.66592344853214,0.256410256410257
"average.672a8544e38b571bd7d4fb71","average","3","extreme",41,8.22710538426139,1.51219512195122
"average.672a8544e38b571bd7d4fb71","average","3","middle",31,2.71180766889836,0.225806451612903
"average.672a8544e38b571bd7d4fb71","average","5","extreme",38,7.97666335650447,2.13157894736842
"average.672a8544e38b571bd7d4fb71","average","5","middle",32,2.5625,0.96875
"average.672a8544e38b571bd7d4fb71","average","7","extreme",26,8.06240928882438,3.61538461538462
"average.672a8544e38b571bd7d4fb71","average","7","middle",44,2.98027444253859,0.840909090909091
"average.67382e41c232d1004b052fc4","average","3","extreme",33,8.13887692086744,1.45454545454545
"average.67382e41c232d1004b052fc4","average","3","middle",36,3.01382306477093,0.666666666666667
"average.67382e41c232d1004b052fc4","average","5","extreme",37,8.28602536185475,2.2972972972973
"average.67382e41c232d1004b052fc4","average","5","middle",33,2.3106419646704,-0.878787878787879
"average.67382e41c232d1004b052fc4","average","7","extreme",33,8.10369093781416,2.54545454545455
"average.67382e41c232d1004b052fc4","average","7","middle",39,2.98067808968283,1.94871794871795
"average.673feeafa80a279f5cc63e33","average","3","extreme",30,8.05242881072027,-2.86666666666667
"average.673feeafa80a279f5cc63e33","average","3","middle",33,2.67976244860667,-3.54545454545454
