"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","variance_level"
"noise_overall","X3 - X5",-0.828610619717642,0.105232503791403,99,-7.87409393356406,2.36674568832029e-10,NA,NA
"noise_overall","X3 - X7",-1.53445089362055,0.12900685460686,99,-11.8943361443599,2.23272622612569e-10,NA,NA
"noise_overall","X5 - X7",-0.705840273902912,0.102526190889377,99,-6.88448744442768,1.83094150951746e-09,NA,NA
"noise_within_condition","X3 - X5",-0.897947662366884,0.148082662586904,99,-6.06382709954253,7.2978962761816e-08,"average",NA
"noise_within_condition","X3 - X7",-1.55776300788475,0.181537812309529,99,-8.5809286124298,2.23700724610865e-10,"average",NA
"noise_within_condition","X5 - X7",-0.659815345517866,0.14427435236063,99,-4.57333777433001,4.11625305352104e-05,"average",NA
"noise_within_condition","X3 - X5",-0.759273577068399,0.149556158208225,99,-5.07684595649532,5.36658968575132e-06,"experience",NA
"noise_within_condition","X3 - X7",-1.51113877935636,0.183344203191954,99,-8.24208648568102,2.25470309089815e-10,"experience",NA
"noise_within_condition","X5 - X7",-0.751865202287958,0.145709953414517,99,-5.16001264614398,3.79049554144473e-06,"experience",NA
"condition_within_noise","average - experience",0.252553593820739,0.316624280049181,99,0.797644431379394,0.426985912588517,NA,"X3"
"condition_within_noise","average - experience",0.391227679119224,0.257794725872648,99,1.51759380567193,0.13230375296378,NA,"X5"
"condition_within_noise","average - experience",0.299177822349131,0.272509876190381,99,1.09786047585343,0.274928434786528,NA,"X7"
"band_within_noise","extreme - middle",-0.394410828770945,0.16431855267578,99,-2.40028178406102,0.0182513049913126,NA,"X3"
"band_within_noise","extreme - middle",0.547745634489123,0.173998531602868,99,3.14798998269301,0.00217287012716352,NA,"X5"
"band_within_noise","extreme - middle",0.872567566716314,0.165356926574475,99,5.27687339618833,7.76209409178217e-07,NA,"X7"
