"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","variance_level"
"noise_overall","X3 - X5",-1.24224698250992,0.131797398483066,98,-9.42542870199015,3.08367886781014e-10,NA,NA
"noise_overall","X3 - X7",-2.13116846572374,0.158865839414338,98,-13.4148944391087,3.08332359644226e-10,NA,NA
"noise_overall","X5 - X7",-0.888921483213817,0.139087821709048,98,-6.39108063014544,1.70295474388737e-08,NA,NA
"noise_within_condition","X3 - X5",-1.38932496739971,0.184516357876292,98,-7.52954905131598,3.83985399032838e-10,"average",NA
"noise_within_condition","X3 - X7",-2.44444634170848,0.222412175180073,98,-10.9906138894122,3.0834879094499e-10,"average",NA
"noise_within_condition","X5 - X7",-1.05512137430876,0.194722950392667,98,-5.41857737971341,1.28380003294737e-06,"average",NA
"noise_within_condition","X3 - X5",-1.09516899762013,0.188244337666991,98,-5.81780579003394,2.24656694025605e-07,"experience",NA
"noise_within_condition","X3 - X7",-1.817890589739,0.226905804383575,98,-8.01165309401222,3.15544368412191e-10,"experience",NA
"noise_within_condition","X5 - X7",-0.722721592118873,0.198657144803419,98,-3.63803472980568,0.00127069197170904,"experience",NA
"condition_within_noise","average - experience",0.0293199537719076,0.413496128035101,98,0.0709074445539154,0.943615918756741,NA,"X3"
"condition_within_noise","average - experience",0.323475923551496,0.367428047765172,98,0.880378962681243,0.38080793832185,NA,"X5"
"condition_within_noise","average - experience",0.655875705741385,0.386573483097849,98,1.6966391499113,0.0929390990370402,NA,"X7"
