"experiment","version","level","report","mean_objective","n"
"exp4","raw","SD 3",1,15.4,5
"exp4","raw","SD 3",2,15.5714285714286,7
"exp4","raw","SD 3",3,16.4166666666667,12
"exp4","raw","SD 3",4,16.75,16
"exp4","raw","SD 3",5,16.3913043478261,23
"exp4","raw","SD 3",6,17.2954545454545,44
"exp4","raw","SD 3",7,16.1707317073171,41
"exp4","raw","SD 3",8,16.7460317460317,63
"exp4","raw","SD 3",9,17.2631578947368,76
"exp4","raw","SD 3",10,17.4722222222222,108
"exp4","raw","SD 3",11,17.0314465408805,159
"exp4","raw","SD 3",12,17.7613636363636,176
"exp4","raw","SD 3",13,18.0467289719626,214
"exp4","raw","SD 3",14,17.9586776859504,242
"exp4","raw","SD 3",15,18.8671328671329,286
"exp4","raw","SD 3",16,18.9407407407407,270
"exp4","raw","SD 3",17,19.815331010453,287
"exp4","raw","SD 3",18,20.5101351351351,296
"exp4","raw","SD 3",19,20.4653465346535,303
"exp4","raw","SD 3",20,21.5884476534296,277
"exp4","raw","SD 3",21,22.3183673469388,245
"exp4","raw","SD 3",22,23.7653846153846,260
"exp4","raw","SD 3",23,24.0081300813008,246
"exp4","raw","SD 3",24,24.7900355871886,281
"exp4","raw","SD 3",25,25.4677419354839,248
"exp4","raw","SD 3",26,26.0573770491803,244
"exp4","raw","SD 3",27,27.1021897810219,274
"exp4","raw","SD 3",28,27.7792207792208,231
"exp4","raw","SD 3",29,28.6580882352941,272
"exp4","raw","SD 3",30,28.755364806867,233
"exp4","raw","SD 3",31,29.3008849557522,226
"exp4","raw","SD 3",32,29.6712328767123,219
"exp4","raw","SD 3",33,29.9265536723164,177
"exp4","raw","SD 3",34,30.70625,160
"exp4","raw","SD 3",35,31.3076923076923,169
"exp4","raw","SD 3",36,31.7727272727273,132
"exp4","raw","SD 3",37,31.3333333333333,102
"exp4","raw","SD 3",38,31.6504854368932,103
"exp4","raw","SD 3",39,32.0338983050847,59
"exp4","raw","SD 3",40,31.8913043478261,46
"exp4","raw","SD 3",41,31.6551724137931,29
"exp4","raw","SD 3",42,32.5428571428571,35
"exp4","raw","SD 3",43,32.7142857142857,28
"exp4","raw","SD 3",44,33.5454545454545,22
"exp4","raw","SD 3",45,32.55,20
"exp4","raw","SD 3",46,32.4117647058824,17
"exp4","raw","SD 3",48,32.7741935483871,31
"exp4","raw","SD 5",1,15.5,4
"exp4","raw","SD 5",2,17,4
"exp4","raw","SD 5",3,16.1666666666667,6
"exp4","raw","SD 5",4,17.1428571428571,7
"exp4","raw","SD 5",5,18.1428571428571,7
"exp4","raw","SD 5",6,15.8260869565217,23
"exp4","raw","SD 5",7,16.3409090909091,44
"exp4","raw","SD 5",8,17.3,40
"exp4","raw","SD 5",9,16.7121212121212,66
"exp4","raw","SD 5",10,17.2022471910112,89
"exp4","raw","SD 5",11,17.0618556701031,97
"exp4","raw","SD 5",12,17.6290322580645,124
"exp4","raw","SD 5",13,18.4733333333333,150
"exp4","raw","SD 5",14,18.68,200
"exp4","raw","SD 5",15,18.1304347826087,230
"exp4","raw","SD 5",16,19.0481927710843,249
"exp4","raw","SD 5",17,19.258865248227,282
"exp4","raw","SD 5",18,20.2517006802721,294
"exp4","raw","SD 5",19,20.8310344827586,290
"exp4","raw","SD 5",20,20.9440789473684,304
"exp4","raw","SD 5",21,21.7867867867868,333
"exp4","raw","SD 5",22,22.8795986622074,299
"exp4","raw","SD 5",23,23.5519480519481,308
"exp4","raw","SD 5",24,24.5413793103448,290
"exp4","raw","SD 5",25,25.1678321678322,286
"exp4","raw","SD 5",26,26.4266211604096,293
"exp4","raw","SD 5",27,26.1538461538462,273
"exp4","raw","SD 5",28,27.0233333333333,300
"exp4","raw","SD 5",29,28.2058823529412,272
"exp4","raw","SD 5",30,27.982206405694,281
"exp4","raw","SD 5",31,28.9157088122605,261
"exp4","raw","SD 5",32,29.3211382113821,246
"exp4","raw","SD 5",33,29.9585492227979,193
"exp4","raw","SD 5",34,30.3425414364641,181
"exp4","raw","SD 5",35,30.379746835443,158
"exp4","raw","SD 5",36,30.6220472440945,127
"exp4","raw","SD 5",37,31.5865384615385,104
"exp4","raw","SD 5",38,30.7631578947368,76
"exp4","raw","SD 5",39,31.1636363636364,55
"exp4","raw","SD 5",40,31.8148148148148,54
"exp4","raw","SD 5",41,31.7209302325581,43
"exp4","raw","SD 5",42,31.12,25
"exp4","raw","SD 5",43,32.6111111111111,18
"exp4","raw","SD 5",44,31.5833333333333,12
"exp4","raw","SD 5",45,34.1111111111111,9
"exp4","raw","SD 5",46,28.5,4
"exp4","raw","SD 5",48,32.875,16
"exp4","raw","SD 7",1,14.75,4
"exp4","raw","SD 7",3,16.625,8
"exp4","raw","SD 7",4,16.5714285714286,7
"exp4","raw","SD 7",5,17.8,15
"exp4","raw","SD 7",6,16.5,12
"exp4","raw","SD 7",7,17.8181818181818,22
"exp4","raw","SD 7",8,17.4571428571429,35
"exp4","raw","SD 7",9,17.3818181818182,55
"exp4","raw","SD 7",10,17.231884057971,69
"exp4","raw","SD 7",11,17.8585858585859,99
"exp4","raw","SD 7",12,18.5803571428571,112
"exp4","raw","SD 7",13,17.9548872180451,133
"exp4","raw","SD 7",14,19.0432098765432,162
"exp4","raw","SD 7",15,19.4842105263158,190
"exp4","raw","SD 7",16,19.3317757009346,214
"exp4","raw","SD 7",17,19.8954545454545,220
"exp4","raw","SD 7",18,20.5697674418605,258
"exp4","raw","SD 7",19,20.7826086956522,253
"exp4","raw","SD 7",20,21.4161290322581,310
"exp4","raw","SD 7",21,22.5521885521886,297
"exp4","raw","SD 7",22,22.421926910299,301
"exp4","raw","SD 7",23,24.1305732484076,314
"exp4","raw","SD 7",24,24.7629179331307,329
"exp4","raw","SD 7",25,25.3211009174312,327
"exp4","raw","SD 7",26,25.884375,320
"exp4","raw","SD 7",27,26.5492537313433,335
"exp4","raw","SD 7",28,26.9525316455696,316
"exp4","raw","SD 7",29,27.3398692810458,306
"exp4","raw","SD 7",30,28.3426573426573,286
"exp4","raw","SD 7",31,28.2707006369427,314
"exp4","raw","SD 7",32,29.0443548387097,248
"exp4","raw","SD 7",33,29.2017937219731,223
"exp4","raw","SD 7",34,29.6701030927835,194
"exp4","raw","SD 7",35,30.5202702702703,148
"exp4","raw","SD 7",36,30.8581081081081,148
"exp4","raw","SD 7",37,30.7809523809524,105
"exp4","raw","SD 7",38,29.8026315789474,76
"exp4","raw","SD 7",39,31.1447368421053,76
"exp4","raw","SD 7",40,30.7457627118644,59
"exp4","raw","SD 7",41,31.8695652173913,46
"exp4","raw","SD 7",42,30.7037037037037,27
"exp4","raw","SD 7",43,31.1818181818182,22
"exp4","raw","SD 7",44,32.1428571428571,14
"exp4","raw","SD 7",45,31.75,8
"exp4","raw","SD 7",46,29.6666666666667,3
"exp4","raw","SD 7",48,32.75,16
"exp4","shift_removed","SD 3",1,19,1
"exp4","shift_removed","SD 3",2,14,1
"exp4","shift_removed","SD 3",3,16.1428571428571,7
"exp4","shift_removed","SD 3",4,16.4,5
"exp4","shift_removed","SD 3",5,16.125,8
"exp4","shift_removed","SD 3",6,15.6129032258065,31
"exp4","shift_removed","SD 3",7,16.3103448275862,29
"exp4","shift_removed","SD 3",8,16.3333333333333,33
"exp4","shift_removed","SD 3",9,16.203125,64
"exp4","shift_removed","SD 3",10,16.9294117647059,85
"exp4","shift_removed","SD 3",11,16.6761904761905,105
"exp4","shift_removed","SD 3",12,16.9776119402985,134
"exp4","shift_removed","SD 3",13,17.5317073170732,205
"exp4","shift_removed","SD 3",14,17.6094420600858,233
"exp4","shift_removed","SD 3",15,18.1564885496183,262
"exp4","shift_removed","SD 3",16,18.4671532846715,274
"exp4","shift_removed","SD 3",17,18.9742647058824,272
"exp4","shift_removed","SD 3",18,19.7508417508418,297
"exp4","shift_removed","SD 3",19,20.1477663230241,291
"exp4","shift_removed","SD 3",20,20.4897959183673,294
"exp4","shift_removed","SD 3",21,21.9375,288
"exp4","shift_removed","SD 3",22,22.304347826087,253
"exp4","shift_removed","SD 3",23,23.3120567375887,282
"exp4","shift_removed","SD 3",24,24.0656370656371,259
"exp4","shift_removed","SD 3",25,24.675572519084,262
"exp4","shift_removed","SD 3",26,25.9251968503937,254
"exp4","shift_removed","SD 3",27,26.548,250
"exp4","shift_removed","SD 3",28,27.0851851851852,270
"exp4","shift_removed","SD 3",29,27.6903765690377,239
"exp4","shift_removed","SD 3",30,29.1066176470588,272
"exp4","shift_removed","SD 3",31,29.2867383512545,279
"exp4","shift_removed","SD 3",32,29.7848605577689,251
"exp4","shift_removed","SD 3",33,30.4095744680851,188
"exp4","shift_removed","SD 3",34,30.7674418604651,172
"exp4","shift_removed","SD 3",35,31.5141242937853,177
"exp4","shift_removed","SD 3",36,31.4964028776978,139
"exp4","shift_removed","SD 3",37,31.1889763779528,127
"exp4","shift_removed","SD 3",38,32.39,100
"exp4","shift_removed","SD 3",39,31.6447368421053,76
"exp4","shift_removed","SD 3",40,32.7254901960784,51
"exp4","shift_removed","SD 3",41,32.4871794871795,39
"exp4","shift_removed","SD 3",42,32,41
"exp4","shift_removed","SD 3",43,32.1923076923077,26
"exp4","shift_removed","SD 3",44,33.04,25
"exp4","shift_removed","SD 3",45,33.4166666666667,24
"exp4","shift_removed","SD 3",46,33.125,8
"exp4","shift_removed","SD 3",47,31.3333333333333,3
"exp4","shift_removed","SD 3",48,31.4444444444444,9
"exp4","shift_removed","SD 3",49,34.6666666666667,3
"exp4","shift_removed","SD 3",50,32.8181818181818,11
"exp4","shift_removed","SD 3",51,33.5,2
"exp4","shift_removed","SD 3",52,35,1
"exp4","shift_removed","SD 3",53,30,2
"exp4","shift_removed","SD 5",-1,15,2
"exp4","shift_removed","SD 5",1,15,1
"exp4","shift_removed","SD 5",2,14,1
"exp4","shift_removed","SD 5",3,18.75,8
"exp4","shift_removed","SD 5",4,16,7
"exp4","shift_removed","SD 5",5,16.0833333333333,12
"exp4","shift_removed","SD 5",6,17,11
"exp4","shift_removed","SD 5",7,16.4761904761905,21
"exp4","shift_removed","SD 5",8,16.0810810810811,37
"exp4","shift_removed","SD 5",9,16.7037037037037,54
"exp4","shift_removed","SD 5",10,17.0588235294118,68
"exp4","shift_removed","SD 5",11,16.7439024390244,82
"exp4","shift_removed","SD 5",12,17.5227272727273,132
"exp4","shift_removed","SD 5",13,17.2642857142857,140
"exp4","shift_removed","SD 5",14,17.4602272727273,176
"exp4","shift_removed","SD 5",15,17.9447236180905,199
"exp4","shift_removed","SD 5",16,18.7256317689531,277
"exp4","shift_removed","SD 5",17,19.1225806451613,310
"exp4","shift_removed","SD 5",18,19.5379061371841,277
"exp4","shift_removed","SD 5",19,20.4347826086957,276
"exp4","shift_removed","SD 5",20,21.0130293159609,307
"exp4","shift_removed","SD 5",21,21.3579881656805,338
"exp4","shift_removed","SD 5",22,22.1656441717791,326
"exp4","shift_removed","SD 5",23,23.4087837837838,296
"exp4","shift_removed","SD 5",24,24.1415094339623,318
"exp4","shift_removed","SD 5",25,24.9032258064516,310
"exp4","shift_removed","SD 5",26,26.0456026058632,307
"exp4","shift_removed","SD 5",27,26.5830508474576,295
"exp4","shift_removed","SD 5",28,27.3432343234323,303
"exp4","shift_removed","SD 5",29,28.1023890784983,293
"exp4","shift_removed","SD 5",30,28.9460431654676,278
"exp4","shift_removed","SD 5",31,29.17578125,256
"exp4","shift_removed","SD 5",32,29.4649122807018,228
"exp4","shift_removed","SD 5",33,30.6486486486486,222
"exp4","shift_removed","SD 5",34,30.6082474226804,194
"exp4","shift_removed","SD 5",35,30.4539007092199,141
"exp4","shift_removed","SD 5",36,31.2049180327869,122
"exp4","shift_removed","SD 5",37,31.2314814814815,108
"exp4","shift_removed","SD 5",38,31.5066666666667,75
"exp4","shift_removed","SD 5",39,31.3484848484848,66
"exp4","shift_removed","SD 5",40,31.9272727272727,55
"exp4","shift_removed","SD 5",41,30.92,25
"exp4","shift_removed","SD 5",42,31.75,20
"exp4","shift_removed","SD 5",43,31.9473684210526,19
"exp4","shift_removed","SD 5",44,31.8333333333333,18
"exp4","shift_removed","SD 5",45,34.6666666666667,3
"exp4","shift_removed","SD 5",46,33.6666666666667,9
"exp4","shift_removed","SD 5",48,32.6666666666667,3
"exp4","shift_removed","SD 5",50,32,1
"exp4","shift_removed","SD 7",-3,15,1
"exp4","shift_removed","SD 7",-2,14,1
"exp4","shift_removed","SD 7",0,17,3
"exp4","shift_removed","SD 7",1,15.75,4
"exp4","shift_removed","SD 7",2,14,1
"exp4","shift_removed","SD 7",3,14.8,5
"exp4","shift_removed","SD 7",4,15.3333333333333,3
"exp4","shift_removed","SD 7",5,15.6,10
"exp4","shift_removed","SD 7",6,16.5,12
"exp4","shift_removed","SD 7",7,16.2,25
"exp4","shift_removed","SD 7",8,17.7297297297297,37
"exp4","shift_removed","SD 7",9,17.475,40
"exp4","shift_removed","SD 7",10,17.4838709677419,62
"exp4","shift_removed","SD 7",11,17.0208333333333,96
"exp4","shift_removed","SD 7",12,17.5145631067961,103
"exp4","shift_removed","SD 7",13,18.4615384615385,104
"exp4","shift_removed","SD 7",14,18.6013513513514,148
"exp4","shift_removed","SD 7",15,18.6588235294118,170
"exp4","shift_removed","SD 7",16,19.2046511627907,215
"exp4","shift_removed","SD 7",17,19.4080717488789,223
"exp4","shift_removed","SD 7",18,19.87109375,256
"exp4","shift_removed","SD 7",19,21.015503875969,258
"exp4","shift_removed","SD 7",20,21.080701754386,285
"exp4","shift_removed","SD 7",21,21.3513513513514,296
"exp4","shift_removed","SD 7",22,22.8035714285714,336
"exp4","shift_removed","SD 7",23,23.5938461538462,325
"exp4","shift_removed","SD 7",24,23.778364116095,379
"exp4","shift_removed","SD 7",25,25.0292397660819,342
"exp4","shift_removed","SD 7",26,25.5148514851485,303
"exp4","shift_removed","SD 7",27,26.4281842818428,369
"exp4","shift_removed","SD 7",28,27.3097345132743,339
"exp4","shift_removed","SD 7",29,28.2988505747126,348
"exp4","shift_removed","SD 7",30,28.6163141993958,331
"exp4","shift_removed","SD 7",31,29.1985294117647,272
"exp4","shift_removed","SD 7",32,30.1077441077441,297
"exp4","shift_removed","SD 7",33,29.7587719298246,228
"exp4","shift_removed","SD 7",34,30.3756906077348,181
"exp4","shift_removed","SD 7",35,31.1654135338346,133
"exp4","shift_removed","SD 7",36,30.9846153846154,130
"exp4","shift_removed","SD 7",37,30.656862745098,102
"exp4","shift_removed","SD 7",38,31.0675675675676,74
"exp4","shift_removed","SD 7",39,30.8983050847458,59
"exp4","shift_removed","SD 7",40,31.6666666666667,45
"exp4","shift_removed","SD 7",41,30.4761904761905,21
"exp4","shift_removed","SD 7",42,30.7142857142857,21
"exp4","shift_removed","SD 7",43,31.3529411764706,17
"exp4","shift_removed","SD 7",44,33.0769230769231,13
"exp4","shift_removed","SD 7",45,31.6666666666667,3
"exp4","shift_removed","SD 7",46,28,2
"exp4","shift_removed","SD 7",47,32.6,5
"exp4","shift_removed","SD 7",48,31,1
"exp4","shift_removed","SD 7",50,33,2
