"meanVal","variance_level","condition","mean_response","n_trials"
14,"3","average",13.4047619047619,168
14,"3","experience",13.555,200
14,"5","average",14.9397590361446,166
14,"5","experience",14.7730496453901,141
14,"7","average",15.82,150
14,"7","experience",15.726618705036,139
15,"3","average",14.0473372781065,169
15,"3","experience",14.1377245508982,167
15,"5","average",14.8735632183908,174
15,"5","experience",15.3313609467456,169
15,"7","average",16.3172413793103,145
15,"7","experience",16.9060402684564,149
16,"3","average",14.3310344827586,145
16,"3","experience",14.9649122807018,171
16,"5","average",16.6580310880829,193
16,"5","experience",16.0292397660819,171
16,"7","average",17.4605263157895,152
16,"7","experience",17.2758620689655,145
17,"3","average",15.7453416149068,161
17,"3","experience",16.55625,160
17,"5","average",17.6,165
17,"5","experience",17.172619047619,168
17,"7","average",18.1042944785276,163
17,"7","experience",18.6622516556291,151
18,"3","average",16.1593406593407,182
18,"3","experience",16.4883720930233,172
18,"5","average",18.5704697986577,149
18,"5","experience",18.6327683615819,177
18,"7","average",18.7161290322581,155
18,"7","experience",19.2116788321168,137
19,"3","average",16.8563218390805,174
19,"3","experience",17.0529411764706,170
19,"5","average",19.0822784810127,158
19,"5","experience",18.8695652173913,161
19,"7","average",20.0457516339869,153
19,"7","experience",20.0064935064935,154
20,"3","average",18.4682080924856,173
20,"3","experience",18.3098591549296,142
20,"5","average",20.0758620689655,145
20,"5","experience",20.0308641975309,162
20,"7","average",20.5502958579882,169
20,"7","experience",21.6555555555556,180
21,"3","average",19.6538461538462,182
21,"3","experience",19.3136094674556,169
21,"5","average",20.3095238095238,168
21,"5","experience",20.0126582278481,158
21,"7","average",20.7847222222222,144
21,"7","experience",22.506329113924,158
22,"3","average",20.6363636363636,165
22,"3","experience",20.5149700598802,167
22,"5","average",21.3962264150943,159
22,"5","experience",21.5935483870968,155
22,"7","average",22.0363636363636,165
22,"7","experience",23.111801242236,161
23,"3","average",21.7972972972973,148
23,"3","experience",21.4156626506024,166
23,"5","average",23,172
23,"5","experience",23.121387283237,173
23,"7","average",24.2987804878049,164
23,"7","experience",23.7222222222222,144
24,"3","average",23.0290697674419,172
24,"3","experience",21.8111888111888,143
24,"5","average",22.9221556886228,167
24,"5","experience",23.7257142857143,175
24,"7","average",23.2733333333333,150
24,"7","experience",24.3393939393939,165
25,"3","average",23.8481012658228,158
25,"3","experience",23.8421052631579,152
25,"5","average",24.0684210526316,190
25,"5","experience",25.4846625766871,163
25,"7","average",24.6458333333333,144
25,"7","experience",24.9772727272727,176
26,"3","average",24.7391304347826,161
26,"3","experience",24.8589743589744,156
26,"5","average",25.6602564102564,156
26,"5","experience",26.5352941176471,170
26,"7","average",26.0114285714286,175
26,"7","experience",26.9480519480519,154
27,"3","average",25.6848484848485,165
27,"3","experience",25.6797385620915,153
27,"5","average",26.3766233766234,154
27,"5","experience",27.360248447205,161
27,"7","average",26.121387283237,173
27,"7","experience",27.6685714285714,175
28,"3","average",27.0206896551724,145
28,"3","experience",28.6938775510204,147
28,"5","average",27.1744186046512,172
28,"5","experience",27.4146341463415,164
28,"7","average",26.5087719298246,171
28,"7","experience",27.9122807017544,171
29,"3","average",28.9520958083832,167
29,"3","experience",29.2614379084967,153
29,"5","average",27.9760479041916,167
29,"5","experience",29.1746987951807,166
29,"7","average",27.4347826086957,161
29,"7","experience",28.7300613496933,163
30,"3","average",29.2846715328467,137
30,"3","experience",30.7486033519553,179
30,"5","average",28.9018404907975,163
30,"5","experience",30.4148148148148,135
30,"7","average",28.7422680412371,194
30,"7","experience",28.8914285714286,175
31,"3","average",30.6918918918919,185
31,"3","experience",31.7482993197279,147
31,"5","average",30.6556291390728,151
31,"5","experience",30.6586826347305,167
31,"7","average",29.4606060606061,165
31,"7","experience",30.1345029239766,171
32,"3","average",32.0062893081761,159
32,"3","experience",31.6666666666667,150
32,"5","average",31.9597315436242,149
32,"5","experience",31.4285714285714,161
32,"7","average",30.9621621621622,185
32,"7","experience",31.1477272727273,176
33,"3","average",32.3607594936709,158
33,"3","experience",34.5443037974684,158
33,"5","average",32.0118343195266,169
33,"5","experience",32.5486111111111,144
33,"7","average",30.421686746988,166
33,"7","experience",32.5245901639344,183
34,"3","average",34.54375,160
34,"3","experience",34.4802259887006,177
34,"5","average",31.9303797468354,158
34,"5","experience",33.7547169811321,159
34,"7","average",31.0166666666667,180
34,"7","experience",32.9108280254777,157
35,"3","average",34.2307692307692,91
35,"3","experience",35.6111111111111,90
35,"5","average",32.2747252747253,91
35,"5","experience",33.8901098901099,91
35,"7","average",33.042735042735,117
35,"7","experience",33.2252252252252,111
