"experiment","model","condition","variance_level","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp4","combined","average","3",0.626331161063392,0.0213206258144041,118.07486946724,0.584110794756135,0.668551527370649,29.3767718881989,4.02599390058307e-56
"exp4","combined","experience","3",0.624964512330913,0.0214186036082582,115.56007027786,0.582540566883469,0.667388457778357,29.1785834296849,3.88237517833521e-55
"exp4","combined","average","5",0.660591342344706,0.0216723952577637,126.038971785347,0.617702437830192,0.703480246859219,30.4807721752889,5.29530491148255e-60
"exp4","combined","experience","5",0.620131395248456,0.0216698235668505,121.098723086881,0.577230617044988,0.663032173451925,28.6172793855648,9.98507474240455e-56
"exp4","combined","average","7",0.624887062928247,0.02182628100891,129.59690404685,0.581705114467694,0.668069011388801,28.6300292144665,6.89621843020075e-58
"exp4","combined","experience","7",0.595206669658816,0.0218038146843526,124.103461412842,0.552051167284102,0.638362172033531,27.2982814372369,2.68788927615317e-54
"exp4","experience","experience","3",0.624886891620406,0.0210730788633538,57.5449289577212,0.582697437658678,0.667076345582133,29.6533266767719,1.48119381661301e-36
"exp4","experience","experience","5",0.620050046763946,0.0213264190051134,60.3718085067946,0.577396260266031,0.662703833261861,29.074269178303,3.32100650854494e-37
"exp4","experience","experience","7",0.595119862228881,0.0214614791376656,61.9067478060147,0.552217691199746,0.638022033258016,27.7296759655501,1.29414032784001e-36
"exp4","average","average","3",0.626381065721228,0.0216509829643277,59.1675871511054,0.583060116237942,0.669702015204515,28.9308373090154,1.28996980761021e-36
"exp4","average","average","5",0.660667834825722,0.0220002489624915,63.0679096801339,0.616704771808165,0.70463089784328,30.0300162944567,4.54468823480024e-39
"exp4","average","average","7",0.624962850198412,0.0221531365985101,64.8107532996054,0.580717532074151,0.669208168322674,28.2110322129482,4.10658881944289e-38
