"experiment","tail","condition","variance_level","n_trials","mean_report","mean_obj","se_obj"
"exp4","high","average","3",225,40.2933333333333,32.0311111111111,0.176988824765042
"exp4","high","average","5",185,39.5243243243243,31.6972972972973,0.228354910175869
"exp4","high","average","7",190,39.5210526315789,30.6052631578947,0.321051718548263
"exp4","high","experience","3",267,40.314606741573,31.9662921348315,0.192751728885607
"exp4","high","experience","5",231,39.8311688311688,31.3679653679654,0.232083296626426
"exp4","high","experience","7",262,39.8320610687023,31.1488549618321,0.231387828607639
"exp4","low","average","3",472,10.228813559322,17.5169491525424,0.15329023674145
"exp4","low","average","5",319,10.3636363636364,17.3197492163009,0.197263109000655
"exp4","low","average","7",302,10.6920529801325,17.7483443708609,0.221971752860239
"exp4","low","experience","3",472,10.3135593220339,17.2330508474576,0.146945283327933
"exp4","low","experience","5",342,10.3567251461988,17.4561403508772,0.180054519887943
"exp4","low","experience","7",269,10.2416356877323,17.8364312267658,0.239719632180226
