"experiment","window","condition","variance_level","n_trials","mean_report","mean_obj","se_obj"
"exp4","high","average","3",126,39.2222222222222,31.7857142857143,0.241321005435497
"exp4","high","average","5",120,39.4416666666667,31.5333333333333,0.301474744340644
"exp4","high","average","7",130,39.5846153846154,30.2923076923077,0.422594727109294
"exp4","high","experience","3",146,39.5342465753425,31.9794520547945,0.253547187884052
"exp4","high","experience","5",133,39.6466165413534,31.0375939849624,0.33214747165947
"exp4","high","experience","7",154,39.5194805194805,31.1883116883117,0.295650712670966
"exp4","low","average","3",296,10.472972972973,17.3682432432432,0.172584483964909
"exp4","low","average","5",206,10.5194174757282,17.2766990291262,0.247709285282467
"exp4","low","average","7",203,10.487684729064,17.807881773399,0.278893313822014
"exp4","low","experience","3",286,10.5909090909091,17.2972027972028,0.193684413026232
"exp4","low","experience","5",210,10.4380952380952,17.1809523809524,0.215228174794619
"exp4","low","experience","7",167,10.5928143712575,17.9041916167665,0.311646978230256
