"participant_id","condition","array_length","n_sides","n_low","n_high","inward_low","inward_high","inward"
"experience.55ecd6ff748092000daa9f5f","experience","2",2,8,7,-3,5.28571428571429,1.14285714285714
"experience.55ecd6ff748092000daa9f5f","experience","10",2,12,8,-0.5,3.25,1.375
"experience.55ecd6ff748092000daa9f5f","experience","20",2,5,12,-4,4.25,0.125
"experience.56b53292a9d33a000c8981a6","experience","2",2,9,7,-0.111111111111111,5.57142857142857,2.73015873015873
"experience.56b53292a9d33a000c8981a6","experience","10",2,11,6,4,2.16666666666667,3.08333333333333
"experience.56b53292a9d33a000c8981a6","experience","20",2,9,6,0.222222222222222,2.33333333333333,1.27777777777778
"experience.59205f5005b0ce000123c6e6","experience","2",2,6,7,-1.83333333333333,0,-0.916666666666667
"experience.59205f5005b0ce000123c6e6","experience","10",2,9,8,-3.66666666666667,2.375,-0.645833333333333
"experience.59205f5005b0ce000123c6e6","experience","20",2,8,9,-3.125,4,0.4375
"experience.5b6db9e0580154000153cc64","experience","2",2,5,8,4.2,2,3.1
"experience.5b6db9e0580154000153cc64","experience","10",2,9,5,4.77777777777778,-0.6,2.08888888888889
"experience.5b6db9e0580154000153cc64","experience","20",2,8,6,2.125,-2,0.0625
"experience.5d6b2515783298001a763157","experience","2",2,6,8,-1.66666666666667,2.625,0.479166666666667
"experience.5d6b2515783298001a763157","experience","10",2,10,10,0.2,1.4,0.8
"experience.5d6b2515783298001a763157","experience","20",2,9,11,-2.22222222222222,2.81818181818182,0.297979797979798
"experience.5e03e20e4cac68ec33187d80","experience","2",2,11,11,-0.090909090909091,0.818181818181818,0.363636363636364
"experience.5e03e20e4cac68ec33187d80","experience","10",2,9,10,2.55555555555556,1.3,1.92777777777778
"experience.5e03e20e4cac68ec33187d80","experience","20",2,7,10,1.42857142857143,1,1.21428571428571
"experience.5e076480c4e1550e2114f006","experience","2",2,4,9,-1,1.22222222222222,0.111111111111111
"experience.5e076480c4e1550e2114f006","experience","10",2,7,9,1.57142857142857,1.88888888888889,1.73015873015873
"experience.5e076480c4e1550e2114f006","experience","20",2,9,7,0.111111111111111,2.71428571428571,1.41269841269841
"experience.5e3adfc595ff562fbdd130fa","experience","2",2,9,10,-2.22222222222222,3.9,0.838888888888889
"experience.5e3adfc595ff562fbdd130fa","experience","10",2,5,10,-0.2,5.5,2.65
"experience.5e3adfc595ff562fbdd130fa","experience","20",2,3,8,3.33333333333333,4.875,4.10416666666667
"experience.5e437d7404eaba215eafbd2a","experience","2",2,7,9,1.85714285714286,1.77777777777778,1.81746031746032
"experience.5e437d7404eaba215eafbd2a","experience","10",2,7,10,1.14285714285714,-1.4,-0.128571428571428
"experience.5e437d7404eaba215eafbd2a","experience","20",2,7,6,3.71428571428571,-1.5,1.10714285714286
"experience.5f4813c94e8b081877fb26a6","experience","2",2,8,5,0,-5.8,-2.9
"experience.5f4813c94e8b081877fb26a6","experience","10",2,10,7,1.7,-6.14285714285714,-2.22142857142857
"experience.5f4813c94e8b081877fb26a6","experience","20",2,7,9,-3.28571428571429,-2.66666666666667,-2.97619047619048
"experience.5ff07b5ee7a1d23e719e421e","experience","2",2,10,8,2.1,2.875,2.4875
