"participant_id","condition","array_length","side","n_trials","inward"
"experience.55ecd6ff748092000daa9f5f","experience","2","high",7,5.28571428571429
"experience.55ecd6ff748092000daa9f5f","experience","2","low",8,-3
"experience.55ecd6ff748092000daa9f5f","experience","10","high",8,3.25
"experience.55ecd6ff748092000daa9f5f","experience","10","low",12,-0.5
"experience.55ecd6ff748092000daa9f5f","experience","20","high",12,4.25
"experience.55ecd6ff748092000daa9f5f","experience","20","low",5,-4
"experience.56b53292a9d33a000c8981a6","experience","2","high",7,5.57142857142857
"experience.56b53292a9d33a000c8981a6","experience","2","low",9,-0.111111111111111
"experience.56b53292a9d33a000c8981a6","experience","10","high",6,2.16666666666667
"experience.56b53292a9d33a000c8981a6","experience","10","low",11,4
"experience.56b53292a9d33a000c8981a6","experience","20","high",6,2.33333333333333
"experience.56b53292a9d33a000c8981a6","experience","20","low",9,0.222222222222222
"experience.59205f5005b0ce000123c6e6","experience","2","high",7,0
"experience.59205f5005b0ce000123c6e6","experience","2","low",6,-1.83333333333333
"experience.59205f5005b0ce000123c6e6","experience","10","high",8,2.375
"experience.59205f5005b0ce000123c6e6","experience","10","low",9,-3.66666666666667
"experience.59205f5005b0ce000123c6e6","experience","20","high",9,4
"experience.59205f5005b0ce000123c6e6","experience","20","low",8,-3.125
"experience.5b6db9e0580154000153cc64","experience","2","high",8,2
"experience.5b6db9e0580154000153cc64","experience","2","low",5,4.2
"experience.5b6db9e0580154000153cc64","experience","10","high",5,-0.6
"experience.5b6db9e0580154000153cc64","experience","10","low",9,4.77777777777778
"experience.5b6db9e0580154000153cc64","experience","20","high",6,-2
"experience.5b6db9e0580154000153cc64","experience","20","low",8,2.125
"experience.5d6b2515783298001a763157","experience","2","high",8,2.625
"experience.5d6b2515783298001a763157","experience","2","low",6,-1.66666666666667
"experience.5d6b2515783298001a763157","experience","10","high",10,1.4
"experience.5d6b2515783298001a763157","experience","10","low",10,0.2
"experience.5d6b2515783298001a763157","experience","20","high",11,2.81818181818182
"experience.5d6b2515783298001a763157","experience","20","low",9,-2.22222222222222
"experience.5e03e20e4cac68ec33187d80","experience","2","high",11,0.818181818181818
"experience.5e03e20e4cac68ec33187d80","experience","2","low",11,-0.090909090909091
"experience.5e03e20e4cac68ec33187d80","experience","10","high",10,1.3
"experience.5e03e20e4cac68ec33187d80","experience","10","low",9,2.55555555555556
"experience.5e03e20e4cac68ec33187d80","experience","20","high",10,1
"experience.5e03e20e4cac68ec33187d80","experience","20","low",7,1.42857142857143
"experience.5e076480c4e1550e2114f006","experience","2","high",9,1.22222222222222
"experience.5e076480c4e1550e2114f006","experience","2","low",4,-1
"experience.5e076480c4e1550e2114f006","experience","10","high",9,1.88888888888889
"experience.5e076480c4e1550e2114f006","experience","10","low",7,1.57142857142857
"experience.5e076480c4e1550e2114f006","experience","20","high",7,2.71428571428571
"experience.5e076480c4e1550e2114f006","experience","20","low",9,0.111111111111111
"experience.5e3adfc595ff562fbdd130fa","experience","2","high",10,3.9
"experience.5e3adfc595ff562fbdd130fa","experience","2","low",9,-2.22222222222222
"experience.5e3adfc595ff562fbdd130fa","experience","10","high",10,5.5
"experience.5e3adfc595ff562fbdd130fa","experience","10","low",5,-0.2
"experience.5e3adfc595ff562fbdd130fa","experience","20","high",8,4.875
"experience.5e3adfc595ff562fbdd130fa","experience","20","low",3,3.33333333333333
"experience.5e437d7404eaba215eafbd2a","experience","2","high",9,1.77777777777778
"experience.5e437d7404eaba215eafbd2a","experience","2","low",7,1.85714285714286
"experience.5e437d7404eaba215eafbd2a","experience","10","high",10,-1.4
"experience.5e437d7404eaba215eafbd2a","experience","10","low",7,1.14285714285714
"experience.5e437d7404eaba215eafbd2a","experience","20","high",6,-1.5
"experience.5e437d7404eaba215eafbd2a","experience","20","low",7,3.71428571428571
"experience.5f4813c94e8b081877fb26a6","experience","2","high",5,-5.8
"experience.5f4813c94e8b081877fb26a6","experience","2","low",8,0
"experience.5f4813c94e8b081877fb26a6","experience","10","high",7,-6.14285714285714
"experience.5f4813c94e8b081877fb26a6","experience","10","low",10,1.7
"experience.5f4813c94e8b081877fb26a6","experience","20","high",9,-2.66666666666667
"experience.5f4813c94e8b081877fb26a6","experience","20","low",7,-3.28571428571429
"experience.5ff07b5ee7a1d23e719e421e","experience","2","high",8,2.875
"experience.5ff07b5ee7a1d23e719e421e","experience","2","low",10,2.1
"experience.5ff07b5ee7a1d23e719e421e","experience","10","high",10,-2.3
"experience.5ff07b5ee7a1d23e719e421e","experience","10","low",8,8.375
"experience.5ff07b5ee7a1d23e719e421e","experience","20","high",8,3.125
"experience.5ff07b5ee7a1d23e719e421e","experience","20","low",10,7.6
"experience.603006ea5f6c24dfc908f835","experience","2","high",10,0.7
"experience.603006ea5f6c24dfc908f835","experience","2","low",10,-1
"experience.603006ea5f6c24dfc908f835","experience","10","high",7,-1.85714285714286
"experience.603006ea5f6c24dfc908f835","experience","10","low",9,3.88888888888889
"experience.603006ea5f6c24dfc908f835","experience","20","high",6,-2.16666666666667
"experience.603006ea5f6c24dfc908f835","experience","20","low",6,3.33333333333333
"experience.607668ac450fc6e3025a131d","experience","2","high",8,4.875
"experience.607668ac450fc6e3025a131d","experience","2","low",8,-2.875
"experience.607668ac450fc6e3025a131d","experience","10","high",6,4
"experience.607668ac450fc6e3025a131d","experience","10","low",8,2.625
"experience.607668ac450fc6e3025a131d","experience","20","high",6,3.83333333333333
"experience.607668ac450fc6e3025a131d","experience","20","low",12,1.66666666666667
"experience.609551c1ade88f8463666fb8","experience","2","high",9,0.333333333333333
"experience.609551c1ade88f8463666fb8","experience","2","low",3,3.33333333333333
"experience.609551c1ade88f8463666fb8","experience","10","high",8,0.75
"experience.609551c1ade88f8463666fb8","experience","10","low",12,2.66666666666667
"experience.609551c1ade88f8463666fb8","experience","20","high",11,-0.454545454545454
"experience.609551c1ade88f8463666fb8","experience","20","low",7,-1
"experience.61bb392e40db417c1a138dcb","experience","2","high",7,-6.57142857142857
"experience.61bb392e40db417c1a138dcb","experience","2","low",12,0.916666666666667
"experience.61bb392e40db417c1a138dcb","experience","10","high",5,-9.2
"experience.61bb392e40db417c1a138dcb","experience","10","low",10,6.9
"experience.61bb392e40db417c1a138dcb","experience","20","high",8,-3.25
"experience.61bb392e40db417c1a138dcb","experience","20","low",8,0.875
"experience.622a42c21de0c55ba18a2acb","experience","2","high",11,4.09090909090909
"experience.622a42c21de0c55ba18a2acb","experience","2","low",8,0.875
"experience.622a42c21de0c55ba18a2acb","experience","10","high",3,-0.666666666666667
"experience.622a42c21de0c55ba18a2acb","experience","10","low",18,3.11111111111111
"experience.622a42c21de0c55ba18a2acb","experience","20","high",7,1.85714285714286
"experience.622a42c21de0c55ba18a2acb","experience","20","low",12,1.08333333333333
"experience.633485c40e46cf7e9a2f2ca1","experience","2","high",11,3
"experience.633485c40e46cf7e9a2f2ca1","experience","2","low",6,-4.66666666666667
"experience.633485c40e46cf7e9a2f2ca1","experience","10","high",8,-0.625
"experience.633485c40e46cf7e9a2f2ca1","experience","10","low",9,0.222222222222222
"experience.633485c40e46cf7e9a2f2ca1","experience","20","high",10,2.6
"experience.633485c40e46cf7e9a2f2ca1","experience","20","low",8,-5.75
"experience.641e62a8191451d08e6c08f7","experience","2","high",13,10.4615384615385
"experience.641e62a8191451d08e6c08f7","experience","2","low",4,0.25
"experience.641e62a8191451d08e6c08f7","experience","10","high",8,9.25
"experience.641e62a8191451d08e6c08f7","experience","10","low",12,3.25
"experience.641e62a8191451d08e6c08f7","experience","20","high",6,6
"experience.641e62a8191451d08e6c08f7","experience","20","low",9,-1.66666666666667
"experience.651b29ff3a6cadf518640abe","experience","2","high",15,9.73333333333333
"experience.651b29ff3a6cadf518640abe","experience","2","low",9,-3.33333333333333
"experience.651b29ff3a6cadf518640abe","experience","10","high",11,6.90909090909091
"experience.651b29ff3a6cadf518640abe","experience","10","low",5,1
"experience.651b29ff3a6cadf518640abe","experience","20","high",10,9.5
"experience.651b29ff3a6cadf518640abe","experience","20","low",6,-0.5
"experience.651c4484ba17050f6b716614","experience","2","high",8,1.75
"experience.651c4484ba17050f6b716614","experience","2","low",12,-1.25
"experience.651c4484ba17050f6b716614","experience","10","high",9,0.222222222222222
"experience.651c4484ba17050f6b716614","experience","10","low",9,0.666666666666667
"experience.651c4484ba17050f6b716614","experience","20","high",7,6.57142857142857
"experience.651c4484ba17050f6b716614","experience","20","low",14,3.71428571428571
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","2","high",7,-0.285714285714286
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","2","low",6,0.166666666666667
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","10","high",3,-1
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","10","low",6,6
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","20","high",8,-3
"experience.65a2bc0d60b1e46f4e1d3cc8","experience","20","low",6,2.33333333333333
"experience.65b98fe25e75b5acc3f44626","experience","2","high",4,-3
"experience.65b98fe25e75b5acc3f44626","experience","2","low",7,-6.28571428571429
"experience.65b98fe25e75b5acc3f44626","experience","10","high",10,-2.4
"experience.65b98fe25e75b5acc3f44626","experience","10","low",12,0.25
"experience.65b98fe25e75b5acc3f44626","experience","20","high",10,4.4
"experience.65b98fe25e75b5acc3f44626","experience","20","low",7,-4.57142857142857
"experience.662a5d4dabae70ece2dfcc21","experience","2","high",6,6.66666666666667
"experience.662a5d4dabae70ece2dfcc21","experience","2","low",9,-3.55555555555556
"experience.662a5d4dabae70ece2dfcc21","experience","10","high",9,0.777777777777778
"experience.662a5d4dabae70ece2dfcc21","experience","10","low",6,-1
"experience.662a5d4dabae70ece2dfcc21","experience","20","high",9,1.22222222222222
"experience.662a5d4dabae70ece2dfcc21","experience","20","low",8,-1.75
"experience.662c1b87d84d0f2111bb3a56","experience","2","high",15,3.26666666666667
"experience.662c1b87d84d0f2111bb3a56","experience","2","low",5,-3.4
"experience.662c1b87d84d0f2111bb3a56","experience","10","high",7,0.571428571428572
"experience.662c1b87d84d0f2111bb3a56","experience","10","low",10,2.8
"experience.662c1b87d84d0f2111bb3a56","experience","20","high",10,2.1
"experience.662c1b87d84d0f2111bb3a56","experience","20","low",4,4.25
"experience.6644cf0a2e641bfd221ac4af","experience","2","high",9,4
"experience.6644cf0a2e641bfd221ac4af","experience","2","low",7,-1.14285714285714
"experience.6644cf0a2e641bfd221ac4af","experience","10","high",6,1.5
"experience.6644cf0a2e641bfd221ac4af","experience","10","low",8,2.125
"experience.6644cf0a2e641bfd221ac4af","experience","20","high",9,2.33333333333333
"experience.6644cf0a2e641bfd221ac4af","experience","20","low",12,0.166666666666667
"experience.6674d66310b6684b86ddf7b9","experience","2","high",9,7.66666666666667
