"participant_id","condition","array_length","n_trials","n_eligible","n_exaggerated","prop_exagg"
"experience.55ecd6ff748092000daa9f5f","experience","2",32,15,4,0.125
"experience.55ecd6ff748092000daa9f5f","experience","10",30,20,6,0.2
"experience.55ecd6ff748092000daa9f5f","experience","20",32,17,2,0.0625
"experience.56b53292a9d33a000c8981a6","experience","2",30,16,2,0.0666666666666667
"experience.56b53292a9d33a000c8981a6","experience","10",30,17,0,0
"experience.56b53292a9d33a000c8981a6","experience","20",29,15,1,0.0344827586206897
"experience.59205f5005b0ce000123c6e6","experience","2",32,13,6,0.1875
"experience.59205f5005b0ce000123c6e6","experience","10",31,17,8,0.258064516129032
"experience.59205f5005b0ce000123c6e6","experience","20",32,17,8,0.25
"experience.5b6db9e0580154000153cc64","experience","2",28,13,1,0.0357142857142857
"experience.5b6db9e0580154000153cc64","experience","10",29,14,3,0.103448275862069
"experience.5b6db9e0580154000153cc64","experience","20",30,14,2,0.0666666666666667
"experience.5d6b2515783298001a763157","experience","2",29,14,5,0.172413793103448
"experience.5d6b2515783298001a763157","experience","10",32,20,3,0.09375
"experience.5d6b2515783298001a763157","experience","20",31,20,4,0.129032258064516
"experience.5e03e20e4cac68ec33187d80","experience","2",31,22,2,0.0645161290322581
"experience.5e03e20e4cac68ec33187d80","experience","10",31,19,2,0.0645161290322581
"experience.5e03e20e4cac68ec33187d80","experience","20",31,17,0,0
"experience.5e076480c4e1550e2114f006","experience","2",30,13,3,0.1
"experience.5e076480c4e1550e2114f006","experience","10",31,16,3,0.0967741935483871
"experience.5e076480c4e1550e2114f006","experience","20",32,16,4,0.125
"experience.5e3adfc595ff562fbdd130fa","experience","2",31,19,5,0.161290322580645
"experience.5e3adfc595ff562fbdd130fa","experience","10",32,15,0,0
"experience.5e3adfc595ff562fbdd130fa","experience","20",32,11,0,0
"experience.5e437d7404eaba215eafbd2a","experience","2",30,16,3,0.1
"experience.5e437d7404eaba215eafbd2a","experience","10",31,17,5,0.161290322580645
"experience.5e437d7404eaba215eafbd2a","experience","20",30,13,1,0.0333333333333333
"experience.5f4813c94e8b081877fb26a6","experience","2",32,13,5,0.15625
"experience.5f4813c94e8b081877fb26a6","experience","10",32,17,8,0.25
"experience.5f4813c94e8b081877fb26a6","experience","20",31,16,8,0.258064516129032
"experience.5ff07b5ee7a1d23e719e421e","experience","2",31,18,2,0.0645161290322581
"experience.5ff07b5ee7a1d23e719e421e","experience","10",29,18,2,0.0689655172413793
"experience.5ff07b5ee7a1d23e719e421e","experience","20",32,18,1,0.03125
"experience.603006ea5f6c24dfc908f835","experience","2",32,20,6,0.1875
"experience.603006ea5f6c24dfc908f835","experience","10",32,16,4,0.125
"experience.603006ea5f6c24dfc908f835","experience","20",31,12,4,0.129032258064516
"experience.607668ac450fc6e3025a131d","experience","2",32,16,4,0.125
"experience.607668ac450fc6e3025a131d","experience","10",32,14,1,0.03125
"experience.607668ac450fc6e3025a131d","experience","20",31,18,1,0.032258064516129
"experience.609551c1ade88f8463666fb8","experience","2",30,12,3,0.1
"experience.609551c1ade88f8463666fb8","experience","10",30,20,1,0.0333333333333333
"experience.609551c1ade88f8463666fb8","experience","20",31,18,3,0.0967741935483871
"experience.61bb392e40db417c1a138dcb","experience","2",31,19,9,0.290322580645161
"experience.61bb392e40db417c1a138dcb","experience","10",30,15,6,0.2
"experience.61bb392e40db417c1a138dcb","experience","20",31,16,8,0.258064516129032
"experience.622a42c21de0c55ba18a2acb","experience","2",31,19,4,0.129032258064516
"experience.622a42c21de0c55ba18a2acb","experience","10",30,21,2,0.0666666666666667
"experience.622a42c21de0c55ba18a2acb","experience","20",31,19,3,0.0967741935483871
"experience.633485c40e46cf7e9a2f2ca1","experience","2",32,17,6,0.1875
"experience.633485c40e46cf7e9a2f2ca1","experience","10",32,17,5,0.15625
"experience.633485c40e46cf7e9a2f2ca1","experience","20",31,18,7,0.225806451612903
"experience.641e62a8191451d08e6c08f7","experience","2",32,17,0,0
"experience.641e62a8191451d08e6c08f7","experience","10",30,20,1,0.0333333333333333
"experience.641e62a8191451d08e6c08f7","experience","20",30,15,5,0.166666666666667
"experience.651b29ff3a6cadf518640abe","experience","2",31,24,5,0.161290322580645
"experience.651b29ff3a6cadf518640abe","experience","10",29,16,0,0
