"experiment","condition","level","n_trials","item_sd_sd","item_sd","n_items","label","noise_var","slope","slope_se","ci_low","ci_high"
"exp1","average",2,825,0.574571485439341,3.98363636363636,2,"Experiment 1 - array size (2/6/8/12)","array_length",0.899105343326718,0.0544125512576117,0.789270998353276,1.00893968830016
"exp1","average",6,821,0.371352172754419,4.39217645018034,6,"Experiment 1 - array size (2/6/8/12)","array_length",0.812658126351194,0.0664444813374598,0.678688317720182,0.946627934982207
"exp1","average",8,826,0.220892135600159,5.47060040794718,8,"Experiment 1 - array size (2/6/8/12)","array_length",0.751237183303783,0.0621085753919619,0.625831537454777,0.876642829152788
"exp1","average",12,820,0.161760843310174,5.47184761815271,12,"Experiment 1 - array size (2/6/8/12)","array_length",0.705190782953483,0.065579702215569,0.572855913379083,0.837525652527882
"exp1","experience",2,763,0.479727697615721,3.95740498034076,2,"Experiment 1 - array size (2/6/8/12)","array_length",0.883686316701119,0.0560549472212839,0.770319213569498,0.997053419832739
"exp1","experience",6,760,0.336858229325257,4.37218769676389,6,"Experiment 1 - array size (2/6/8/12)","array_length",0.830127067029315,0.0690043772552491,0.690859361293986,0.969394772764645
"exp1","experience",8,780,0.232276052650045,5.46919029524265,8,"Experiment 1 - array size (2/6/8/12)","array_length",0.759517814214304,0.0642061859268509,0.629674956315421,0.889360672113186
"exp1","experience",12,775,0.130325528340481,5.47052377404804,12,"Experiment 1 - array size (2/6/8/12)","array_length",0.922992998970719,0.068958311908907,0.783931653173455,1.06205434476798
"exp2","average",2,3281,0.494688739914546,3.96936909478817,2,"Experiment 2 - array size (2/10/20)","array_length",0.814748834412051,0.0280179995744496,0.759417385766303,0.8700802830578
"exp2","average",10,3286,0.184850068979114,5.92417067997968,10,"Experiment 2 - array size (2/10/20)","array_length",0.67930589656726,0.0260854228934197,0.627800059004354,0.730811734130166
"exp2","average",20,3104,0,5.5,20,"Experiment 2 - array size (2/10/20)","array_length",0.737487376932216,0.0249260905749811,0.688259778624169,0.786714975240263
"exp2","experience",2,3406,0.549166772550304,3.95596007046389,2,"Experiment 2 - array size (2/10/20)","array_length",0.920675508247247,0.029683082260362,0.862059786415674,0.979291230078821
"exp2","experience",10,3421,0.166542204081112,5.92751775823155,10,"Experiment 2 - array size (2/10/20)","array_length",0.829109685520497,0.0275804212658216,0.774652778316938,0.883566592724055
"exp2","experience",20,3232,0,5.5,20,"Experiment 2 - array size (2/10/20)","array_length",0.877131476846873,0.0264917414382121,0.824820862359354,0.929442091334392
"exp3","average",2,1655,0.359497010842632,3.97885196374622,2,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.827671704140625,0.0380576236315409,0.751940715960986,0.903402692320263
"exp3","average",10,1662,0.124370625565087,5.93996983286937,10,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.701353949766183,0.0392191472069865,0.623333299410518,0.779374600121848
"exp3","average",20,1602,0,5.5,20,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.73860699695164,0.0413819592124747,0.656278832581289,0.820935161321992
"exp3","experience",2,1778,0.501114675619646,3.99690663667042,2,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.880547362918027,0.0422807243593942,0.796460878293103,0.964633847542951
"exp3","experience",10,1760,0.136906200381275,5.93694473584261,10,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.800090037068748,0.0428058279447815,0.714894818617189,0.885285255520306
"exp3","experience",20,1705,0,5.5,20,"Experiment 3 - Mondrian frame (2/10/20)","array_length",0.881074844793636,0.0454505585115794,0.79064230806318,0.971507381524093
"exp4","average",3,3960,0.0926310207055815,2.85817628231666,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",1.07362282050954,0.0354013146004809,1.00338652042353,1.14385912059554
