"experiment","noise_var","noise_level","condition","mean_prop","se"
"exp1","array_length","2","average",0.143093028584522,0.0161705675622928
"exp1","array_length","6","average",0.114077242857961,0.0199941969815176
"exp1","array_length","8","average",0.11146776978535,0.0206955837155202
"exp1","array_length","12","average",0.102188306152501,0.0141287105124983
"exp1","array_length","2","experience",0.143468849990589,0.0204779708632406
"exp1","array_length","6","experience",0.129289792333271,0.0201347378294517
"exp1","array_length","8","experience",0.11549904546799,0.018302165633381
"exp1","array_length","12","experience",0.161007815510921,0.0263340236601739
"exp2","array_length","2","average",0.128713836830171,0.0089979663184243
"exp2","array_length","10","average",0.0806434697215313,0.00838629931664794
"exp2","array_length","20","average",0.137560970702446,0.0105298808484509
"exp2","array_length","2","experience",0.140929643112624,0.011408383892522
"exp2","array_length","10","experience",0.127900828403371,0.0109203033557781
"exp2","array_length","20","experience",0.145126143851911,0.0102417413331683
"exp3","array_length","2","average",0.145128537401806,0.0125301510136455
"exp3","array_length","10","average",0.0879938674096132,0.00997511092042334
"exp3","array_length","20","average",0.126535067867224,0.0118265950217919
"exp3","array_length","2","experience",0.146963214720152,0.0152701288778101
"exp3","array_length","10","experience",0.124693303057421,0.0134134446896289
"exp3","array_length","20","experience",0.139860923512898,0.0166336666752192
"exp4","variance_level","3","average",0.160229266216006,0.0126102000506122
"exp4","variance_level","5","average",0.110518023191237,0.00963991121101868
"exp4","variance_level","7","average",0.105012935366125,0.0105802563352485
"exp4","variance_level","3","experience",0.174586745721339,0.0128627434499915
"exp4","variance_level","5","experience",0.123363795446736,0.00938182856030891
"exp4","variance_level","7","experience",0.111985459122837,0.00986782308692766
"exp2_batch2","array_length","2","average",0.139028797661562,0.0111687276726276
"exp2_batch2","array_length","10","average",0.0811985819264862,0.00984778577493414
"exp2_batch2","array_length","20","average",0.148541458417807,0.0134656936875322
"exp2_batch2","array_length","2","experience",0.144691684332361,0.0133994425746385
"exp2_batch2","array_length","10","experience",0.131641397022997,0.0133985544931761
"exp2_batch2","array_length","20","experience",0.15104909645534,0.0115843810967216
"short_exposure","array_length","2","experience",0.143478954880512,0.0129605464526455
"short_exposure","array_length","10","experience",0.117595752036798,0.01567791956485
"short_exposure","array_length","20","experience",0.11994612799674,0.012971541123644
