"comparison","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"compare_exp2_exp3","experience","meanVal_c",295165.714922494,295165.714922494,1,10399.2014214231,11841.4015940629,0
"compare_exp2_exp3","experience","array_length",3770.56405396805,1885.28202698403,2,114.07734099394,75.6333831164939,1.22757978846569e-21
"compare_exp2_exp3","experience","frame",91.1321516510298,91.1321516510298,1,113.166329822093,3.65602219795159,0.0583951938267293
"compare_exp2_exp3","experience","meanVal_c:array_length",589.876626766778,294.938313383389,2,10343.4582547628,11.8322787426899,7.36505563143539e-06
"compare_exp2_exp3","experience","meanVal_c:frame",45.8000234444677,45.8000234444677,1,10399.2014234118,1.83739656472585,0.175285830353404
"compare_exp2_exp3","experience","array_length:frame",144.589752762545,72.2948763812723,2,114.077340988299,2.90031199812136,0.059072945468354
"compare_exp2_exp3","experience","meanVal_c:array_length:frame",71.2978826433978,35.6489413216989,2,10343.4582541929,1.43015739719048,0.239318568914099
"compare_exp2_exp3","average","meanVal_c",264226.605778973,264226.605778973,1,11908.1651519971,13148.904473418,0
"compare_exp2_exp3","average","array_length",2842.13366797219,1421.0668339861,2,131.550139623373,70.7176023979061,1.400052887192e-21
"compare_exp2_exp3","average","frame",3.96401550535184,3.96401550535184,1,130.181354733367,0.197264242400403,0.657675611601302
"compare_exp2_exp3","average","meanVal_c:array_length",1271.20703170371,635.603515851856,2,11851.1354457594,31.6300089775809,1.99431735122245e-14
"compare_exp2_exp3","average","meanVal_c:frame",12.6152910122169,12.6152910122169,1,11908.1651552039,0.627784079256447,0.428185078684122
"compare_exp2_exp3","average","array_length:frame",84.7656480624741,42.3828240312371,2,131.550139600589,2.10912789367848,0.125428623158932
"compare_exp2_exp3","average","meanVal_c:array_length:frame",7.28001334677625,3.64000667338812,2,11851.1354454477,0.181140350684523,0.834320563244169
