"comparison","model","frame","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"compare_exp2_exp3","both conditions","no frame","average","2",0.812216399132751,0.0141069511701685,22183.3620288698,0.784565774240414,0.839867024025087,57.5756156901089,0
"compare_exp2_exp3","both conditions","Mondrian frame","average","2",0.8225397644276,0.019085705502075,22170.228884701,0.785130426695058,0.859949102160141,43.0971631799607,0
"compare_exp2_exp3","both conditions","no frame","experience","2",0.921608407756015,0.0150446837097475,22133.929185958,0.892119756979665,0.951097058532364,61.258077972015,0
"compare_exp2_exp3","both conditions","Mondrian frame","experience","2",0.87946234177638,0.0219079379158847,22170.318141824,0.83652122816391,0.922403455388849,40.1435472910808,0
"compare_exp2_exp3","both conditions","no frame","average","10",0.680813532742517,0.0139703111961053,22232.3873056749,0.653430735185906,0.708196330299129,48.7328824093994,0
"compare_exp2_exp3","both conditions","Mondrian frame","average","10",0.700421849656042,0.0196393525984299,22214.1397215505,0.661927328464081,0.738916370848003,35.6642025823212,6.05342621299138e-271
"compare_exp2_exp3","both conditions","no frame","experience","10",0.82943842798508,0.0147897641163344,22222.8855218896,0.80044944409988,0.858427411870281,56.0819240564504,0
"compare_exp2_exp3","both conditions","Mondrian frame","experience","10",0.791326497475663,0.0208937859659741,22228.1034672592,0.750373199494722,0.832279795456604,37.8737725544022,3.11684112694871e-304
"compare_exp2_exp3","both conditions","no frame","average","20",0.740560236171589,0.0139503632586238,22180.5720938251,0.713216534504912,0.767903937838266,53.0853729356325,0
"compare_exp2_exp3","both conditions","Mondrian frame","average","20",0.741068537438381,0.0195198234297972,22170.6045437117,0.702808297783633,0.779328777093129,37.9649201286899,1.279763141115e-305
"compare_exp2_exp3","both conditions","no frame","experience","20",0.871002975236492,0.0150296582334597,22156.8602560062,0.84154377713032,0.900462173342665,57.9522808640736,0
"compare_exp2_exp3","both conditions","Mondrian frame","experience","20",0.887736070570773,0.0212486067879179,22111.1148017739,0.846087286688198,0.929384854453348,41.778554209754,0
