"experiment","measure","condition","array_length","n","mean","se"
"exp1","slope_fwd","average","2",23,0.913616168457831,0.0536911226865891
"exp1","slope_fwd","average","6",23,0.819904903089878,0.0674136075013486
"exp1","slope_fwd","average","8",23,0.752185304808485,0.0674771236642314
"exp1","slope_fwd","average","12",23,0.706782389483639,0.0635192948632469
"exp1","slope_fwd","experience","2",21,0.893569400149192,0.060792654383021
"exp1","slope_fwd","experience","6",21,0.842071108082851,0.0682883968565517
"exp1","slope_fwd","experience","8",21,0.761414415479668,0.0609145507325603
"exp1","slope_fwd","experience","12",21,0.943629595663229,0.0727591234450046
"exp1","slope_rev","average","2",23,0.670855037476071,0.0448201716042268
"exp1","slope_rev","average","6",23,0.687909246573614,0.0483291588126633
"exp1","slope_rev","average","8",23,0.664924623742518,0.0484424614777149
"exp1","slope_rev","average","12",23,0.67683089681747,0.0474568979917853
"exp1","slope_rev","experience","2",21,0.744280601787345,0.0404509030145116
"exp1","slope_rev","experience","6",21,0.645892827388781,0.0369848525043454
"exp1","slope_rev","experience","8",21,0.635124174236085,0.0545557022625936
"exp1","slope_rev","experience","12",21,0.653747943606912,0.0348930715928753
"exp1","r","average","2",23,1.04459721580917,0.0560694530293498
"exp1","r","average","6",23,0.97505925443108,0.0603255420477486
"exp1","r","average","8",23,0.897329070494716,0.0718815907080336
"exp1","r","average","12",23,0.916483055621162,0.08592142616266
"exp1","r","experience","2",21,1.15346097078205,0.0746430117924581
"exp1","r","experience","6",21,1.01278503513715,0.0871531741952897
"exp1","r","experience","8",21,0.910908082276315,0.080853774638769
"exp1","r","experience","12",21,1.07112136395227,0.0697154982040539
"exp1","bias","average","2",23,-2.36447945564203,0.721301685514082
"exp1","bias","average","6",23,-0.472906897765121,0.613438026533603
"exp1","bias","average","8",23,-0.206037897200468,0.676943077820654
"exp1","bias","average","12",23,0.798363915079727,0.740005552150597
"exp1","bias","experience","2",21,-2.43294188558164,0.634335168765643
"exp1","bias","experience","6",21,-0.949000878348704,0.615244561327023
"exp1","bias","experience","8",21,-0.202811836196929,0.685726967776875
"exp1","bias","experience","12",21,0.927502621602033,0.696995915489103
"exp1","abs_error","average","2",23,5.3077064869598,0.376977544683629
"exp1","abs_error","average","6",23,4.75952953788493,0.388048096779158
"exp1","abs_error","average","8",23,5.05256282784638,0.360207138868439
"exp1","abs_error","average","12",23,5.13447393908586,0.487603173727698
"exp1","abs_error","experience","2",21,4.84877501725328,0.303323899759611
"exp1","abs_error","experience","6",21,4.96220747851183,0.307806082338737
"exp1","abs_error","experience","8",21,5.18536944422038,0.338145202319134
"exp1","abs_error","experience","12",21,5.01574604369636,0.292981661687336
"exp1","sd_response","average","2",23,7.76230995872426,0.370615182163738
"exp1","sd_response","average","6",23,7.36011063211081,0.515697539864214
"exp1","sd_response","average","8",23,7.05875204746825,0.482980533712658
"exp1","sd_response","average","12",23,7.00306822602421,0.447356858380487
"exp1","sd_response","experience","2",21,7.4021102395742,0.380415848238035
"exp1","sd_response","experience","6",21,7.72754348657069,0.405271874945329
"exp1","sd_response","experience","8",21,7.4383286614615,0.387949044200448
"exp1","sd_response","experience","12",21,7.94748791155415,0.47614863602702
"exp1","sd_objective","average","2",23,6.43841687998319,0.123157625155429
"exp1","sd_objective","average","6",23,6.55563883802315,0.126095410076299
"exp1","sd_objective","average","8",23,6.44257900512611,0.121496022896275
"exp1","sd_objective","average","12",23,6.67819388167304,0.14834067617097
"exp1","sd_objective","experience","2",21,6.66974297033114,0.152174525695358
"exp1","sd_objective","experience","6",21,6.76016268037357,0.150656279123295
"exp1","sd_objective","experience","8",21,6.76506806958244,0.13202912991727
"exp1","sd_objective","experience","12",21,6.53204333011996,0.119053497884553
"exp1","mean_rt","average","2",23,2860.00727358653,217.756120187411
"exp1","mean_rt","average","6",23,2808.64693246262,209.651430818217
"exp1","mean_rt","average","8",23,2783.30411869164,196.028071528452
"exp1","mean_rt","average","12",23,2814.01336344815,211.139832233038
"exp1","mean_rt","experience","2",21,2755.12095444238,209.989272671356
"exp1","mean_rt","experience","6",21,2743.49487107096,224.352727632843
"exp1","mean_rt","experience","8",21,2720.44467277029,209.834299501419
"exp1","mean_rt","experience","12",21,2764.9469652156,227.964776812788
