"participant_id","condition","array_length","band","n_trials","dist","inward"
"average.55ec49b67480920010aaa4e8","average","2","extreme",13,8.69230769230769,0.307692307692308
"average.55ec49b67480920010aaa4e8","average","2","middle",11,3.27272727272727,-2.27272727272727
"average.55ec49b67480920010aaa4e8","average","6","extreme",12,8.16666666666667,-0.916666666666667
"average.55ec49b67480920010aaa4e8","average","6","middle",11,2.18181818181818,-2.36363636363636
"average.55ec49b67480920010aaa4e8","average","8","extreme",10,9.1,-0.9
"average.55ec49b67480920010aaa4e8","average","8","middle",13,3.30769230769231,0.307692307692308
"average.55ec49b67480920010aaa4e8","average","12","extreme",14,8.26190476190477,0.476190476190486
"average.55ec49b67480920010aaa4e8","average","12","middle",7,2.85714285714287,1.14285714285716
"average.581e0aee4182b600017307ea","average","2","extreme",14,9.01915113871635,4.07142857142857
"average.581e0aee4182b600017307ea","average","2","middle",9,4.04468599033816,0.555555555555556
"average.581e0aee4182b600017307ea","average","6","extreme",10,8.1731884057971,2.7
"average.581e0aee4182b600017307ea","average","6","middle",14,2.51915113871635,1.85714285714286
"average.581e0aee4182b600017307ea","average","8","extreme",10,9.5,4.1
"average.581e0aee4182b600017307ea","average","8","middle",13,3.0309364548495,0.846153846153846
"average.581e0aee4182b600017307ea","average","12","extreme",10,8.07971014492753,4.43333333333332
"average.581e0aee4182b600017307ea","average","12","middle",12,2.46678743961353,3.52777777777778
"average.5a8b61fcf1408d000176b02f","average","2","extreme",11,7.60839160839161,3.27272727272727
"average.5a8b61fcf1408d000176b02f","average","2","middle",13,2.59763313609467,0.230769230769231
"average.5a8b61fcf1408d000176b02f","average","6","extreme",11,8.6993006993007,1.27272727272727
"average.5a8b61fcf1408d000176b02f","average","6","middle",10,2.95384615384615,-0.4
"average.5a8b61fcf1408d000176b02f","average","8","extreme",13,7.73964497041421,2.15384615384615
"average.5a8b61fcf1408d000176b02f","average","8","middle",9,3.81196581196581,-0.444444444444444
"average.5a8b61fcf1408d000176b02f","average","12","extreme",16,6.65705128205127,3.54166666666665
"average.5a8b61fcf1408d000176b02f","average","12","middle",8,5.06089743589746,2.0416666666667
"average.5dd42e7f35cf744223c60d1b","average","2","extreme",9,8.97530864197531,2.55555555555556
"average.5dd42e7f35cf744223c60d1b","average","2","middle",15,3.54074074074074,-1.73333333333333
"average.5dd42e7f35cf744223c60d1b","average","6","extreme",17,7.83006535947712,2.47058823529412
"average.5dd42e7f35cf744223c60d1b","average","6","middle",7,3.41269841269842,-0.428571428571429
"average.5dd42e7f35cf744223c60d1b","average","8","extreme",10,7.98888888888889,1.3
"average.5dd42e7f35cf744223c60d1b","average","8","middle",12,3.12962962962963,0.416666666666667
"average.5dd42e7f35cf744223c60d1b","average","12","extreme",10,8.57777777777778,1.23333333333334
"average.5dd42e7f35cf744223c60d1b","average","12","middle",13,2.45299145299145,0.974358974358977
"average.5e2f4ab6fb987e078bf5f68e","average","2","extreme",13,8.19648829431438,2
"average.5e2f4ab6fb987e078bf5f68e","average","2","middle",11,2.61297760210804,1.18181818181818
"average.5e2f4ab6fb987e078bf5f68e","average","6","extreme",14,7.64285714285714,0.5
"average.5e2f4ab6fb987e078bf5f68e","average","6","middle",10,2.97028985507246,2.5
"average.5e2f4ab6fb987e078bf5f68e","average","8","extreme",11,7.84156785243741,3.45454545454545
"average.5e2f4ab6fb987e078bf5f68e","average","8","middle",11,2.83168642951252,1.90909090909091
"average.5e2f4ab6fb987e078bf5f68e","average","12","extreme",13,8.188127090301,1.69230769230768
"average.5e2f4ab6fb987e078bf5f68e","average","12","middle",9,1.61714975845411,1.22222222222223
"average.615921b85071b9caef6148d8","average","2","extreme",12,7.27299880525688,-0.333333333333333
"average.615921b85071b9caef6148d8","average","2","middle",12,2.28793309438471,-2
"average.615921b85071b9caef6148d8","average","6","extreme",13,8.74138406396471,0.307692307692308
"average.615921b85071b9caef6148d8","average","6","middle",10,2.74551971326165,2.7
"average.615921b85071b9caef6148d8","average","8","extreme",13,9.25172318720706,-0.307692307692308
"average.615921b85071b9caef6148d8","average","8","middle",11,3.3802541544477,-0.272727272727273
"average.615921b85071b9caef6148d8","average","12","extreme",18,8.61111111111111,-0.777777777777778
"average.615921b85071b9caef6148d8","average","12","middle",4,5.43906810035845,-0.3333333333333
