"experiment","condition","term","b","SE","df","t","p"
"exp1","experience","(Intercept)",24.5939237624939,0.60147931538385,19.9951257522409,40.8890599118917,9.51834230563498e-21
"exp1","experience","meanVal_c",0.848469859418738,0.0579453298801033,20.0407284587599,14.6425926157351,3.63159675451366e-12
"exp1","experience","array_length1",-1.79765863714079,0.205632437534143,1880.70597003436,-8.74209662005445,4.97068614084042e-18
"exp1","experience","array_length2",-0.238768666335631,0.203263152459487,1878.77066351206,-1.1746775716431,0.240272596781442
"exp1","experience","array_length3",0.459848660044433,0.20524691804551,1878.06711815465,2.24046560320321,0.0251772177895777
"exp1","experience","meanVal_c:array_length1",0.0366546123814066,0.0307563671885436,1878.92381440256,1.19177314267011,0.233500716288815
"exp1","experience","meanVal_c:array_length2",-0.0232884796821082,0.0303822018396086,1880.53695592773,-0.76651718019158,0.44346484236384
"exp1","experience","meanVal_c:array_length3",-0.0891516773223206,0.0306794981807068,1878.34505144827,-2.90590402741284,0.00370481087438032
"exp1","average","(Intercept)",24.8598699177263,0.65354071090867,22.0060417857343,38.0387472467655,1.42595194907451e-21
"exp1","average","meanVal_c",0.791471599989854,0.0477218379486667,21.8221312484462,16.5851030473978,7.46170505128937e-14
"exp1","average","array_length1",-1.85901710314934,0.202883256023474,2063.90476923705,-9.16298929535241,1.1824983663813e-19
"exp1","average","array_length2",0.111565490410076,0.202328636934596,2065.09378938796,0.55140731485351,0.581414142735963
"exp1","average","array_length3",0.399972619897639,0.204058417135379,2066.50973940429,1.96008880943286,0.0501196103765402
"exp1","average","meanVal_c:array_length1",0.110804794727008,0.0315951168812689,2064.36883239802,3.5070227827737,0.000462834262815504
"exp1","average","meanVal_c:array_length2",0.0128598243612805,0.0311268903106786,2066.19371621621,0.413141956453925,0.679545481318051
"exp1","average","meanVal_c:array_length3",-0.0397720661949101,0.031602497168221,2064.06036096826,-1.25851023680826,0.20834961756708
