"experiment","condition","contrast","estimate","SE","df","t.ratio","p.value"
"exp1","experience","array_length2 - array_length6",0.0599430920635148,0.0497534900305358,1880.33143567599,1.20480175414278,0.62385374690341
"exp1","experience","array_length2 - array_length8",0.125806289703727,0.0501248687971754,1878.1844876314,2.50985773574367,0.0587114481441402
"exp1","experience","array_length2 - array_length12",-0.0391309322416156,0.0508248431348734,1878.18758072702,-0.769917422819668,0.868039817246871
"exp1","experience","array_length6 - array_length8",0.0658631976402124,0.0496576580808356,1879.88051624051,1.32634522419475,0.546177152049341
"exp1","experience","array_length6 - array_length12",-0.0990740243051305,0.050381349818064,1878.91626613151,-1.9664821340219,0.201128584203555
"exp1","experience","array_length8 - array_length12",-0.164937221945343,0.0507326461734828,1877.7472560425,-3.25110622815399,0.00642291330002731
"exp1","average","array_length2 - array_length6",0.0979449703657276,0.0512302875351717,2065.27441561945,1.91185673706173,0.223282104085734
"exp1","average","array_length2 - array_length8",0.150576860921918,0.0518392356755167,2063.86873433175,2.90468906340443,0.0194372758295267
"exp1","average","array_length2 - array_length12",0.194697347620386,0.0510243000249222,2065.08798471108,3.81577694403037,0.000804867228565653
"exp1","average","array_length6 - array_length8",0.0526318905561905,0.0512761072128194,2065.15807075334,1.02644083993631,0.733951112651062
"exp1","average","array_length6 - array_length12",0.0967523772546589,0.0504388137870269,2066.54549657154,1.91821278079985,0.220619773438003
"exp1","average","array_length8 - array_length12",0.0441204866984684,0.0509965493849787,2064.73330910109,0.86516611869948,0.822832083811323
