"experiment","term","b","SE","df","t","p"
"exp1","(Intercept)",24.7271430517515,0.446732873252813,42.0044608010212,55.3510711484133,6.91960940410336e-41
"exp1","meanVal_c",0.819775947116925,0.037287416960515,41.9411770468373,21.9853241104101,1.21480474902365e-24
"exp1","array_length1",-1.82915315730798,0.144730373329868,3944.81154027376,-12.6383503007969,6.38988623535335e-36
"exp1","array_length2",-0.0661829198045841,0.143672870956496,3943.10955197513,-0.460650082120405,0.645075077342145
"exp1","array_length3",0.433418572572113,0.144997310892511,3943.23705636943,2.98914903941505,0.00281482416533992
"exp1","condition1",0.133043088083162,0.446732873252813,42.0044608011458,0.297813516866199,0.767313590535608
"exp1","meanVal_c:array_length1",0.0736023394408947,0.022074235290755,3942.84541374208,3.33430981736977,0.000863012013212286
"exp1","meanVal_c:array_length2",-0.00556613687404098,0.021777988768366,3945.60414406327,-0.255585441486047,0.798284283598231
"exp1","meanVal_c:array_length3",-0.0642419336683551,0.0220492711800049,3941.67203746743,-2.91356268168229,0.00359339781294783
"exp1","meanVal_c:condition1",-0.0284627687904598,0.037287416960515,41.9411770433075,-0.76333441977491,0.449536612357202
"exp1","array_length1:condition1",-0.0329510103739816,0.144730373329868,3944.81154050749,-0.227671701632939,0.819913272400593
"exp1","array_length2:condition1",0.176160675089074,0.143672870956496,3943.10955202658,1.22612344220793,0.220225443417668
"exp1","array_length3:condition1",-0.0294219633762502,0.144997310892511,3943.23705635286,-0.202913855402886,0.839212833565046
"exp1","meanVal_c:array_length1:condition1",0.037322624203707,0.022074235290755,3942.84541369518,1.69077767415745,0.0909583097947705
"exp1","meanVal_c:array_length2:condition1",0.0177429395878042,0.021777988768366,3945.60414407111,0.814718924530672,0.415282389164834
"exp1","meanVal_c:array_length3:condition1",0.0250030454164187,0.0220492711800049,3941.6720374525,1.13396244312567,0.256879262230994
