"experiment","comparison_set","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"exp1","noise_within_condition","array_length2 - array_length6","average",0.0987481609308385,0.0502769527262191,3943.74397296896,1.9640840499735,0.201875078276543,NA
"exp1","noise_within_condition","array_length2 - array_length8","average",0.150163851896538,0.0508715310037606,3941.83829527324,2.95182489957768,0.0167625217308018,NA
"exp1","noise_within_condition","array_length2 - array_length12","average",0.19478784175103,0.0500722269211601,3944.06010037555,3.89013738210063,0.000589296214655644,NA
"exp1","noise_within_condition","array_length6 - array_length8","average",0.0514156909656996,0.0503233122439389,3943.15724564739,1.02170721029779,0.736729225871527,NA
"exp1","noise_within_condition","array_length6 - array_length12","average",0.0960396808201916,0.0495024000723542,3945.67556044907,1.94010150376178,0.211455052000086,NA
"exp1","noise_within_condition","array_length8 - array_length12","average",0.044623989854492,0.0500464053715781,3943.03398781222,0.891652248012091,0.809209204168476,NA
"exp1","noise_within_condition","array_length2 - array_length6","experience",0.0595887916990328,0.0508414322054688,3945.681954296,1.17205179150368,0.644578515639672,NA
"exp1","noise_within_condition","array_length2 - array_length8","experience",0.125524694321961,0.0512201673384502,3941.3849905169,2.45068887597585,0.0680743737296889,NA
"exp1","noise_within_condition","array_length2 - array_length12","experience",-0.0399946250722436,0.0519360433098787,3941.22933995477,-0.770074547912976,0.867976687526634,NA
"exp1","noise_within_condition","array_length6 - array_length8","experience",0.0659359026229287,0.0507426745710757,3944.96784615188,1.29941717066119,0.563325482343844,NA
"exp1","noise_within_condition","array_length6 - array_length12","experience",-0.0995834167712764,0.0514820281224432,3942.98785495108,-1.93433359957052,0.213804275314606,NA
"exp1","noise_within_condition","array_length8 - array_length12","experience",-0.165519319394205,0.0518428603916547,3940.02580816103,-3.19271194034751,0.00775032942348464,NA
"exp1","condition_within_noise","average - experience",NA,0.0177197108264944,0.086741032479685,76.6289424768242,0.20428291340254,0.838674012463271,"2"
"exp1","condition_within_noise","average - experience",NA,-0.0214396584053114,0.0861106330337949,74.428802304373,-0.24897806054796,0.804063530256292,"6"
"exp1","condition_within_noise","average - experience",NA,-0.00691944674808231,0.0867408597267574,76.6219346336301,-0.079771479898623,0.936626988945607,"8"
"exp1","condition_within_noise","average - experience",NA,-0.217062755996779,0.0866883552266636,76.4316538301882,-2.50394364305594,0.0144133364583601,"12"
