"experiment","tail","contrast","estimate","SE","df","t.ratio","p.value"
"exp1","low","array_length2 - array_length6",0.0429033874921502,0.532310293970276,344.988807374305,0.0805984554086906,0.999811998721065
"exp1","low","array_length2 - array_length8",0.32069631266983,0.569767106652166,351.078722654905,0.562855083990676,0.942973694403826
"exp1","low","array_length2 - array_length12",0.831941633820353,0.609689693441393,347.720539959153,1.36453288085692,0.522515273303993
"exp1","low","array_length6 - array_length8",0.27779292517768,0.605999259887913,345.746113306564,0.458404726812803,0.967953755039388
"exp1","low","array_length6 - array_length12",0.789038246328203,0.650480108512679,347.995011460595,1.21300903133278,0.61899395255784
"exp1","low","array_length8 - array_length12",0.511245321150524,0.669285841829514,341.283924099304,0.763866929790444,0.870643119824067
"exp1","high","array_length2 - array_length6",0.920828242740432,0.664588785307988,304.443672887149,1.38556091089273,0.509367291851591
"exp1","high","array_length2 - array_length8",1.22795496782166,0.662141352448791,307.746576592108,1.85452088633391,0.250054475529236
"exp1","high","array_length2 - array_length12",1.70226854933919,0.620598175253383,309.431545882736,2.74294804145077,0.0325039009022504
"exp1","high","array_length6 - array_length8",0.307126725081231,0.617194864612313,306.806713541755,0.497617110398595,0.959565429704186
"exp1","high","array_length6 - array_length12",0.781440306598759,0.573006254205163,307.693998524472,1.36375528340912,0.52310953981081
"exp1","high","array_length8 - array_length12",0.474313581517528,0.565307533696458,307.167066630767,0.839036370904285,0.835805217645489
