"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",-0.561971014809114,0.139889723200938,161,-4.01724302507838,0.000264741878928554,NA,NA
"noise_overall","X2 - X20",-0.0838613684719129,0.153462621086487,161,-0.54646120259246,0.84843207038562,NA,NA
"noise_overall","X10 - X20",0.478109646337201,0.116919272495377,161,4.089228714249,0.000200618192622515,NA,NA
"noise_within_condition","X2 - X10",-0.64581739007405,0.192294723222753,161,-3.35847692152186,0.002799104856549,"average",NA
"noise_within_condition","X2 - X20",-0.187152393408703,0.210952252757524,161,-0.887178927753963,0.649168912314494,"average",NA
"noise_within_condition","X10 - X20",0.458664996665347,0.16071916241917,161,2.85382893838825,0.0134830551369156,"average",NA
"noise_within_condition","X2 - X10",-0.478124639544177,0.203222238078476,161,-2.35271810833785,0.0516061941114847,"experience",NA
"noise_within_condition","X2 - X20",0.0194296564648777,0.22294001735773,161,0.0871519464973436,0.995821334423444,"experience",NA
"noise_within_condition","X10 - X20",0.497554296009055,0.169852335735113,161,2.92933443544159,0.0108037280825567,"experience",NA
"condition_within_noise","average - experience",0.64911584175352,0.262871543722506,161,2.46932715714084,0.0145806536438455,NA,"X2"
"condition_within_noise","average - experience",0.816808592283394,0.254124480614892,161,3.21420663726298,0.0015805201611258,NA,"X10"
"condition_within_noise","average - experience",0.855697891627102,0.229998242542839,161,3.72045404419871,0.000274342412783411,NA,"X20"
"band_within_noise","extreme - middle",1.06906361459671,0.216837073468678,161,4.93026214334668,2.02710057968594e-06,NA,"X2"
"band_within_noise","extreme - middle",1.55223158861917,0.19398570512582,161,8.00178336652373,2.28391096222007e-13,NA,"X10"
"band_within_noise","extreme - middle",1.00919935691674,0.209513091956156,161,4.8168796875373,3.34272547075716e-06,NA,"X20"
