"experiment","condition","array_length","band","n","dist","se","inward"
"exp2","average","2","extreme",86,8.37036937932655,0.274992857897404,1.81880551933607
"exp2","average","2","middle",86,2.75858662185591,0.180049826917583,0.475953558155751
"exp2","average","10","extreme",86,8.24855173773987,0.217837074161694,2.80707215411165
"exp2","average","10","middle",86,2.57099593365697,0.19736393739842,0.77932170352827
"exp2","average","20","extreme",86,8.26748535173235,0.248585914897491,1.77851725806269
"exp2","average","20","middle",86,2.48584714922724,0.196696644139455,0.890546606246531
"exp2","experience","2","extreme",77,8.32259360076984,0.291566314882305,0.895901330998935
"exp2","experience","2","middle",77,2.78580464390489,0.199011265097139,0.100626062985839
"exp2","experience","10","extreme",77,8.21861100815243,0.277067482332441,1.51474469986404
"exp2","experience","10","middle",77,2.58216060554724,0.209234324570417,0.438031973209087
"exp2","experience","20","extreme",77,8.19030662554911,0.231450371903975,1.04404807153617
"exp2","experience","20","middle",77,2.50155967176469,0.1930938777037,-0.0863799904811525
