"participant_id","condition","array_length","n_trials","r","z"
"average.55a56724fdf99b7973398109","average","2",31,0.908741953349427,1.52025423490608
"average.55a56724fdf99b7973398109","average","10",32,0.793624745513452,1.08114885670914
"average.55a56724fdf99b7973398109","average","20",29,0.912358855241803,1.5414210925515
"average.55d35a63da14d7001295328e","average","2",31,0.887420112111791,1.4096515356621
"average.55d35a63da14d7001295328e","average","10",30,0.749933995821939,0.97280422490244
"average.55d35a63da14d7001295328e","average","20",32,0.858721982167305,1.28845735874281
"average.55d4d11258c35800113dc2ab","average","2",27,0.87674845314707,1.36153432442945
"average.55d4d11258c35800113dc2ab","average","10",32,0.708353896607197,0.883872229876792
"average.55d4d11258c35800113dc2ab","average","20",32,0.838624578766241,1.21651980004729
"average.56e6a66af6ed900006a5867c","average","2",32,0.814155576924536,1.13923275146823
"average.56e6a66af6ed900006a5867c","average","10",32,0.852226452196983,1.26423133127754
"average.56e6a66af6ed900006a5867c","average","20",30,0.816998947252242,1.14772479173164
"average.579f1d3bc9abeb0001af52d8","average","2",32,0.827582072463278,1.18041387972645
"average.579f1d3bc9abeb0001af52d8","average","10",30,0.921175108970171,1.59673174536381
"average.579f1d3bc9abeb0001af52d8","average","20",25,0.909760395267594,1.52613232905456
"average.57bfc1beef05670001ee84c2","average","2",31,0.923906383392953,1.61507429652713
"average.57bfc1beef05670001ee84c2","average","10",32,0.777178906245992,1.03820666129472
"average.57bfc1beef05670001ee84c2","average","20",31,0.786299482626857,1.0616629237366
"average.580cab86b869700001d71628","average","2",30,0.807498762760038,1.11979834430074
"average.580cab86b869700001d71628","average","10",31,0.724201212008096,0.916423792941768
"average.580cab86b869700001d71628","average","20",29,0.703276868583036,0.87375487892692
"average.58509fbda6946500016117ed","average","2",32,0.47643402999157,0.518360990307231
"average.58509fbda6946500016117ed","average","10",30,0.687251716766978,0.842728810524049
"average.58509fbda6946500016117ed","average","20",32,0.733407551473221,0.936061675452388
"average.58d4c4c287b2420001263b6a","average","2",32,0.719449361129455,0.906502570136032
"average.58d4c4c287b2420001263b6a","average","10",31,0.755317709713136,0.985222278012714
"average.58d4c4c287b2420001263b6a","average","20",31,0.869851550271381,1.33246930093338
"average.5930c7fdfa699e0001017cc1","average","2",32,0.741294918141775,0.953347794213298
"average.5930c7fdfa699e0001017cc1","average","10",31,0.623002301830268,0.729896951995637
"average.5930c7fdfa699e0001017cc1","average","20",32,0.653920909923254,0.7821183620042
"average.593890eac6aa16000101f037","average","2",29,0.856225181241703,1.27902595754019
"average.593890eac6aa16000101f037","average","10",32,0.761555892796374,0.999908897994706
"average.593890eac6aa16000101f037","average","20",31,0.81317123080897,1.13632006390826
"average.5969496f06679c00014b818e","average","2",30,0.655482801036699,0.784851977159929
"average.5969496f06679c00014b818e","average","10",30,0.68249581927039,0.833771295392782
"average.5969496f06679c00014b818e","average","20",31,0.784778875930697,1.05769191193305
"average.5a33d736bf4d770001e6097a","average","2",29,0.634068422438439,0.748190889684505
"average.5a33d736bf4d770001e6097a","average","10",32,0.558449122780155,0.630576601543446
"average.5a33d736bf4d770001e6097a","average","20",30,0.669719575728461,0.810234454227807
"average.5a3bdd2c8d005a0001829f3e","average","2",30,0.806773817024231,1.11771833853897
"average.5a3bdd2c8d005a0001829f3e","average","10",30,0.428433000441856,0.457975803799614
"average.5a3bdd2c8d005a0001829f3e","average","20",31,0.653512068897875,0.781404422123395
"average.5a937cb0dbdb470001ee923b","average","2",31,0.890751973670202,1.42555456520497
"average.5a937cb0dbdb470001ee923b","average","10",32,0.915495614072903,1.56046411847787
"average.5a937cb0dbdb470001ee923b","average","20",31,0.82505442396048,1.1724450777126
"average.5c476621b521ee00019abf67","average","2",31,0.918148640485032,1.57710541828636
"average.5c476621b521ee00019abf67","average","10",31,0.786502541451888,1.06219508560383
"average.5c476621b521ee00019abf67","average","20",31,0.664202585853389,0.800296658119455
"average.5d7bde81c7390f00169b2fdf","average","2",31,0.780307905764813,1.04615730735726
"average.5d7bde81c7390f00169b2fdf","average","10",31,0.826148714541401,1.17588212406928
"average.5d7bde81c7390f00169b2fdf","average","20",32,0.779094880348154,1.04306336664135
"average.5d9420526928f000181e12f1","average","2",31,0.919503353565023,1.58580311858942
"average.5d9420526928f000181e12f1","average","10",30,0.658995075497982,0.79103520164813
"average.5d9420526928f000181e12f1","average","20",31,0.656964178211608,0.787453760159559
"average.5e3a8aeedc1d57292aea3f22","average","2",32,0.811178633371517,1.13046583649177
"average.5e3a8aeedc1d57292aea3f22","average","10",32,0.622244229429166,0.728658959577401
"average.5e3a8aeedc1d57292aea3f22","average","20",31,0.479871579351436,0.522817424206995
"average.5f4a4da1575d605c43bef871","average","2",32,0.867040731389886,1.32103356476492
"average.5f4a4da1575d605c43bef871","average","10",26,0.688939361885766,0.845934071672947
"average.5f4a4da1575d605c43bef871","average","20",31,0.805105787105506,1.11295878174138
"average.5f79bca83a2eb65c0983816d","average","2",31,0.742819064000528,0.956739682297575
"average.5f79bca83a2eb65c0983816d","average","10",29,0.899534512945711,1.46977494291394
"average.5f79bca83a2eb65c0983816d","average","20",29,0.78769471268881,1.06532846275392
"average.60121fca666552254559110d","average","2",27,0.867274207092589,1.32197485533653
"average.60121fca666552254559110d","average","10",30,0.654709565301078,0.783497440288492
"average.60121fca666552254559110d","average","20",29,0.64618773315788,0.76872548804509
"average.603470186bba1c26a354c27e","average","2",29,0.921463587984212,1.5986400477295
"average.603470186bba1c26a354c27e","average","10",31,0.910271590468185,1.52910663439273
"average.603470186bba1c26a354c27e","average","20",31,0.909670623477123,1.52561166440298
"average.605fbc12c61d8d10250f6e51","average","2",31,0.862623368803119,1.30350744982284
"average.605fbc12c61d8d10250f6e51","average","10",32,0.77927642469173,1.04352546474653
"average.605fbc12c61d8d10250f6e51","average","20",30,0.804329410876612,1.11075585331556
"average.607b73619e1bfba7bfb23cce","average","2",30,0.78066247095911,1.04706448845122
"average.607b73619e1bfba7bfb23cce","average","10",32,0.842850665663102,1.2309361995713
"average.607b73619e1bfba7bfb23cce","average","20",31,0.813806391915787,1.13819792951336
"average.60c119b30aa5205b493541b6","average","2",32,0.858262366275435,1.28670970980789
"average.60c119b30aa5205b493541b6","average","10",32,0.645556424596517,0.767642345719773
"average.60c119b30aa5205b493541b6","average","20",31,0.718397788057561,0.9043260689705
"average.60f6ce6de6cf393bcde0c14d","average","2",32,0.789375662085694,1.06977294409683
"average.60f6ce6de6cf393bcde0c14d","average","10",32,0.716251649223399,0.899905080744975
"average.60f6ce6de6cf393bcde0c14d","average","20",31,0.833305718459125,1.19885726725298
"average.612cd21ab53f52338b7b4f19","average","2",32,0.723765697544521,0.915508554081998
"average.612cd21ab53f52338b7b4f19","average","10",32,0.72956995479905,0.927807311822235
"average.612cd21ab53f52338b7b4f19","average","20",30,0.726175673813982,0.920588445946389
"average.6143af8721d1445864c4f6c8","average","2",32,0.796667278121846,1.08942252711216
"average.6143af8721d1445864c4f6c8","average","10",31,0.380477953208767,0.400618386308303
"average.6143af8721d1445864c4f6c8","average","20",31,0.713542900240366,0.894364795866334
"average.616964223dcbf0aa539dbae2","average","2",30,0.775544119207407,1.03409151758945
"average.616964223dcbf0aa539dbae2","average","10",31,0.882066825531102,1.3850038406246
"average.616964223dcbf0aa539dbae2","average","20",30,0.824967048772726,1.17217148073032
"average.62728a4122289635e97d12f2","average","2",32,0.853941584179668,1.27053129379547
"average.62728a4122289635e97d12f2","average","10",31,0.747960560012366,0.968309704943084
"average.62728a4122289635e97d12f2","average","20",31,0.859526910482529,1.29153072420333
"average.627cea14552eb015f1daf9a1","average","2",31,0.930724316080113,1.66377827078205
"average.627cea14552eb015f1daf9a1","average","10",32,0.869464279787706,1.3308801399987
"average.627cea14552eb015f1daf9a1","average","20",32,0.883286304737378,1.39052483869109
"average.628f83dc5398c04bac86f9e6","average","2",28,0.525833456895475,0.584368726058155
