"experiment","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"exp2","combined","resp_c",353948.500910218,353948.500910218,1,14840.1372481977,18197.1673552939,0
"exp2","combined","array_length",2702.31103674417,1351.15551837209,2,162.946674046528,69.4654816381959,1.52274240408347e-22
"exp2","combined","condition",0.407045479642603,0.407045479642603,1,162.712956884444,0.0209269842794197,0.885157071013203
"exp2","combined","resp_c:array_length",40.800045217389,20.4000226086945,2,14813.7880163554,1.0488040619117,0.350382517392212
"exp2","combined","resp_c:condition",1958.5677125458,1958.5677125458,1,14840.1372520944,100.693700779118,1.27695988599377e-23
"exp2","combined","array_length:condition",47.1340263153336,23.5670131576668,2,162.946674043586,1.21162508498167,0.300380846238196
"exp2","combined","resp_c:array_length:condition",7.76856669306182,3.88428334653091,2,14813.7880151376,0.199698413555743,0.818979913104114
"exp2","experience","resp_c",166749.299220755,166749.299220755,1,7015.07808716756,8740.23786464582,0
"exp2","experience","array_length",1527.43787067683,763.718935338414,2,77.3267468827894,40.0306639235396,1.16642249716035e-12
"exp2","experience","resp_c:array_length",45.2740436133026,22.6370218066513,2,7002.10777520375,1.1865294550676,0.305340283924718
"exp2","average","resp_c",187320.432471925,187320.432471925,1,7824.72349412659,9467.84355936889,0
"exp2","average","array_length",1176.51785143551,588.258925717755,2,85.5922453781029,29.7327067186484,1.56726004618017e-10
"exp2","average","resp_c:array_length",6.80691145647785,3.40345572823892,2,7809.79640148744,0.172022805899905,0.841963161450233
