"experiment","model","comparison_set","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"exp2","combined","noise_within_condition","array_length2 - array_length10","average",0.00356152677675721,0.0184633142493952,14824.7556383737,0.192897479220117,0.979695963449381,NA
"exp2","combined","noise_within_condition","array_length2 - array_length20","average",0.0104932057781603,0.0179892703906717,14689.4221216878,0.583303577648235,0.829071308335688,NA
"exp2","combined","noise_within_condition","array_length10 - array_length20","average",0.00693167900140305,0.0187089163633459,14824.359743185,0.370501362386945,0.927132022588401,NA
"exp2","combined","noise_within_condition","array_length2 - array_length10","experience",0.000360604422542513,0.0168435518965526,14824.463255634,0.0214090486826783,0.999747332030741,NA
"exp2","combined","noise_within_condition","array_length2 - array_length20","experience",0.0222821661049287,0.0166167566856913,14718.1289098629,1.34094556034005,0.372463842889457,NA
"exp2","combined","noise_within_condition","array_length10 - array_length20","experience",0.0219215616823862,0.0169304017290055,14830.0136037207,1.29480457896222,0.398100792454371,NA
"exp2","combined","condition_within_noise","average - experience",NA,0.0991643920153035,0.0171621667505379,14683.8421279755,5.77808113956213,7.70891610955152e-09,"2"
"exp2","combined","condition_within_noise","average - experience",NA,0.0959634696610888,0.0181578444927883,14644.2337946459,5.28495932979284,1.27536009462481e-07,"10"
"exp2","combined","condition_within_noise","average - experience",NA,0.110953352342072,0.0174990738301342,14625.1929404226,6.34052712841321,2.35702717477487e-10,"20"
"exp2","experience","noise_within_condition","array_length2 - array_length10","experience",0.000316676258972639,0.0166813198663303,7008.05588307146,0.0189838850588688,0.999801327636593,NA
"exp2","experience","noise_within_condition","array_length2 - array_length20","experience",0.022270841721756,0.01644575841349,6947.63652277136,1.35419973720931,0.365282521113444,NA
"exp2","experience","noise_within_condition","array_length10 - array_length20","experience",0.0219541654627834,0.016771008765496,7010.31878247264,1.30905455776465,0.390121900677581,NA
"exp2","average","noise_within_condition","array_length2 - array_length10","average",0.00343940065017347,0.0186196457221838,7816.5340081294,0.184718909344,0.981365280669229,NA
"exp2","average","noise_within_condition","array_length2 - array_length20","average",0.0104879278975853,0.0181526877563639,7753.97512019911,0.577761708808574,0.832015139702018,NA
"exp2","average","noise_within_condition","array_length10 - array_length20","average",0.0070485272474118,0.0188638338441932,7815.88295781545,0.373652954411572,0.925935045610526,NA
