"experiment","measure","condition","array_length","n","mean","se"
"exp2_batch2","slope_fwd","average","2",57,0.831715654969882,0.0319051682626535
"exp2_batch2","slope_fwd","average","10",57,0.690930211603524,0.0286691983324351
"exp2_batch2","slope_fwd","average","20",57,0.755766785238908,0.0297335329815338
"exp2_batch2","slope_fwd","experience","2",47,0.967457508142733,0.0359036688274607
"exp2_batch2","slope_fwd","experience","10",47,0.828104903842834,0.0382972465113063
"exp2_batch2","slope_fwd","experience","20",47,0.926492059776391,0.0334016887494653
"exp2_batch2","slope_rev","average","2",57,0.790336685429387,0.0235622679622835
"exp2_batch2","slope_rev","average","10",57,0.775847841234255,0.0243556095262314
"exp2_batch2","slope_rev","average","20",57,0.796033728145786,0.0245807809322353
"exp2_batch2","slope_rev","experience","2",47,0.686524925060422,0.0253988367610494
"exp2_batch2","slope_rev","experience","10",47,0.702371273098614,0.0305434107840903
"exp2_batch2","slope_rev","experience","20",47,0.703025859547088,0.0302542914633975
"exp2_batch2","r","average","2",57,1.15065423159692,0.0402841802129285
"exp2_batch2","r","average","10",57,0.947491128522869,0.0355295425027268
"exp2_batch2","r","average","20",57,1.03328259460997,0.0328321553364268
"exp2_batch2","r","experience","2",47,1.17151841600195,0.0455976734420453
"exp2_batch2","r","experience","10",47,1.0319972671284,0.0479660827716346
"exp2_batch2","r","experience","20",47,1.09746539607863,0.0342952984902238
"exp2_batch2","bias","average","2",57,-3.92768358889024,0.380823974089826
"exp2_batch2","bias","average","10",57,-2.17902678663612,0.39594946282728
"exp2_batch2","bias","average","20",57,-2.21585933417464,0.465691645118652
"exp2_batch2","bias","experience","2",47,-2.54061880503272,0.418804602002261
"exp2_batch2","bias","experience","10",47,-0.258210537506682,0.504629577826731
"exp2_batch2","bias","experience","20",47,-0.0262457251014275,0.468994441369725
"exp2_batch2","abs_error","average","2",57,5.2814559198536,0.225494500067686
"exp2_batch2","abs_error","average","10",57,4.93262815902167,0.179082675747767
"exp2_batch2","abs_error","average","20",57,5.02900166219632,0.173458654760638
"exp2_batch2","abs_error","experience","2",47,4.72172413370479,0.252125346070519
"exp2_batch2","abs_error","experience","10",47,4.83240749568892,0.221838261197771
"exp2_batch2","abs_error","experience","20",47,4.75001311435588,0.208561502617697
"exp2_batch2","sd_response","average","2",57,6.89422844034778,0.193082588887129
"exp2_batch2","sd_response","average","10",57,6.27225299976608,0.191369454850065
"exp2_batch2","sd_response","average","20",57,6.60787529282994,0.204386224007212
"exp2_batch2","sd_response","experience","2",47,7.82383349069493,0.240576056159377
"exp2_batch2","sd_response","experience","10",47,7.31695960278527,0.248827851817937
"exp2_batch2","sd_response","experience","20",47,7.68206941805952,0.259142771666388
"exp2_batch2","sd_objective","average","2",57,6.66224510047499,0.0715395220435446
"exp2_batch2","sd_objective","average","10",57,6.576387977881,0.0770040871140849
"exp2_batch2","sd_objective","average","20",57,6.6804032669608,0.063724164034091
"exp2_batch2","sd_objective","experience","2",47,6.49475925257271,0.0801817690996104
"exp2_batch2","sd_objective","experience","10",47,6.64654490672231,0.0849213226951467
"exp2_batch2","sd_objective","experience","20",47,6.50313222308413,0.0806211647496536
"exp2_batch2","mean_rt","average","2",57,2611.57193559061,121.316597396145
"exp2_batch2","mean_rt","average","10",57,2599.19604272647,122.97960994404
"exp2_batch2","mean_rt","average","20",57,2690.24581717937,126.565042319287
"exp2_batch2","mean_rt","experience","2",47,2439.23974178221,114.77507204379
"exp2_batch2","mean_rt","experience","10",47,2508.47316062104,123.996705824051
"exp2_batch2","mean_rt","experience","20",47,2529.33423546437,127.78712325545
