"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",-0.627962798735673,0.178504228955247,102,-3.51791552732966,0.00186898940419289,NA,NA
"noise_overall","X2 - X20",0.0159217209380463,0.203036713831121,102,0.0784179404680942,0.996615570497767,NA,NA
"noise_overall","X10 - X20",0.64388451967372,0.153934400291177,102,4.1828500871525,0.00017930300768676,NA,NA
"noise_within_condition","X2 - X10",-0.60541785259694,0.239999736256317,102,-2.52257715796137,0.0349408693717936,"average",NA
"noise_within_condition","X2 - X20",-0.0166790302338405,0.272983772177381,102,-0.0610989807225708,0.997944016642074,"average",NA
"noise_within_condition","X10 - X20",0.588738822363099,0.206965491444571,102,2.84462312172836,0.01473549877013,"average",NA
"noise_within_condition","X2 - X10",-0.650507744874407,0.264301278121253,102,-2.46123571364636,0.0407850965382679,"experience",NA
"noise_within_condition","X2 - X20",0.0485224721099332,0.30062516325346,102,0.161405224981195,0.985742417971223,"experience",NA
"noise_within_condition","X10 - X20",0.69903021698434,0.22792210012003,102,3.06696988407974,0.00773485561467468,"experience",NA
"condition_within_noise","average - experience",0.847710640169098,0.319365190550672,102,2.65436141837316,0.00921940176359193,NA,"X2"
"condition_within_noise","average - experience",0.80262074789163,0.322141698543795,102,2.49151460838441,0.014332194109844,NA,"X10"
"condition_within_noise","average - experience",0.912912142512872,0.29356123696162,102,3.10978435695931,0.00242738884526538,NA,"X20"
"band_within_noise","extreme - middle",0.880609047222611,0.272400552594572,102,3.23277261677684,0.00165175892049561,NA,"X2"
"band_within_noise","extreme - middle",1.46799301484041,0.251405499863679,102,5.83914439276949,6.28047256425718e-08,NA,"X10"
"band_within_noise","extreme - middle",0.84385442186309,0.28447588189434,102,2.96634785432008,0.00375386322830561,NA,"X20"
