"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",-1.12518671837681,0.204334259662549,102,-5.50659845409681,8.1984459965323e-07,NA,NA
"noise_overall","X2 - X20",-0.300288297306774,0.209943543424004,102,-1.4303288036837,0.329228449951671,NA,NA
"noise_overall","X10 - X20",0.824898421070036,0.167710275362214,102,4.91859201404598,9.95640985490542e-06,NA,NA
"noise_within_condition","X2 - X10",-1.0613449416081,0.274728328366027,102,-3.86325264642548,0.000572809853050749,"average",NA
"noise_within_condition","X2 - X20",-0.419668598944914,0.282270035535741,102,-1.48676283739574,0.301502182587103,"average",NA
"noise_within_condition","X10 - X20",0.641676342663187,0.225487217249608,102,2.8457326782869,0.0146895914534049,"average",NA
"noise_within_condition","X2 - X10",-1.18902849514552,0.302546367158122,102,-3.93007031059173,0.000451633259196615,"experience",NA
"noise_within_condition","X2 - X20",-0.180907995668633,0.31085172146919,102,-0.581975209317166,0.830060490989653,"experience",NA
"noise_within_condition","X10 - X20",1.00812049947688,0.24831927171548,102,4.05977551606213,0.000282488791971347,"experience",NA
"condition_within_noise","average - experience",1.19433231838047,0.408318227477667,102,2.92500368097281,0.0042452809033641,NA,"X2"
"condition_within_noise","average - experience",1.06664876484305,0.408466515781911,102,2.61134933619029,0.010378346103433,NA,"X10"
"condition_within_noise","average - experience",1.43309292165675,0.401322966312611,102,3.5709217810885,0.000544420949250114,NA,"X20"
