"participant_id","condition","array_length","n_trials","r","z"
"average.55a56724fdf99b7973398109","average","2",31,0.908741953349427,1.52025423490608
"average.55a56724fdf99b7973398109","average","10",32,0.793624745513452,1.08114885670914
"average.55a56724fdf99b7973398109","average","20",29,0.912358855241803,1.5414210925515
"average.55d35a63da14d7001295328e","average","2",31,0.887420112111791,1.4096515356621
"average.55d35a63da14d7001295328e","average","10",30,0.749933995821939,0.97280422490244
"average.55d35a63da14d7001295328e","average","20",32,0.858721982167305,1.28845735874281
"average.55d4d11258c35800113dc2ab","average","2",27,0.87674845314707,1.36153432442945
"average.55d4d11258c35800113dc2ab","average","10",32,0.708353896607197,0.883872229876792
"average.55d4d11258c35800113dc2ab","average","20",32,0.838624578766241,1.21651980004729
"average.56e6a66af6ed900006a5867c","average","2",32,0.814155576924536,1.13923275146823
"average.56e6a66af6ed900006a5867c","average","10",32,0.852226452196983,1.26423133127754
"average.56e6a66af6ed900006a5867c","average","20",30,0.816998947252242,1.14772479173164
"average.57bfc1beef05670001ee84c2","average","2",31,0.923906383392953,1.61507429652713
"average.57bfc1beef05670001ee84c2","average","10",32,0.777178906245992,1.03820666129472
"average.57bfc1beef05670001ee84c2","average","20",31,0.786299482626857,1.0616629237366
"average.5930c7fdfa699e0001017cc1","average","2",32,0.741294918141775,0.953347794213298
"average.5930c7fdfa699e0001017cc1","average","10",31,0.623002301830268,0.729896951995637
"average.5930c7fdfa699e0001017cc1","average","20",32,0.653920909923254,0.7821183620042
"average.593890eac6aa16000101f037","average","2",29,0.856225181241703,1.27902595754019
"average.593890eac6aa16000101f037","average","10",32,0.761555892796374,0.999908897994706
"average.593890eac6aa16000101f037","average","20",31,0.81317123080897,1.13632006390826
"average.5969496f06679c00014b818e","average","2",30,0.655482801036699,0.784851977159929
"average.5969496f06679c00014b818e","average","10",30,0.68249581927039,0.833771295392782
"average.5969496f06679c00014b818e","average","20",31,0.784778875930697,1.05769191193305
"average.5a33d736bf4d770001e6097a","average","2",29,0.634068422438439,0.748190889684505
"average.5a33d736bf4d770001e6097a","average","10",32,0.558449122780155,0.630576601543446
"average.5a33d736bf4d770001e6097a","average","20",30,0.669719575728461,0.810234454227807
"average.5a937cb0dbdb470001ee923b","average","2",31,0.890751973670202,1.42555456520497
"average.5a937cb0dbdb470001ee923b","average","10",32,0.915495614072903,1.56046411847787
"average.5a937cb0dbdb470001ee923b","average","20",31,0.82505442396048,1.1724450777126
"average.5c476621b521ee00019abf67","average","2",31,0.918148640485032,1.57710541828636
"average.5c476621b521ee00019abf67","average","10",31,0.786502541451888,1.06219508560383
"average.5c476621b521ee00019abf67","average","20",31,0.664202585853389,0.800296658119455
"average.5d9420526928f000181e12f1","average","2",31,0.919503353565023,1.58580311858942
"average.5d9420526928f000181e12f1","average","10",30,0.658995075497982,0.79103520164813
"average.5d9420526928f000181e12f1","average","20",31,0.656964178211608,0.787453760159559
"average.5e3a8aeedc1d57292aea3f22","average","2",32,0.811178633371517,1.13046583649177
"average.5e3a8aeedc1d57292aea3f22","average","10",32,0.622244229429166,0.728658959577401
"average.5e3a8aeedc1d57292aea3f22","average","20",31,0.479871579351436,0.522817424206995
"average.5f4a4da1575d605c43bef871","average","2",32,0.867040731389886,1.32103356476492
"average.5f4a4da1575d605c43bef871","average","10",26,0.688939361885766,0.845934071672947
"average.5f4a4da1575d605c43bef871","average","20",31,0.805105787105506,1.11295878174138
"average.603470186bba1c26a354c27e","average","2",29,0.921463587984212,1.5986400477295
"average.603470186bba1c26a354c27e","average","10",31,0.910271590468185,1.52910663439273
"average.603470186bba1c26a354c27e","average","20",31,0.909670623477123,1.52561166440298
"average.605fbc12c61d8d10250f6e51","average","2",31,0.862623368803119,1.30350744982284
"average.605fbc12c61d8d10250f6e51","average","10",32,0.77927642469173,1.04352546474653
"average.605fbc12c61d8d10250f6e51","average","20",30,0.804329410876612,1.11075585331556
"average.607b73619e1bfba7bfb23cce","average","2",30,0.78066247095911,1.04706448845122
"average.607b73619e1bfba7bfb23cce","average","10",32,0.842850665663102,1.2309361995713
"average.607b73619e1bfba7bfb23cce","average","20",31,0.813806391915787,1.13819792951336
"average.60c119b30aa5205b493541b6","average","2",32,0.858262366275435,1.28670970980789
"average.60c119b30aa5205b493541b6","average","10",32,0.645556424596517,0.767642345719773
"average.60c119b30aa5205b493541b6","average","20",31,0.718397788057561,0.9043260689705
"average.6143af8721d1445864c4f6c8","average","2",32,0.796667278121846,1.08942252711216
"average.6143af8721d1445864c4f6c8","average","10",31,0.380477953208767,0.400618386308303
"average.6143af8721d1445864c4f6c8","average","20",31,0.713542900240366,0.894364795866334
"average.616964223dcbf0aa539dbae2","average","2",30,0.775544119207407,1.03409151758945
"average.616964223dcbf0aa539dbae2","average","10",31,0.882066825531102,1.3850038406246
"average.616964223dcbf0aa539dbae2","average","20",30,0.824967048772726,1.17217148073032
"average.627cea14552eb015f1daf9a1","average","2",31,0.930724316080113,1.66377827078205
"average.627cea14552eb015f1daf9a1","average","10",32,0.869464279787706,1.3308801399987
"average.627cea14552eb015f1daf9a1","average","20",32,0.883286304737378,1.39052483869109
"average.628f83dc5398c04bac86f9e6","average","2",28,0.525833456895475,0.584368726058155
"average.628f83dc5398c04bac86f9e6","average","10",28,0.612216102974899,0.712458377484604
"average.628f83dc5398c04bac86f9e6","average","20",31,0.611845722892041,0.711866165539733
"average.6290c65ed46e5dce4f16bb92","average","2",29,0.590367307474404,0.678229696624513
"average.6290c65ed46e5dce4f16bb92","average","10",30,0.431207321875058,0.461378821084678
"average.6290c65ed46e5dce4f16bb92","average","20",31,0.498055597907459,0.546716958695966
"average.62b0b6c050a175081568bf35","average","2",32,0.587537628467122,0.673897226184908
"average.62b0b6c050a175081568bf35","average","10",31,0.641672752131912,0.761012151378927
"average.62b0b6c050a175081568bf35","average","20",32,0.740021516719798,0.950526943543316
"average.631fdedf78d4f7b0a6b985ad","average","2",32,0.835042085292043,1.20456615799955
"average.631fdedf78d4f7b0a6b985ad","average","10",32,0.734839322847466,0.939167053831006
"average.631fdedf78d4f7b0a6b985ad","average","20",30,0.654579840140712,0.783270425920337
"average.63251e479509813fab713ad2","average","2",30,0.706167454624992,0.879497424002795
"average.63251e479509813fab713ad2","average","10",32,0.67827798504096,0.825917836356528
"average.63251e479509813fab713ad2","average","20",31,0.745876469386282,0.963595746733381
"average.633f4f203450d46b01e3d16b","average","2",32,0.867991813902128,1.32487764997169
"average.633f4f203450d46b01e3d16b","average","10",32,0.761934068451974,1.00080986429584
"average.633f4f203450d46b01e3d16b","average","20",31,0.693251475769543,0.85418881853009
"average.63e63f77c742a91baf498dd0","average","2",30,0.754468350699697,0.983247649643175
"average.63e63f77c742a91baf498dd0","average","10",31,0.413267846470805,0.439545752485926
"average.63e63f77c742a91baf498dd0","average","20",32,0.498798059233321,0.547704838391969
"average.640415971520c41606ca4389","average","2",31,0.817787349696647,1.15010044262646
"average.640415971520c41606ca4389","average","10",32,0.872999488480377,1.34555265758912
"average.640415971520c41606ca4389","average","20",30,0.862210786385616,1.30189728793018
"average.651b249337102ada9fee4951","average","2",31,0.889317776781715,1.41865391830289
"average.651b249337102ada9fee4951","average","10",31,0.813755691463726,1.13804782177451
"average.651b249337102ada9fee4951","average","20",30,0.802653667055359,1.10602744862553
"average.6572244f5a6d2b943074aa73","average","2",31,0.864848243807768,1.31226834556176
"average.6572244f5a6d2b943074aa73","average","10",31,0.83734232619328,1.21221379342453
"average.6572244f5a6d2b943074aa73","average","20",31,0.838541075197427,1.2162384337279
"average.657b80c8ff78a49936e4cff3","average","2",30,0.857617261844929,1.28426556632186
"average.657b80c8ff78a49936e4cff3","average","10",32,0.805393011317483,1.11377574984787
"average.657b80c8ff78a49936e4cff3","average","20",32,0.819889328088049,1.15647973178635
"average.6604664cb53a76971c8a1dce","average","2",31,0.882371564279339,1.38637846230941
"average.6604664cb53a76971c8a1dce","average","10",32,0.842795957453524,1.23074732187625
