"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",0.171342125973798,0.0301461314670015,102,5.68371852824141,3.75864297574857e-07,NA,NA
"noise_overall","X2 - X20",0.0957123284551318,0.0278767216817896,102,3.4334140702655,0.0024659960279263,NA,NA
"noise_overall","X10 - X20",-0.0756297975186663,0.0239482131778596,102,-3.15805596672185,0.00587543879645291,NA,NA
"noise_within_condition","X2 - X10",0.203163103074048,0.0405316089348367,102,5.01246085248372,6.75192445331874e-06,"average",NA
"noise_within_condition","X2 - X20",0.117371636986946,0.0374803773024202,102,3.13154897134311,0.00636896675421839,"average",NA
"noise_within_condition","X10 - X20",-0.0857914660871027,0.0321984800031675,102,-2.66445702028988,0.0241379763720349,"average",NA
"noise_within_condition","X2 - X10",0.139521148873548,0.0446356992423826,102,3.12577491204774,0.00648140454249246,"experience",NA
"noise_within_condition","X2 - X20",0.074053019923318,0.0412755104652149,102,1.79411518085831,0.176675885788433,"experience",NA
"noise_within_condition","X10 - X20",-0.0654681289502297,0.0354587865434571,102,-1.84631611321482,0.159881166338871,"experience",NA
"condition_within_noise","average - experience",-0.0208641844050303,0.0606818674561336,102,-0.343828976919882,0.73168266918534,NA,"X2"
"condition_within_noise","average - experience",-0.0845061386055308,0.0585381473423999,102,-1.44360801361272,0.151913654681175,NA,"X10"
"condition_within_noise","average - experience",-0.0641828014686579,0.0477215826461149,102,-1.34494285205529,0.181626560978796,NA,"X20"
