"participant_id","condition","array_length","n_trials","n_eligible","n_exaggerated","prop_exagg"
"average.55a56724fdf99b7973398109","average","2",31,14,1,0.032258064516129
"average.55a56724fdf99b7973398109","average","10",32,16,2,0.0625
"average.55a56724fdf99b7973398109","average","20",29,17,6,0.206896551724138
"average.55d35a63da14d7001295328e","average","2",31,18,7,0.225806451612903
"average.55d35a63da14d7001295328e","average","10",30,12,0,0
"average.55d35a63da14d7001295328e","average","20",32,23,12,0.375
"average.55d4d11258c35800113dc2ab","average","2",27,14,5,0.185185185185185
"average.55d4d11258c35800113dc2ab","average","10",32,20,3,0.09375
"average.55d4d11258c35800113dc2ab","average","20",32,20,6,0.1875
"average.56e6a66af6ed900006a5867c","average","2",32,13,3,0.09375
"average.56e6a66af6ed900006a5867c","average","10",32,11,1,0.03125
"average.56e6a66af6ed900006a5867c","average","20",30,20,2,0.0666666666666667
"average.57bfc1beef05670001ee84c2","average","2",31,18,3,0.0967741935483871
"average.57bfc1beef05670001ee84c2","average","10",32,24,2,0.0625
"average.57bfc1beef05670001ee84c2","average","20",31,16,4,0.129032258064516
"average.5930c7fdfa699e0001017cc1","average","2",32,22,0,0
"average.5930c7fdfa699e0001017cc1","average","10",31,18,0,0
"average.5930c7fdfa699e0001017cc1","average","20",32,15,0,0
"average.593890eac6aa16000101f037","average","2",29,18,5,0.172413793103448
"average.593890eac6aa16000101f037","average","10",32,17,1,0.03125
"average.593890eac6aa16000101f037","average","20",31,16,5,0.161290322580645
"average.5969496f06679c00014b818e","average","2",30,17,3,0.1
"average.5969496f06679c00014b818e","average","10",30,14,1,0.0333333333333333
"average.5969496f06679c00014b818e","average","20",31,18,6,0.193548387096774
"average.5a33d736bf4d770001e6097a","average","2",29,14,4,0.137931034482759
"average.5a33d736bf4d770001e6097a","average","10",32,19,5,0.15625
"average.5a33d736bf4d770001e6097a","average","20",30,18,5,0.166666666666667
"average.5a937cb0dbdb470001ee923b","average","2",31,18,3,0.0967741935483871
"average.5a937cb0dbdb470001ee923b","average","10",32,18,0,0
"average.5a937cb0dbdb470001ee923b","average","20",31,17,4,0.129032258064516
"average.5c476621b521ee00019abf67","average","2",31,13,6,0.193548387096774
"average.5c476621b521ee00019abf67","average","10",31,18,1,0.032258064516129
"average.5c476621b521ee00019abf67","average","20",31,21,1,0.032258064516129
"average.5d9420526928f000181e12f1","average","2",31,21,6,0.193548387096774
"average.5d9420526928f000181e12f1","average","10",30,17,0,0
"average.5d9420526928f000181e12f1","average","20",31,13,1,0.032258064516129
"average.5e3a8aeedc1d57292aea3f22","average","2",32,14,4,0.125
"average.5e3a8aeedc1d57292aea3f22","average","10",32,18,1,0.03125
"average.5e3a8aeedc1d57292aea3f22","average","20",31,14,5,0.161290322580645
"average.5f4a4da1575d605c43bef871","average","2",32,22,4,0.125
"average.5f4a4da1575d605c43bef871","average","10",26,16,1,0.0384615384615385
"average.5f4a4da1575d605c43bef871","average","20",31,18,5,0.161290322580645
"average.603470186bba1c26a354c27e","average","2",29,16,6,0.206896551724138
"average.603470186bba1c26a354c27e","average","10",31,18,3,0.0967741935483871
"average.603470186bba1c26a354c27e","average","20",31,18,7,0.225806451612903
"average.605fbc12c61d8d10250f6e51","average","2",31,19,1,0.032258064516129
"average.605fbc12c61d8d10250f6e51","average","10",32,16,4,0.125
"average.605fbc12c61d8d10250f6e51","average","20",30,15,1,0.0333333333333333
"average.607b73619e1bfba7bfb23cce","average","2",30,15,8,0.266666666666667
"average.607b73619e1bfba7bfb23cce","average","10",32,20,12,0.375
"average.607b73619e1bfba7bfb23cce","average","20",31,20,11,0.354838709677419
"average.60c119b30aa5205b493541b6","average","2",32,20,11,0.34375
"average.60c119b30aa5205b493541b6","average","10",32,14,1,0.03125
"average.60c119b30aa5205b493541b6","average","20",31,18,4,0.129032258064516
"average.6143af8721d1445864c4f6c8","average","2",32,16,1,0.03125
"average.6143af8721d1445864c4f6c8","average","10",31,20,0,0
"average.6143af8721d1445864c4f6c8","average","20",31,17,1,0.032258064516129
"average.616964223dcbf0aa539dbae2","average","2",30,13,5,0.166666666666667
"average.616964223dcbf0aa539dbae2","average","10",31,16,8,0.258064516129032
"average.616964223dcbf0aa539dbae2","average","20",30,20,2,0.0666666666666667
"average.627cea14552eb015f1daf9a1","average","2",31,17,7,0.225806451612903
"average.627cea14552eb015f1daf9a1","average","10",32,15,3,0.09375
"average.627cea14552eb015f1daf9a1","average","20",32,18,4,0.125
"average.628f83dc5398c04bac86f9e6","average","2",28,15,3,0.107142857142857
"average.628f83dc5398c04bac86f9e6","average","10",28,14,5,0.178571428571429
"average.628f83dc5398c04bac86f9e6","average","20",31,22,8,0.258064516129032
"average.6290c65ed46e5dce4f16bb92","average","2",29,15,1,0.0344827586206897
"average.6290c65ed46e5dce4f16bb92","average","10",30,17,2,0.0666666666666667
"average.6290c65ed46e5dce4f16bb92","average","20",31,16,1,0.032258064516129
"average.62b0b6c050a175081568bf35","average","2",32,19,2,0.0625
"average.62b0b6c050a175081568bf35","average","10",31,16,5,0.161290322580645
"average.62b0b6c050a175081568bf35","average","20",32,17,4,0.125
"average.631fdedf78d4f7b0a6b985ad","average","2",32,15,4,0.125
"average.631fdedf78d4f7b0a6b985ad","average","10",32,12,2,0.0625
"average.631fdedf78d4f7b0a6b985ad","average","20",30,18,2,0.0666666666666667
"average.63251e479509813fab713ad2","average","2",30,15,1,0.0333333333333333
"average.63251e479509813fab713ad2","average","10",32,16,5,0.15625
"average.63251e479509813fab713ad2","average","20",31,13,6,0.193548387096774
"average.633f4f203450d46b01e3d16b","average","2",32,14,2,0.0625
"average.633f4f203450d46b01e3d16b","average","10",32,19,2,0.0625
"average.633f4f203450d46b01e3d16b","average","20",31,20,2,0.0645161290322581
"average.63e63f77c742a91baf498dd0","average","2",30,17,7,0.233333333333333
"average.63e63f77c742a91baf498dd0","average","10",31,20,0,0
"average.63e63f77c742a91baf498dd0","average","20",32,20,7,0.21875
"average.640415971520c41606ca4389","average","2",31,19,9,0.290322580645161
"average.640415971520c41606ca4389","average","10",32,23,6,0.1875
"average.640415971520c41606ca4389","average","20",30,16,8,0.266666666666667
"average.651b249337102ada9fee4951","average","2",31,19,7,0.225806451612903
"average.651b249337102ada9fee4951","average","10",31,16,0,0
"average.651b249337102ada9fee4951","average","20",30,15,1,0.0333333333333333
"average.6572244f5a6d2b943074aa73","average","2",31,9,2,0.0645161290322581
"average.6572244f5a6d2b943074aa73","average","10",31,18,3,0.0967741935483871
"average.6572244f5a6d2b943074aa73","average","20",31,16,6,0.193548387096774
"average.657b80c8ff78a49936e4cff3","average","2",30,17,2,0.0666666666666667
"average.657b80c8ff78a49936e4cff3","average","10",32,17,1,0.03125
"average.657b80c8ff78a49936e4cff3","average","20",32,21,2,0.0625
"average.6604664cb53a76971c8a1dce","average","2",31,18,11,0.354838709677419
"average.6604664cb53a76971c8a1dce","average","10",32,16,4,0.125
"average.6604664cb53a76971c8a1dce","average","20",30,18,1,0.0333333333333333
