"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",0.0354402515222197,0.010098770151425,102,3.50936311954964,0.00192259724506594,NA,NA
"noise_overall","X2 - X20",-0.00793503643961216,0.0110207878798835,102,-0.720006275966545,0.752238116462615,NA,NA
"noise_overall","X10 - X20",-0.0433752879618318,0.0094219816072983,102,-4.60362689821355,3.55297362317764e-05,NA,NA
"noise_within_condition","X2 - X10",0.0578302157350759,0.0135778417522131,102,4.25916112372202,0.000134666672783723,"average",NA
"noise_within_condition","X2 - X20",-0.00951266075624527,0.0148174987225203,102,-0.641988296026472,0.797298635214182,"average",NA
"noise_within_condition","X10 - X20",-0.0673428764913211,0.0126678965198656,102,-5.31602672832978,1.87148212305033e-06,"average",NA
"noise_within_condition","X2 - X10",0.0130502873093635,0.0149526869704782,102,0.872772053285761,0.658643294559289,"experience",NA
"noise_within_condition","X2 - X20",-0.00635741212297905,0.0163178673110691,102,-0.389598223946003,0.919809564559523,"experience",NA
"noise_within_condition","X10 - X20",-0.0194076994323426,0.0139506038362161,102,-1.39117271626334,0.349291738284653,"experience",NA
"condition_within_noise","average - experience",-0.00566288667079859,0.0172996623950291,102,-0.327340877613067,0.744080941949206,NA,"X2"
"condition_within_noise","average - experience",-0.050442815096511,0.0162951683696989,102,-3.09556881844253,0.00253616612141319,NA,"X10"
"condition_within_noise","average - experience",-0.0025076380375324,0.0181853370892382,102,-0.137893404187508,0.890596512968287,NA,"X20"
