"level","band","n_trials","item_sd","skew","item_min","item_max","squares_at_edge","shown_minus_recorded"
"2 squares","14-17",511,4,0,11.4833659491194,19.4833659491194,0,0
"2 squares","18-21",579,4,0,15.5492227979275,23.5492227979275,0,0
"2 squares","22-28",974,4,0,20.9425051334702,28.9425051334702,0,0
"2 squares","29-31",409,4,0,26.039119804401,34.039119804401,0,0
"2 squares","32+",723,4,0,30.0138312586445,38.0138312586445,0,0
"10 squares","14-17",419,5.9464274989274,-0.125669583629514,5.97136038186158,23.9713603818616,0,0
"10 squares","18-21",560,5.9464274989274,-0.125669583629514,9.59107142857143,27.5910714285714,0,0
"10 squares","22-28",1010,5.9464274989274,-0.125669583629514,14.9009900990099,32.9009900990099,0,0
"10 squares","29-31",410,5.9464274989274,-0.125669583629514,19.9731707317073,37.9731707317073,0,0
"10 squares","32+",815,5.9464274989274,-0.125669583629516,24.5533742331288,42.5533742331288,0,0
"20 squares","14-17",679,5.5,0.398497370398196,5.98821796759941,24.9882179675994,0,0
"20 squares","18-21",572,5.5,0.398497370398196,10.4388111888112,29.4388111888112,0,0
"20 squares","22-28",996,5.5,0.398497370398196,16.0532128514056,35.0532128514056,0,0
"20 squares","29-31",405,5.5,0.398497370398196,21.0716049382716,40.0716049382716,0,0
"20 squares","32+",547,5.5,0.398497370398196,24.5246800731261,43.5246800731261,0,0
