"experiment","version","level","report","mean_objective","n"
"exp2_batch2","raw","2 squares",2,16,1
"exp2_batch2","raw","2 squares",3,15,1
"exp2_batch2","raw","2 squares",4,14,1
"exp2_batch2","raw","2 squares",5,16.4285714285714,7
"exp2_batch2","raw","2 squares",6,17.1666666666667,12
"exp2_batch2","raw","2 squares",7,16.8421052631579,19
"exp2_batch2","raw","2 squares",8,16.9230769230769,26
"exp2_batch2","raw","2 squares",9,17,60
"exp2_batch2","raw","2 squares",10,17.59375,64
"exp2_batch2","raw","2 squares",11,18.9605263157895,76
"exp2_batch2","raw","2 squares",12,17.9816513761468,109
"exp2_batch2","raw","2 squares",13,19.1932773109244,119
"exp2_batch2","raw","2 squares",14,19.7916666666667,120
"exp2_batch2","raw","2 squares",15,20.1544117647059,136
"exp2_batch2","raw","2 squares",16,20.859872611465,157
"exp2_batch2","raw","2 squares",17,21.6903225806452,155
"exp2_batch2","raw","2 squares",18,22.7210884353741,147
"exp2_batch2","raw","2 squares",19,22.8714285714286,140
"exp2_batch2","raw","2 squares",20,23.9769230769231,130
"exp2_batch2","raw","2 squares",21,24.9337748344371,151
"exp2_batch2","raw","2 squares",22,25.5864661654135,133
"exp2_batch2","raw","2 squares",23,25.3228346456693,127
"exp2_batch2","raw","2 squares",24,27.2426470588235,136
"exp2_batch2","raw","2 squares",25,28.781954887218,133
"exp2_batch2","raw","2 squares",26,28.8347107438017,121
"exp2_batch2","raw","2 squares",27,29.603305785124,121
"exp2_batch2","raw","2 squares",28,29.8532110091743,109
"exp2_batch2","raw","2 squares",29,30.5254237288136,118
"exp2_batch2","raw","2 squares",30,31.2359550561798,89
"exp2_batch2","raw","2 squares",31,30.9605263157895,76
"exp2_batch2","raw","2 squares",32,31.8484848484848,66
"exp2_batch2","raw","2 squares",33,31.859375,64
"exp2_batch2","raw","2 squares",34,32.7166666666667,60
"exp2_batch2","raw","2 squares",35,32.3260869565217,46
"exp2_batch2","raw","2 squares",36,32.7368421052632,38
"exp2_batch2","raw","2 squares",37,32.5,36
"exp2_batch2","raw","2 squares",38,33.2,30
"exp2_batch2","raw","2 squares",39,33.3333333333333,15
"exp2_batch2","raw","2 squares",40,32.2941176470588,17
