"response_value","array_length","condition","mean_true","n_trials"
1,"20","average",12.5,1
2,"2","experience",16,1
2,"10","experience",14.2,1
2,"20","average",14.5,1
2,"20","experience",12.5,1
3,"2","average",15,1
3,"10","average",17.7,2
3,"10","experience",30.2,1
4,"2","experience",14,1
4,"10","average",18.2,2
4,"10","experience",30.2,1
4,"20","average",16,6
4,"20","experience",14.5,3
5,"2","average",15,4
5,"2","experience",18.3333333333333,3
5,"10","average",24.7,2
5,"20","average",13.625,8
5,"20","experience",14.5,1
6,"2","average",18.25,4
6,"2","experience",16.625,8
6,"10","average",15.8666666666667,3
6,"10","experience",15.95,8
6,"20","average",15.1666666666667,6
6,"20","experience",14.5,7
7,"2","average",16.4285714285714,7
7,"2","experience",17.0833333333333,12
7,"10","average",17.575,8
7,"10","experience",17.7,4
7,"20","average",15.5,11
7,"20","experience",15.4333333333333,15
8,"2","average",16.7333333333333,15
8,"2","experience",17.1818181818182,11
8,"10","average",18.8666666666667,3
8,"10","experience",19.3111111111111,9
8,"20","average",15.3260869565217,23
8,"20","experience",14.2272727272727,11
9,"2","average",16.6875,32
9,"2","experience",17.3571428571429,28
9,"10","average",17.2555555555556,18
9,"10","experience",21.8,5
9,"20","average",16.4,30
9,"20","experience",16.3,15
10,"2","average",16.7948717948718,39
10,"2","experience",18.84,25
10,"10","average",18.2,15
10,"10","experience",17.5333333333333,18
10,"20","average",17.1571428571429,35
10,"20","experience",17.3076923076923,26
11,"2","average",18.2162162162162,37
11,"2","experience",19.6666666666667,39
11,"10","average",18.2,16
11,"10","experience",19.1166666666667,12
11,"20","average",16.9565217391304,46
11,"20","experience",16.7173913043478,23
12,"2","average",17.7794117647059,68
12,"2","experience",18.3170731707317,41
12,"10","average",19.4285714285714,35
12,"10","experience",17.8842105263158,19
12,"20","average",16.9655172413793,58
12,"20","experience",17,34
13,"2","average",19.5833333333333,72
13,"2","experience",18.5957446808511,47
13,"10","average",18.7,48
13,"10","experience",18.04375,32
13,"20","average",18.2872340425532,47
13,"20","experience",17.6136363636364,44
14,"2","average",20,63
14,"2","experience",19.5614035087719,57
14,"10","average",19.3578947368421,57
14,"10","experience",19.375,40
14,"20","average",18.7686567164179,67
14,"20","experience",17.5816326530612,49
15,"2","average",20.438202247191,89
15,"2","experience",19.6170212765957,47
15,"10","average",19.0333333333333,54
15,"10","experience",18.8923076923077,39
15,"20","average",18.9814814814815,81
15,"20","experience",17.9565217391304,46
16,"2","average",21.2967032967033,91
16,"2","experience",20.2575757575758,66
16,"10","average",19.8935483870968,62
16,"10","experience",19.6791666666667,48
16,"20","average",19.8246753246753,77
16,"20","experience",20.2241379310345,58
17,"2","average",22.4,75
17,"2","experience",21.025,80
17,"10","average",20.9625,80
17,"10","experience",22.525,40
17,"20","average",20.8253012048193,83
17,"20","experience",18.6071428571429,56
18,"2","average",23.6511627906977,86
18,"2","experience",21.4098360655738,61
18,"10","average",21.9469879518072,83
18,"10","experience",20.18,50
18,"20","average",20.9375,64
18,"20","experience",19.6346153846154,52
19,"2","average",23.4698795180723,83
19,"2","experience",22,57
19,"10","average",21.7531914893617,94
19,"10","experience",21.2,69
19,"20","average",22.7613636363636,88
19,"20","experience",20.421568627451,51
20,"2","average",24.0394736842105,76
20,"2","experience",23.8888888888889,54
20,"10","average",22.8521739130435,92
20,"10","experience",21.4542372881356,59
20,"20","average",22.1410256410256,78
20,"20","experience",21.2948717948718,78
21,"2","average",25.6043956043956,91
21,"2","experience",23.9166666666667,60
21,"10","average",23.7247524752475,101
21,"10","experience",23.0730158730159,63
21,"20","average",23.7474226804124,97
21,"20","experience",21.0192307692308,52
22,"2","average",26.3378378378378,74
22,"2","experience",24.6440677966102,59
22,"10","average",24.2,87
22,"10","experience",23.7915492957746,71
22,"20","average",24.1888888888889,90
22,"20","experience",22.5645161290323,62
23,"2","average",26.0434782608696,69
23,"2","experience",24.4655172413793,58
23,"10","average",24.8728971962617,107
23,"10","experience",22.6242424242424,66
23,"20","average",25.2093023255814,86
23,"20","experience",23.2384615384615,65
24,"2","average",27.3968253968254,63
24,"2","experience",27.1095890410959,73
24,"10","average",25.275,80
24,"10","experience",23.3612903225806,62
24,"20","average",26.1309523809524,84
24,"20","experience",23.4272727272727,55
25,"2","average",29.4683544303797,79
25,"2","experience",27.7777777777778,54
25,"10","average",27.4772277227723,101
25,"10","experience",25.110447761194,67
25,"20","average",25.5133333333333,75
25,"20","experience",25.6269841269841,63
26,"2","average",29.1230769230769,65
26,"2","experience",28.5,56
26,"10","average",27.1775280898876,89
26,"10","experience",25.9761194029851,67
26,"20","average",26.7435897435897,78
26,"20","experience",25,52
27,"2","average",30.3888888888889,72
27,"2","experience",28.4489795918367,49
27,"10","average",27.8842105263158,76
27,"10","experience",26.0709677419355,62
27,"20","average",27.7916666666667,72
27,"20","experience",27.0384615384615,52
28,"2","average",30.2463768115942,69
28,"2","experience",29.175,40
28,"10","average",29.0918918918919,74
28,"10","experience",28.7365853658537,41
28,"20","average",28.844262295082,61
28,"20","experience",26.1304347826087,46
29,"2","average",31.0285714285714,70
29,"2","experience",29.7916666666667,48
29,"10","average",30.0269230769231,52
29,"10","experience",29.335593220339,59
29,"20","average",28.0166666666667,60
29,"20","experience",27.6363636363636,66
30,"2","average",32.219512195122,41
30,"2","experience",30.3958333333333,48
30,"10","average",30.7915492957747,71
30,"10","experience",28.5333333333333,60
