"experiment","tail","condition","array_length","n_trials","mean_report","mean_obj","se_obj"
"exp2_batch2","high","average","2",51,38.8823529411765,33.1372549019608,0.443709503840676
"exp2_batch2","high","average","10",46,39.1739130434783,33.2434782608696,0.545474594349989
"exp2_batch2","high","average","20",50,38.92,31.56,0.473295006592406
"exp2_batch2","high","experience","2",77,39.6103896103896,32.8831168831169,0.424382477661217
"exp2_batch2","high","experience","10",135,39.7259259259259,32.8074074074074,0.291409395426941
"exp2_batch2","high","experience","20",99,39.7575757575758,30.8232323232323,0.343634365218375
"exp2_batch2","low","average","2",279,10.9426523297491,17.9068100358423,0.236428025516174
"exp2_batch2","low","average","10",152,10.8815789473684,18.5421052631579,0.317534680298966
"exp2_batch2","low","average","20",272,10.2830882352941,16.7720588235294,0.241241960513303
"exp2_batch2","low","experience","2",216,10.5324074074074,18.337962962963,0.266825239662127
"exp2_batch2","low","experience","10",110,10.5272727272727,18.3454545454545,0.437758404781516
"exp2_batch2","low","experience","20",180,10.4555555555556,16.6222222222222,0.301728473513993
