"participant_id","condition","array_length","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"average.55a56724fdf99b7973398109","average","2",5,10.2586956521739,8.33717391304348,0.812693367238822
"average.55a56724fdf99b7973398109","average","10",10,9.44130434782609,6.4,0.677872438406631
"average.55a56724fdf99b7973398109","average","20",9,11.2814009661836,8.56340579710145,0.759072904399957
"average.55d35a63da14d7001295328e","average","2",10,12.0172043010753,8.74301075268817,0.727541159627774
"average.55d35a63da14d7001295328e","average","10",5,11.8516129032258,6.24903225806452,0.527272727272727
"average.55d35a63da14d7001295328e","average","20",16,12.0409946236559,7.44623655913978,0.618407099402802
"average.55d4d11258c35800113dc2ab","average","2",5,12.1758241758242,8.2967032967033,0.681407942238267
"average.55d4d11258c35800113dc2ab","average","10",13,10.6289095519865,7.49923922231615,0.705551137267377
"average.55d4d11258c35800113dc2ab","average","20",8,14.5,8.875,0.612068965517241
"average.56e6a66af6ed900006a5867c","average","10",1,10.0212765957447,7.87659574468086,0.785987261146497
"average.56e6a66af6ed900006a5867c","average","20",2,10.0212765957447,10.1765957446809,1.01549893842887
"average.57bfc1beef05670001ee84c2","average","2",6,11.0141843971631,10.2418439716312,0.929877656149388
"average.57bfc1beef05670001ee84c2","average","10",9,9.71985815602837,7.77080378250591,0.799477076492764
"average.57bfc1beef05670001ee84c2","average","20",4,11.4787234042553,11.6372340425532,1.01380908248378
"average.5930c7fdfa699e0001017cc1","average","2",3,9.87719298245614,10.3059649122807,1.04341030195382
"average.5930c7fdfa699e0001017cc1","average","10",1,10.3684210526316,11.2821052631579,1.08812182741117
"average.593890eac6aa16000101f037","average","2",5,11.4173913043478,9.42152173913044,0.82519040365575
"average.593890eac6aa16000101f037","average","10",2,11.4130434782609,10.0923913043478,0.884285714285714
"average.593890eac6aa16000101f037","average","20",1,9.91304347826087,9.39239130434783,0.947478070175438
"average.5969496f06679c00014b818e","average","2",8,11.1346153846154,6.5782967032967,0.590796940537873
"average.5969496f06679c00014b818e","average","10",9,12.2905982905983,6.71489621489622,0.546344128750249
"average.5969496f06679c00014b818e","average","20",12,10.7948717948718,7.38553113553114,0.684170342721412
"average.5a33d736bf4d770001e6097a","average","2",5,12.3406593406593,8.54989010989011,0.692822796081923
"average.5a33d736bf4d770001e6097a","average","10",12,12.3168498168498,7.61941391941392,0.618617100371747
"average.5a33d736bf4d770001e6097a","average","20",11,13.5724275724276,8.06823176823177,0.594457529810099
"average.5a937cb0dbdb470001ee923b","average","2",2,11.5,10.5,0.91304347826087
"average.5a937cb0dbdb470001ee923b","average","10",6,9.04609929078014,9.09964539007092,1.00591924735398
"average.5a937cb0dbdb470001ee923b","average","20",3,11.1382978723404,11.3322695035461,1.01741483603948
"average.5c476621b521ee00019abf67","average","2",8,12.5,9.75,0.78
"average.5c476621b521ee00019abf67","average","10",4,11.2983870967742,7.69301075268818,0.680894599095884
"average.5c476621b521ee00019abf67","average","20",4,11.7983870967742,8.59301075268817,0.728320802005013
"average.5d9420526928f000181e12f1","average","2",12,11.4311594202899,8.41847826086956,0.736450079239303
"average.5d9420526928f000181e12f1","average","10",1,7.79347826086957,4.8054347826087,0.616596931659693
"average.5d9420526928f000181e12f1","average","20",2,10.7934782608696,8.0054347826087,0.741691842900302
"average.5e3a8aeedc1d57292aea3f22","average","2",5,14.2652631578947,8.97115789473684,0.6288813459268
"average.5e3a8aeedc1d57292aea3f22","average","10",6,9.8140350877193,6.82350877192983,0.695280657847694
"average.5e3a8aeedc1d57292aea3f22","average","20",5,11.1578947368421,4.44294736842105,0.398188679245283
"average.5f4a4da1575d605c43bef871","average","2",3,11,9.83033707865169,0.893667007150153
"average.5f4a4da1575d605c43bef871","average","10",4,12.5,8.85449438202247,0.708359550561798
"average.5f4a4da1575d605c43bef871","average","20",5,10.2,7.99820224719101,0.784137475214805
"average.603470186bba1c26a354c27e","average","2",2,11.3186813186813,10.4197802197802,0.920582524271845
"average.603470186bba1c26a354c27e","average","10",4,9.65934065934066,8.35989010989011,0.86547212741752
"average.603470186bba1c26a354c27e","average","20",6,11,9.33333333333333,0.848484848484849
"average.605fbc12c61d8d10250f6e51","average","2",14,10.4823348694316,7.45345622119816,0.711049237983587
"average.605fbc12c61d8d10250f6e51","average","10",7,10.6513056835637,9.00921658986175,0.845832131525815
"average.605fbc12c61d8d10250f6e51","average","20",4,11.0940860215054,9.29354838709677,0.8377029319118
"average.607b73619e1bfba7bfb23cce","average","2",13,13.1612903225806,7.46741108354012,0.567376822523881
"average.607b73619e1bfba7bfb23cce","average","10",20,12.8698924731183,7.2552688172043,0.563739660790375
"average.607b73619e1bfba7bfb23cce","average","20",18,13.1111111111111,6.88040621266428,0.524776745033716
"average.60c119b30aa5205b493541b6","average","2",15,14.0063157894737,8.66968421052632,0.618983917029911
"average.60c119b30aa5205b493541b6","average","10",5,10.1936842105263,6.50968421052632,0.638599752168526
"average.60c119b30aa5205b493541b6","average","20",11,11.355023923445,9.43253588516746,0.830692735546941
"average.6143af8721d1445864c4f6c8","average","2",8,11.6462765957447,5.51515957446809,0.473555606302809
"average.6143af8721d1445864c4f6c8","average","10",2,9.54255319148936,6,0.62876254180602
"average.6143af8721d1445864c4f6c8","average","20",5,10.3914893617021,10.0878723404255,0.970782145782146
"average.616964223dcbf0aa539dbae2","average","2",12,11.5833333333333,6.20714285714286,0.535868448098664
"average.616964223dcbf0aa539dbae2","average","10",15,12.996336996337,7.96190476190476,0.612626832018038
"average.616964223dcbf0aa539dbae2","average","20",8,11.7362637362637,8.65714285714286,0.737640449438202
"average.627cea14552eb015f1daf9a1","average","2",13,13.0777327935223,7.94834008097166,0.60777660825955
"average.627cea14552eb015f1daf9a1","average","10",8,10.9157894736842,9.52263157894737,0.872372227579556
"average.627cea14552eb015f1daf9a1","average","20",7,13.2375939849624,8.91293233082707,0.67330455526525
"average.628f83dc5398c04bac86f9e6","average","2",2,12.5,9,0.72
"average.628f83dc5398c04bac86f9e6","average","10",2,10.5,8,0.761904761904762
"average.628f83dc5398c04bac86f9e6","average","20",8,10.485632183908,6.28793103448276,0.599671142778843
"average.6290c65ed46e5dce4f16bb92","average","2",1,9.6,0.616666666666667,0.0642361111111111
"average.6290c65ed46e5dce4f16bb92","average","10",2,8.6,5,0.581395348837209
"average.62b0b6c050a175081568bf35","average","2",8,12,6.74684210526316,0.562236842105263
"average.62b0b6c050a175081568bf35","average","10",6,14.3333333333333,7.06245614035088,0.492729498164015
"average.62b0b6c050a175081568bf35","average","20",11,11.6181818181818,6.49425837320574,0.558973725393295
"average.631fdedf78d4f7b0a6b985ad","average","2",7,11.8039513677812,8.39574468085106,0.711265610917986
"average.631fdedf78d4f7b0a6b985ad","average","10",5,9.32553191489362,10.1140425531915,1.08455395847593
"average.631fdedf78d4f7b0a6b985ad","average","20",3,11.1241134751773,6.57659574468085,0.591201785145043
"average.63251e479509813fab713ad2","average","2",2,10.9408602150538,9.98494623655914,0.912628992628993
"average.63251e479509813fab713ad2","average","10",4,10.5591397849462,8.56505376344086,0.811150712830957
"average.63251e479509813fab713ad2","average","20",5,11.8881720430108,8.99698924731183,0.756801736613603
"average.633f4f203450d46b01e3d16b","average","2",4,11.9026315789474,9.19421052631579,0.772451912447491
