"participant_id","condition","array_length","n_sides","n_low","n_high","inward_low","inward_high","inward"
"average.566a17d07da0350012b3e876","average","2",2,14,10,-6.42857142857143,14.7,4.13571428571429
"average.566a17d07da0350012b3e876","average","10",2,7,8,-1.34285714285714,16.575,7.61607142857143
"average.566a17d07da0350012b3e876","average","20",2,14,4,-3.78571428571429,16.75,6.48214285714286
"average.573b8bc2f3580b0006ce0986","average","2",2,13,6,-4.07692307692308,5.83333333333333,0.878205128205128
"average.573b8bc2f3580b0006ce0986","average","10",2,7,7,-0.0571428571428563,6.62857142857143,3.28571428571429
"average.573b8bc2f3580b0006ce0986","average","20",2,11,7,-2.68181818181818,8.78571428571429,3.05194805194805
"average.588f1a4f7f238e000133c03f","average","2",2,9,4,-3.22222222222222,12,4.38888888888889
"average.588f1a4f7f238e000133c03f","average","10",2,10,10,2.5,12.2,7.35
"average.588f1a4f7f238e000133c03f","average","20",2,9,5,3.5,10.5,7
"average.59f224ce40333e00017edfe8","average","2",2,13,6,0.0769230769230772,2.66666666666667,1.37179487179487
"average.59f224ce40333e00017edfe8","average","10",2,8,15,1.05,4.2,2.625
"average.59f224ce40333e00017edfe8","average","20",2,10,6,-2.4,2.66666666666667,0.133333333333334
"average.5a907927873cda0001dc4719","average","2",2,3,10,-10.3333333333333,2.4,-3.96666666666667
"average.5a907927873cda0001dc4719","average","10",2,6,11,2.8,0.109090909090911,1.45454545454546
"average.5a907927873cda0001dc4719","average","20",2,15,4,1.1,0.25,0.675
"average.5c22db5c540c6d00018bc10c","average","2",2,5,10,-1,2,0.5
"average.5c22db5c540c6d00018bc10c","average","10",2,8,6,3.925,-6.13333333333333,-1.10416666666667
"average.5c22db5c540c6d00018bc10c","average","20",2,7,4,-2.21428571428571,-1.5,-1.85714285714286
"average.5c6c597c42e33400019c72a5","average","2",2,5,8,-3.6,3.125,-0.2375
"average.5c6c597c42e33400019c72a5","average","10",2,11,12,-0.29090909090909,3.61666666666667,1.66287878787879
"average.5c6c597c42e33400019c72a5","average","20",2,16,4,1.1875,10.5,5.84375
"average.5c7f489defd9e20015751167","average","2",2,7,10,-3.14285714285714,2.9,-0.121428571428571
"average.5c7f489defd9e20015751167","average","10",2,6,8,-1.03333333333333,1.575,0.270833333333334
"average.5c7f489defd9e20015751167","average","20",2,8,10,-0.375,4.2,1.9125
"average.5d7ff85ffec5620017b07c40","average","2",2,9,9,-3.22222222222222,5.11111111111111,0.944444444444444
"average.5d7ff85ffec5620017b07c40","average","10",2,8,6,2.675,2.7,2.6875
"average.5d7ff85ffec5620017b07c40","average","20",2,16,7,0.125,0.214285714285714,0.169642857142857
"average.5f5e32a0d6a12c6857b8e127","average","2",2,6,13,-7.83333333333333,14.1538461538462,3.16025641025641
"average.5f5e32a0d6a12c6857b8e127","average","10",2,5,8,-2.4,13.45,5.525
"average.5f5e32a0d6a12c6857b8e127","average","20",2,7,11,-2.78571428571429,11.5,4.35714285714286
"average.607dc630d2d30aa7e8699c23","average","2",2,8,5,-4.25,10.6,3.175
"average.607dc630d2d30aa7e8699c23","average","10",2,4,10,0.300000000000001,6.5,3.4
"average.607dc630d2d30aa7e8699c23","average","20",2,14,2,1.57142857142857,6,3.78571428571429
"average.60fcc2322b3777e4020465cb","average","2",2,9,4,-5.44444444444444,1.5,-1.97222222222222
"average.60fcc2322b3777e4020465cb","average","10",2,7,6,-3.62857142857143,-2.46666666666666,-3.04761904761905
"average.60fcc2322b3777e4020465cb","average","20",2,7,5,-5.07142857142857,1.5,-1.78571428571429
"average.61074792728f0f9e791ad083","average","2",2,10,6,-1.9,4.5,1.3
"average.61074792728f0f9e791ad083","average","10",2,9,15,2.57777777777778,2,2.28888888888889
"average.61074792728f0f9e791ad083","average","20",2,13,4,-1.80769230769231,1.75,-0.028846153846154
"average.6110888158573651261c3100","average","2",2,7,7,0,5.71428571428571,2.85714285714286
"average.6110888158573651261c3100","average","10",2,7,10,-3.34285714285714,7.8,2.22857142857143
"average.6110888158573651261c3100","average","20",2,13,7,-1.03846153846154,6.07142857142857,2.51648351648352
