"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",-0.888035296924028,0.222658939184988,82,-3.98832088293674,0.000419132129060196,NA,NA
"noise_overall","X2 - X20",-0.485201024106201,0.238762518577961,82,-2.03214904498409,0.11097096602065,NA,NA
"noise_overall","X10 - X20",0.402834272817827,0.206253587681248,82,1.95310189435532,0.130552994163602,NA,NA
"noise_within_condition","X2 - X10",-1.07734526946484,0.299517558238912,82,-3.59693527083806,0.00157693170596984,"average",NA
"noise_within_condition","X2 - X20",-0.997414436409002,0.321179858420278,82,-3.10547006688022,0.00728300938219872,"average",NA
"noise_within_condition","X10 - X20",0.0799308330558339,0.277449318614502,82,0.288091653837841,0.955304802713129,"average",NA
"noise_within_condition","X2 - X10",-0.69872532438322,0.32954096119077,82,-2.120298860143,0.0919686322273324,"experience",NA
"noise_within_condition","X2 - X20",0.0270123881965996,0.353374673195315,82,0.0764412116814877,0.996783792969392,"experience",NA
"noise_within_condition","X10 - X20",0.72573771257982,0.305260618694737,82,2.37743642033813,0.0511585749481738,"experience",NA
"condition_within_noise","average - experience",0.297998607037509,0.495324984992979,82,0.601622401586976,0.549085260350016,NA,"X2"
"condition_within_noise","average - experience",0.676618552119125,0.494925310431891,82,1.36711244678249,0.175326198063726,NA,"X10"
"condition_within_noise","average - experience",1.32242543164311,0.536241119904314,82,2.46610224870312,0.0157439488681442,NA,"X20"
