"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",0.10795857439165,0.0338809517648201,82,3.18640914048194,0.00572363951463795,NA,NA
"noise_overall","X2 - X20",0.0729191330097461,0.0335955391883392,82,2.17050045248436,0.0823862203798701,NA,NA
"noise_overall","X10 - X20",-0.0350394413819044,0.0325206506027401,82,-1.07745204147152,0.530699815896576,NA,NA
"noise_within_condition","X2 - X10",0.217122228319071,0.0455761622711147,82,4.76394276085591,2.39593069103483e-05,"average",NA
"noise_within_condition","X2 - X20",0.153345511059426,0.0451922294350419,82,3.39318314180185,0.00303113179163939,"average",NA
"noise_within_condition","X10 - X20",-0.0637767172596454,0.0437463049834301,82,-1.45787666601333,0.316508348035238,"average",NA
"noise_within_condition","X2 - X10",-0.00120507953577025,0.0501446807009207,82,-0.0240320512350599,0.999681638115289,"experience",NA
"noise_within_condition","X2 - X20",-0.00750724503993363,0.0497222627412657,82,-0.150983576089412,0.987513047051287,"experience",NA
"noise_within_condition","X10 - X20",-0.00630216550416331,0.0481313999671598,82,-0.130936675610169,0.990593747865005,"experience",NA
"condition_within_noise","average - experience",0.0403082615817669,0.0663747967435559,82,0.60728263677403,0.545341367169381,NA,"X2"
"condition_within_noise","average - experience",-0.178019046273074,0.0725345580653424,82,-2.4542652636376,0.0162341367301255,NA,"X10"
"condition_within_noise","average - experience",-0.120544494517592,0.0705195396881743,82,-1.70937721730205,0.0911631935191435,NA,"X20"
