"participant_id","condition","array_length","n_trials","n_eligible","n_exaggerated","prop_exagg"
"average.566a17d07da0350012b3e876","average","2",32,24,12,0.375
"average.566a17d07da0350012b3e876","average","10",32,15,2,0.0625
"average.566a17d07da0350012b3e876","average","20",31,18,7,0.225806451612903
"average.573b8bc2f3580b0006ce0986","average","2",32,19,8,0.25
"average.573b8bc2f3580b0006ce0986","average","10",25,14,1,0.04
"average.573b8bc2f3580b0006ce0986","average","20",28,18,7,0.25
"average.588f1a4f7f238e000133c03f","average","2",29,13,4,0.137931034482759
"average.588f1a4f7f238e000133c03f","average","10",29,20,0,0
"average.588f1a4f7f238e000133c03f","average","20",30,14,0,0
"average.59f224ce40333e00017edfe8","average","2",32,19,3,0.09375
"average.59f224ce40333e00017edfe8","average","10",30,23,1,0.0333333333333333
"average.59f224ce40333e00017edfe8","average","20",30,16,6,0.2
"average.5a907927873cda0001dc4719","average","2",30,13,4,0.133333333333333
"average.5a907927873cda0001dc4719","average","10",31,17,3,0.0967741935483871
"average.5a907927873cda0001dc4719","average","20",31,19,2,0.0645161290322581
"average.5c22db5c540c6d00018bc10c","average","2",31,15,4,0.129032258064516
"average.5c22db5c540c6d00018bc10c","average","10",30,14,4,0.133333333333333
"average.5c22db5c540c6d00018bc10c","average","20",31,11,7,0.225806451612903
"average.5c6c597c42e33400019c72a5","average","2",31,13,4,0.129032258064516
"average.5c6c597c42e33400019c72a5","average","10",32,23,3,0.09375
"average.5c6c597c42e33400019c72a5","average","20",31,20,2,0.0645161290322581
"average.5c7f489defd9e20015751167","average","2",32,17,2,0.0625
"average.5c7f489defd9e20015751167","average","10",31,14,2,0.0645161290322581
"average.5c7f489defd9e20015751167","average","20",31,18,5,0.161290322580645
"average.5d7ff85ffec5620017b07c40","average","2",32,18,6,0.1875
"average.5d7ff85ffec5620017b07c40","average","10",28,14,1,0.0357142857142857
"average.5d7ff85ffec5620017b07c40","average","20",30,23,5,0.166666666666667
"average.5f5e32a0d6a12c6857b8e127","average","2",31,19,6,0.193548387096774
"average.5f5e32a0d6a12c6857b8e127","average","10",32,13,3,0.09375
"average.5f5e32a0d6a12c6857b8e127","average","20",30,18,3,0.1
"average.607dc630d2d30aa7e8699c23","average","2",30,13,6,0.2
"average.607dc630d2d30aa7e8699c23","average","10",31,14,1,0.032258064516129
"average.607dc630d2d30aa7e8699c23","average","20",31,16,1,0.032258064516129
"average.60fcc2322b3777e4020465cb","average","2",28,13,8,0.285714285714286
"average.60fcc2322b3777e4020465cb","average","10",31,13,6,0.193548387096774
"average.60fcc2322b3777e4020465cb","average","20",26,12,7,0.269230769230769
"average.61074792728f0f9e791ad083","average","2",32,16,6,0.1875
"average.61074792728f0f9e791ad083","average","10",32,24,1,0.03125
"average.61074792728f0f9e791ad083","average","20",31,17,5,0.161290322580645
"average.6110888158573651261c3100","average","2",31,14,2,0.0645161290322581
