"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",0.039702290827462,0.0103661493573962,82,3.82999409507202,0.000724004134398548,NA,NA
"noise_overall","X2 - X20",0.012847880370918,0.0107545581252572,82,1.19464511896074,0.459741339356922,NA,NA
"noise_overall","X10 - X20",-0.026854410456544,0.0100446299813345,82,-2.67350917917797,0.0243246101961486,NA,NA
"noise_within_condition","X2 - X10",0.0571346699921928,0.0139443929591689,82,4.09732213940692,0.000285409483514187,"average",NA
"noise_within_condition","X2 - X20",0.0185934695345817,0.0144668747700234,82,1.28524438278189,0.407507428600858,"average",NA
"noise_within_condition","X10 - X20",-0.0385412004576111,0.0135118897827997,82,-2.85239156603194,0.0150124910009877,"average",NA
"noise_within_condition","X2 - X10",0.0222699116627311,0.0153421678715774,82,1.45154921059024,0.319621128507153,"experience",NA
"noise_within_condition","X2 - X20",0.00710229120725432,0.0159170228455764,82,0.446207263516504,0.896213630143153,"experience",NA
"noise_within_condition","X10 - X20",-0.0151676204554768,0.014866310919161,82,-1.02026794259546,0.56627049578735,"experience",NA
"condition_within_noise","average - experience",-0.00183467731834626,0.0195599385284079,82,-0.093797703693274,0.925498666179727,NA,"X2"
"condition_within_noise","average - experience",-0.036699435647808,0.016399836950101,82,-2.23779271461488,0.0279466027824818,NA,"X10"
"condition_within_noise","average - experience",-0.0133258556456736,0.01994109858896,82,-0.668260857656619,0.505843826257369,NA,"X20"
