"experiment","model","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp3","combined","average","2",0.733037196599261,0.0166310876255308,7500.19888740853,0.700435602674325,0.765638790524197,44.0763233953477,0
"exp3","combined","experience","2",0.655652380752419,0.0173917983650973,7428.97092387125,0.621559527769549,0.689745233735289,37.6989410174058,9.44332407701388e-285
"exp3","combined","average","10",0.701653317551821,0.0181060223464339,7473.04467857545,0.66616041729094,0.737146217812703,38.7524826892759,1.57765919464104e-299
"exp3","combined","experience","10",0.709629304330394,0.0182090110866467,7498.73535968226,0.673934536959285,0.745324071701503,38.9713258426642,1.08068608291221e-302
"exp3","combined","average","20",0.708718141131293,0.0175299875745449,7409.25958485684,0.674354383243266,0.743081899019319,40.4289015104846,3.95252516672997e-323
"exp3","combined","experience","20",0.656979561571657,0.0168509849375504,7421.58567529872,0.623946850796797,0.690012272346518,38.9876060067954,1.19074917343442e-302
"exp3","experience","experience","2",0.655053460947497,0.0169318594285935,3350.01393681174,0.621855631928293,0.6882512899667,38.6876269384379,5.21146171787385e-271
"exp3","experience","experience","10",0.710094970364752,0.0177801736440498,3420.796893401,0.675234135810632,0.744955804918872,39.9374598122886,1.23992641566312e-286
"exp3","experience","experience","20",0.65772043473049,0.0164426887630477,3384.7689445346,0.625481828763911,0.68995904069707,40.0007835828293,7.2022815648361e-287
"exp3","average","average","2",0.73344229722922,0.0169775535370014,4093.98970349433,0.700157063211166,0.766727531247275,43.2007058985698,0
"exp3","average","average","10",0.70185942538015,0.0184385649995461,4043.45482638058,0.66570968107265,0.738009169687649,38.0647531625931,3.03159514708399e-271
"exp3","average","average","20",0.708489647239998,0.0178689715617127,4020.90190921713,0.67345656099546,0.743522733484535,39.6491563486538,1.7424865477753e-290
