"experiment","measure","condition","variance_level","n","mean","se"
"exp4","slope_fwd","average","3",51,1.07581119526994,0.0339723821575526
"exp4","slope_fwd","average","5",51,0.914179696077347,0.0316334304631289
"exp4","slope_fwd","average","7",51,0.777057280337122,0.0322921764337247
"exp4","slope_fwd","experience","3",50,1.10001844622295,0.0361372060874046
"exp4","slope_fwd","experience","5",50,0.965621137354073,0.0324540109067665
"exp4","slope_fwd","experience","7",50,0.854527565509222,0.0360382349121669
"exp4","slope_rev","average","3",51,0.628979987699715,0.0179344010354903
"exp4","slope_rev","average","5",51,0.668413229006613,0.0218157865918579
"exp4","slope_rev","average","7",51,0.634296888027414,0.0277241751834182
"exp4","slope_rev","experience","3",50,0.630861883152308,0.0204274512592697
"exp4","slope_rev","experience","5",50,0.621997846124275,0.0227835966644966
"exp4","slope_rev","experience","7",50,0.596251240596395,0.0273349808504523
"exp4","r","average","3",51,1.17336664568788,0.0347357780398139
"exp4","r","average","5",51,1.05910125191955,0.0347736935578665
"exp4","r","average","7",51,0.887703657487026,0.0380365335176211
"exp4","r","experience","3",50,1.20260341579328,0.0368601758198133
"exp4","r","experience","5",50,1.04045766713206,0.035109253992641
"exp4","r","experience","7",50,0.897845205248154,0.0343401727493153
"exp4","bias","average","3",51,-0.972382215969962,0.352373276477197
"exp4","bias","average","5",51,-0.435701460142637,0.335531084732148
"exp4","bias","average","7",51,-0.378628392834679,0.328561208619651
"exp4","bias","experience","3",50,-0.645399876093292,0.274267536310757
"exp4","bias","experience","5",50,-0.0236139456725371,0.290591806251463
"exp4","bias","experience","7",50,0.419338731978632,0.374648954273228
"exp4","abs_error","average","3",51,4.37036078991712,0.215709634374278
"exp4","abs_error","average","5",51,4.26740275388028,0.186654268092252
"exp4","abs_error","average","7",51,4.6447272776317,0.197428673544132
"exp4","abs_error","experience","3",50,4.30806014490884,0.188061513241465
"exp4","abs_error","experience","5",50,4.39172000315463,0.16891236055362
"exp4","abs_error","experience","7",50,4.851938132744,0.172886320203388
"exp4","sd_response","average","3",51,8.18092537024879,0.214232823772899
"exp4","sd_response","average","5",51,7.41087993404895,0.20225530173384
"exp4","sd_response","average","7",51,7.08282237829244,0.235804615927444
"exp4","sd_response","experience","3",50,8.4695446209497,0.276126631192643
"exp4","sd_response","experience","5",50,7.83754305862679,0.226964952656988
"exp4","sd_response","experience","7",50,7.49038011360937,0.240259419376703
"exp4","sd_objective","average","3",51,6.18115254589452,0.0439492273607167
"exp4","sd_objective","average","5",51,6.23423551236926,0.0412112565661985
"exp4","sd_objective","average","7",51,6.19290815216889,0.053015451283942
"exp4","sd_objective","experience","3",50,6.27919678480604,0.0791171574030213
"exp4","sd_objective","experience","5",50,6.15952656793145,0.0616810858795534
"exp4","sd_objective","experience","7",50,6.09622698453022,0.0886988547665685
"exp4","mean_rt","average","3",51,1889.27498097761,98.2050044657528
"exp4","mean_rt","average","5",51,1880.4975998156,101.877728531501
"exp4","mean_rt","average","7",51,1868.45064960116,97.1159051017086
"exp4","mean_rt","experience","3",50,2141.99773652556,129.625056992322
"exp4","mean_rt","experience","5",50,2128.70794891166,131.545641458174
"exp4","mean_rt","experience","7",50,2131.27701848513,134.844324180866
