"comparison_set","experiment","measure","contrast","condition","estimate","SE","df","t.ratio","p.value","variance_level"
"noise","exp4","slope_fwd","X3 - X5","average",0.161631499192591,0.0210416139978669,99,7.68151621871667,2.57689092286739e-10,NA
"noise","exp4","slope_fwd","X3 - X7","average",0.298753914932816,0.0277532504917516,99,10.7646459293699,2.23287943690309e-10,NA
"noise","exp4","slope_fwd","X5 - X7","average",0.137122415740226,0.0224471287300102,99,6.10868398312801,5.95788028912025e-08,NA
"noise","exp4","slope_fwd","X3 - X5","experience",0.134397308868876,0.0212509884482566,99,6.32428506542722,2.23495152384956e-08,NA
"noise","exp4","slope_fwd","X3 - X7","experience",0.245490880713726,0.0280294090397045,99,8.75833237746759,2.23464802218132e-10,NA
"noise","exp4","slope_fwd","X5 - X7","experience",0.111093571844851,0.0226704887460787,99,4.90036068869783,1.11104458894173e-05,NA
"condition","exp4","slope_fwd","average - experience",NA,-0.0242072509530107,0.0495728912108602,99,-0.488316302755961,0.626405678381562,"X3"
"condition","exp4","slope_fwd","average - experience",NA,-0.0514414412767259,0.0453132603237625,99,-1.13524034486103,0.259015631767555,"X5"
"condition","exp4","slope_fwd","average - experience",NA,-0.0774702851721008,0.0483413114123325,99,-1.60256896035173,0.112215827358392,"X7"
"noise","exp4","slope_rev","X3 - X5","average",-0.0394332413068972,0.0123310854810944,99,-3.19787267449853,0.00524033046868566,NA
"noise","exp4","slope_rev","X3 - X7","average",-0.00531690032769904,0.018652889599053,99,-0.285044325141396,0.956219740402013,NA
"noise","exp4","slope_rev","X5 - X7","average",0.0341163409791981,0.0163826686206442,99,2.08246542545623,0.0986932174523546,NA
"noise","exp4","slope_rev","X3 - X5","experience",0.00886403702803331,0.0124537858711678,99,0.711754411046587,0.757133717720185,NA
"noise","exp4","slope_rev","X3 - X7","experience",0.034610642555913,0.0188384950620359,99,1.83722969599954,0.162872250807637,NA
"noise","exp4","slope_rev","X5 - X7","experience",0.0257466055278798,0.0165456842637745,99,1.55609191602006,0.269574747279341,NA
"condition","exp4","slope_rev","average - experience",NA,-0.00188189545259247,0.0271506301324614,99,-0.0693131409256858,0.94488017694768,"X3"
"condition","exp4","slope_rev","average - experience",NA,0.046415382882338,0.0315333862567283,99,1.47194413262338,0.144207832405058,"X5"
"condition","exp4","slope_rev","average - experience",NA,0.0380456474310195,0.038943034689489,99,0.97695641170174,0.330971986231847,"X7"
