"bucket","bucket_label","variance_level","condition","value","n_trials","direction"
1,"0-2","3","average",15.2428571428571,7,"reverse"
1,"0-2","3","experience",15.78,5,"reverse"
1,"0-2","5","average",17.24,5,"reverse"
1,"0-2","5","experience",14.7,3,"reverse"
1,"0-2","7","average",22.45,2,"reverse"
1,"0-2","7","experience",14.9666666666667,3,"reverse"
4,"3-5","3","average",16.6541666666667,24,"reverse"
4,"3-5","3","experience",16.3666666666667,27,"reverse"
4,"3-5","5","average",17.1111111111111,9,"reverse"
4,"3-5","5","experience",17.2545454545455,11,"reverse"
4,"3-5","7","average",17.1,9,"reverse"
4,"3-5","7","experience",17.252380952381,21,"reverse"
7,"6-8","3","average",17.1835616438356,73,"reverse"
7,"6-8","3","experience",16.3173333333333,75,"reverse"
7,"6-8","5","average",16.5163265306122,49,"reverse"
7,"6-8","5","experience",16.6396551724138,58,"reverse"
7,"6-8","7","average",17.8527777777778,36,"reverse"
7,"6-8","7","experience",16.9121212121212,33,"reverse"
10,"9-11","3","average",17.0715083798883,179,"reverse"
10,"9-11","3","experience",17.3762195121951,164,"reverse"
10,"9-11","5","average",16.97,120,"reverse"
10,"9-11","5","experience",17.069696969697,132,"reverse"
10,"9-11","7","average",17.5967741935484,124,"reverse"
10,"9-11","7","experience",17.4717171717172,99,"reverse"
13,"12-14","3","average",18.245253164557,316,"reverse"
13,"12-14","3","experience",17.6158227848101,316,"reverse"
13,"12-14","5","average",18.2520833333333,240,"reverse"
13,"12-14","5","experience",18.434188034188,234,"reverse"
13,"12-14","7","average",18.5077669902913,206,"reverse"
13,"12-14","7","experience",18.6194029850746,201,"reverse"
16,"15-17","3","average",19.2745238095238,420,"reverse"
16,"15-17","3","experience",19.1501182033097,423,"reverse"
16,"15-17","5","average",18.8640306122449,392,"reverse"
16,"15-17","5","experience",18.8306233062331,369,"reverse"
16,"15-17","7","average",19.4822629969419,327,"reverse"
16,"15-17","7","experience",19.6909090909091,297,"reverse"
19,"18-20","3","average",21.0595505617978,445,"reverse"
19,"18-20","3","experience",20.6018561484919,431,"reverse"
19,"18-20","5","average",20.9764957264957,468,"reverse"
19,"18-20","5","experience",20.3378571428571,420,"reverse"
19,"18-20","7","average",21.2454954954955,444,"reverse"
19,"18-20","7","experience",20.6209549071618,377,"reverse"
22,"21-23","3","average",23.7541772151899,395,"reverse"
22,"21-23","3","experience",22.9424157303371,356,"reverse"
22,"21-23","5","average",22.6229702970297,505,"reverse"
22,"21-23","5","experience",22.8140229885057,435,"reverse"
22,"21-23","7","average",22.9749482401656,483,"reverse"
22,"21-23","7","experience",23.1293706293706,429,"reverse"
25,"24-26","3","average",25.5854545454545,385,"reverse"
25,"24-26","3","experience",25.2353092783505,388,"reverse"
25,"24-26","5","average",25.4666666666667,429,"reverse"
25,"24-26","5","experience",25.3015909090909,440,"reverse"
25,"24-26","7","average",25.69633401222,491,"reverse"
25,"24-26","7","experience",24.9389690721649,485,"reverse"
28,"27-29","3","average",27.6117359413203,409,"reverse"
28,"27-29","3","experience",28.1127717391304,368,"reverse"
28,"27-29","5","average",27.4201856148492,431,"reverse"
28,"27-29","5","experience",26.8224637681159,414,"reverse"
28,"27-29","7","average",27.4266393442623,488,"reverse"
28,"27-29","7","experience",26.4247334754797,469,"reverse"
31,"30-32","3","average",29.3917933130699,329,"reverse"
31,"30-32","3","experience",29.0919770773639,349,"reverse"
31,"30-32","5","average",28.9852713178295,387,"reverse"
31,"30-32","5","experience",28.44463840399,401,"reverse"
31,"30-32","7","average",28.8749379652605,403,"reverse"
31,"30-32","7","experience",28.201797752809,445,"reverse"
34,"33-35","3","average",30.5943548387097,248,"reverse"
34,"33-35","3","experience",30.672480620155,258,"reverse"
34,"33-35","5","average",30.2057034220532,263,"reverse"
34,"33-35","5","experience",30.224907063197,269,"reverse"
34,"33-35","7","average",29.916091954023,261,"reverse"
34,"33-35","7","experience",29.5332236842105,304,"reverse"
37,"36-38","3","average",31.4461077844311,167,"reverse"
37,"36-38","3","experience",31.7658823529412,170,"reverse"
37,"36-38","5","average",31.3177777777778,135,"reverse"
37,"36-38","5","experience",30.7313953488372,172,"reverse"
37,"36-38","7","average",30.8414473684211,152,"reverse"
37,"36-38","7","experience",30.3830508474576,177,"reverse"
40,"39-41","3","average",31.706779661017,59,"reverse"
40,"39-41","3","experience",32.076,75,"reverse"
40,"39-41","5","average",31.5132352941176,68,"reverse"
40,"39-41","5","experience",31.5785714285714,84,"reverse"
40,"39-41","7","average",30.2964285714286,84,"reverse"
40,"39-41","7","experience",31.9876288659794,97,"reverse"
43,"42-44","3","average",33.475,36,"reverse"
43,"42-44","3","experience",32.4020408163265,49,"reverse"
43,"42-44","5","average",31.5407407407407,27,"reverse"
43,"42-44","5","experience",31.8642857142857,28,"reverse"
43,"42-44","7","average",32.0653846153846,26,"reverse"
43,"42-44","7","experience",30.6027027027027,37,"reverse"
46,"45-47","3","average",32.2944444444444,18,"reverse"
46,"45-47","3","experience",32.7052631578947,19,"reverse"
46,"45-47","5","average",33.3833333333333,6,"reverse"
46,"45-47","5","experience",31.5571428571429,7,"reverse"
46,"45-47","7","average",33.7,3,"reverse"
46,"45-47","7","experience",30.2625,8,"reverse"
49,"48-50","3","average",33.1666666666667,15,"reverse"
49,"48-50","3","experience",32.39375,16,"reverse"
49,"48-50","5","average",33.45,2,"reverse"
49,"48-50","5","experience",32.7571428571429,14,"reverse"
49,"48-50","7","average",32.3666666666667,3,"reverse"
49,"48-50","7","experience",32.8461538461538,13,"reverse"
13,"12-14","3","average",13.5721153846154,208,"forward"
13,"12-14","3","experience",13.6048387096774,248,"forward"
13,"12-14","5","average",15.1470588235294,204,"forward"
13,"12-14","5","experience",14.9839572192513,187,"forward"
13,"12-14","7","average",15.751269035533,197,"forward"
13,"12-14","7","experience",15.9408602150538,186,"forward"
16,"15-17","3","average",14.9898785425101,494,"forward"
16,"15-17","3","experience",15.4752475247525,505,"forward"
16,"15-17","5","average",16.5623836126629,537,"forward"
16,"15-17","5","experience",16.4435643564356,505,"forward"
16,"15-17","7","average",17.6769911504425,452,"forward"
16,"15-17","7","experience",17.8600451467269,443,"forward"
19,"18-20","3","average",17.5217391304348,529,"forward"
19,"18-20","3","experience",17.4968944099379,483,"forward"
19,"18-20","5","average",19.5281385281385,462,"forward"
19,"18-20","5","experience",19.2876984126984,504,"forward"
19,"18-20","7","average",19.8649789029536,474,"forward"
19,"18-20","7","experience",20.8074534161491,483,"forward"
22,"21-23","3","average",20.99377593361,482,"forward"
22,"21-23","3","experience",20.5918367346939,490,"forward"
22,"21-23","5","average",21.7226720647773,494,"forward"
22,"21-23","5","experience",21.9432048681542,493,"forward"
22,"21-23","7","average",22.7526205450734,477,"forward"
22,"21-23","7","experience",23.1855895196507,458,"forward"
25,"24-26","3","average",23.8496868475992,479,"forward"
25,"24-26","3","experience",23.9473684210526,456,"forward"
25,"24-26","5","average",24.3764940239044,502,"forward"
25,"24-26","5","experience",25.64859437751,498,"forward"
25,"24-26","7","average",24.9710144927536,483,"forward"
25,"24-26","7","experience",25.8428290766208,509,"forward"
28,"27-29","3","average",27.6561181434599,474,"forward"
28,"27-29","3","experience",28.4135667396061,457,"forward"
28,"27-29","5","average",27.4931237721022,509,"forward"
28,"27-29","5","experience",28.1519507186858,487,"forward"
28,"27-29","7","average",26.793172690763,498,"forward"
28,"27-29","7","experience",28.246963562753,494,"forward"
31,"30-32","3","average",30.8811475409836,488,"forward"
31,"30-32","3","experience",31.8112033195021,482,"forward"
31,"30-32","5","average",30.8698481561822,461,"forward"
31,"30-32","5","experience",31.1425531914894,470,"forward"
31,"30-32","7","average",29.7771739130435,552,"forward"
31,"30-32","7","experience",30.4684512428298,523,"forward"
34,"33-35","3","average",33.7843665768194,371,"forward"
34,"33-35","3","experience",34.8478260869565,368,"forward"
34,"33-35","5","average",32.0354223433242,367,"forward"
34,"33-35","5","experience",33.4582132564842,347,"forward"
34,"33-35","7","average",31.5941320293399,409,"forward"
34,"33-35","7","experience",32.8345864661654,399,"forward"
