"participant_id","condition","variance_level","band","n_trials","dist","inward"
"average.55b5f6b6fdf99b713277dc94","average","3","extreme",38,8.05587044534413,0.289473684210526
"average.55b5f6b6fdf99b713277dc94","average","3","middle",33,2.94941724941725,-0.996969696969697
"average.55b5f6b6fdf99b713277dc94","average","5","extreme",37,8.27983367983368,2.45945945945946
"average.55b5f6b6fdf99b713277dc94","average","5","middle",34,2.74570135746606,1.4
"average.55b5f6b6fdf99b713277dc94","average","7","extreme",32,7.58221153846154,3.18125
"average.55b5f6b6fdf99b713277dc94","average","7","middle",34,2.42963800904977,0.35
"average.58ed2be2a083320001a13783","average","3","extreme",40,8.15670731707317,-1.61
"average.58ed2be2a083320001a13783","average","3","middle",27,2.78355916892502,-0.77037037037037
"average.58ed2be2a083320001a13783","average","5","extreme",33,7.54567627494457,0.281818181818182
"average.58ed2be2a083320001a13783","average","5","middle",34,2.98923959827834,0.258823529411765
"average.58ed2be2a083320001a13783","average","7","extreme",33,8.33362897265336,1.41818181818182
"average.58ed2be2a083320001a13783","average","7","middle",38,2.34383825417202,0.55
"average.5d27dc6b46dea800184f8bfa","average","3","extreme",40,8.02880952380952,3.825
"average.5d27dc6b46dea800184f8bfa","average","3","middle",31,2.84708141321045,2.76451612903226
"average.5d27dc6b46dea800184f8bfa","average","5","extreme",31,7.9489247311828,4.30322580645161
"average.5d27dc6b46dea800184f8bfa","average","5","middle",39,2.48943833943834,0.866666666666666
"average.5d27dc6b46dea800184f8bfa","average","7","extreme",38,7.83295739348371,3.46052631578947
"average.5d27dc6b46dea800184f8bfa","average","7","middle",31,2.70591397849462,1.15806451612903
"average.5eb278ce4602871c6d7e335d","average","3","extreme",37,7.69204560010247,-3.51891891891892
"average.5eb278ce4602871c6d7e335d","average","3","middle",33,3.03484130403562,-0.0484848484848487
"average.5eb278ce4602871c6d7e335d","average","5","extreme",37,8.52267196106059,-1.00810810810811
"average.5eb278ce4602871c6d7e335d","average","5","middle",35,2.49190250507786,-0.391428571428572
"average.5eb278ce4602871c6d7e335d","average","7","extreme",32,7.98715936018957,1.334375
"average.5eb278ce4602871c6d7e335d","average","7","middle",37,2.62867939029077,-0.786486486486486
"average.5f0a7dec44c42c19a6c9f6d9","average","3","extreme",30,7.48646322378717,-0.99
"average.5f0a7dec44c42c19a6c9f6d9","average","3","middle",40,2.945,-1.58
"average.5f0a7dec44c42c19a6c9f6d9","average","5","extreme",37,7.8068392335998,-1.90540540540541
"average.5f0a7dec44c42c19a6c9f6d9","average","5","middle",34,2.51692902513118,-0.517647058823529
"average.5f0a7dec44c42c19a6c9f6d9","average","7","extreme",44,8.32810499359795,-0.336363636363636
"average.5f0a7dec44c42c19a6c9f6d9","average","7","middle",28,2.17857142857143,-0.607142857142857
"average.5f3898caed1478189b8462a0","average","3","extreme",34,7.53478595626732,-2.76764705882353
"average.5f3898caed1478189b8462a0","average","3","middle",30,2.4560907504363,-1.35333333333333
"average.5f3898caed1478189b8462a0","average","5","extreme",33,8.25135649690623,-0.445454545454546
"average.5f3898caed1478189b8462a0","average","5","middle",29,2.8705723054703,-0.237931034482759
"average.5f3898caed1478189b8462a0","average","7","extreme",34,8.1257622420696,2.93235294117647
"average.5f3898caed1478189b8462a0","average","7","middle",31,2.5421043742611,1.0258064516129
"average.5f9fdfd04296cb0102563f84","average","3","extreme",33,7.85262626262626,2.34545454545455
