"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","variance_level"
"noise_overall","X3 - X5",-0.79348373916895,0.106370534777196,99,-7.45961972298985,3.2472091682223e-10,NA,NA
"noise_overall","X3 - X7",-1.49228419363495,0.128515549438642,99,-11.6117014645564,2.23275953281643e-10,NA,NA
"noise_overall","X5 - X7",-0.698800454466,0.102122999965543,99,-6.84273331866261,2.18300189036569e-09,NA,NA
"noise_within_condition","X3 - X5",-0.853749224651645,0.149684094201767,99,-5.70367365486966,3.6449902451885e-07,"average",NA
"noise_within_condition","X3 - X7",-1.49971078442927,0.180846450089385,99,-8.29273001315768,2.2498813923022e-10,"average",NA
"noise_within_condition","X5 - X7",-0.645961559777623,0.143706984072495,99,-4.49499071980912,5.58887791307638e-05,"average",NA
"noise_within_condition","X3 - X5",-0.733218253686254,0.1511735248585,99,-4.85017634121157,1.36290974406261e-05,"experience",NA
"noise_within_condition","X3 - X7",-1.48485760284063,0.1826459615763,99,-8.12970399140381,2.27091123683465e-10,"experience",NA
"noise_within_condition","X5 - X7",-0.751639349154378,0.145136939531729,99,-5.17882870880064,3.50230143253416e-06,"experience",NA
"condition_within_noise","average - experience",0.267574006162031,0.314877934396752,99,0.849770583876111,0.397503006185026,NA,"X3"
"condition_within_noise","average - experience",0.388104977127423,0.253525893686394,99,1.53082973689268,0.129000724465274,NA,"X5"
"condition_within_noise","average - experience",0.282427187750668,0.266993943327582,99,1.05780372479892,0.292719215405907,NA,"X7"
"band_within_noise","extreme - middle",-0.467337499768277,0.164326519411013,99,-2.84395666288881,0.00541380745578008,NA,"X3"
"band_within_noise","extreme - middle",0.538652442740999,0.164651458712049,99,3.27147082057148,0.0014731976387609,NA,"X5"
"band_within_noise","extreme - middle",0.914041013126602,0.157484414352685,99,5.80400934837661,7.81416616464195e-08,NA,"X7"
